"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Aarón Martín","Mainz 05","ESP","DF",NA,22,40,44,90,649,907,71.6,379,427,88.8,56,142,39.4,193,285,67.7,32,16,9,633,270,44,1,1,136,167,58,4,1072,28,19,67.9,9,32.1
"Abdelhamid Sabiri","Paderborn 07","MAR","MF",NA,22,15,42,16,346,438,79,156,182,85.7,54,86,62.8,113,132,85.6,7,2,0,416,21,18,0,11,3,3,0,1,598,40,25,62.5,15,37.5
"Achraf Hakimi","Dortmund","MAR","DF","MF",20,159,168,323,2026,2426,83.5,1291,1430,90.3,96,158,60.8,546,661,82.6,35,39,11,2146,279,13,3,17,95,259,7,1,2780,120,73,60.8,47,39.2
"Adam Bodzek","Düsseldorf","GER","MF",NA,33,4,74,13,574,714,80.4,234,283,82.7,85,111,76.6,239,284,84.2,8,2,1,690,21,19,0,13,2,2,0,3,907,5,3,60,2,40
"Ádám Szalai","Mainz 05","HUN","FW",NA,31,10,23,69,181,303,59.7,104,154,67.5,8,15,53.3,43,75,57.3,14,2,0,286,16,0,1,0,7,0,0,1,455,17,12,70.6,5,29.4
"Ademola Lookman","RB Leipzig","NGA","FW","MF",21,19,22,32,110,149,73.8,74,83,89.2,2,10,20,22,35,62.9,7,7,0,137,12,1,0,1,14,7,3,0,203,18,8,44.4,10,55.6
"Admir Mehmedi","Wolfsburg","SUI","MF","FW",28,14,55,94,410,570,71.9,239,285,83.9,31,69,44.9,106,147,72.1,19,15,3,512,57,16,4,7,41,11,20,1,687,12,6,50,6,50
"Ahmed Kutucu","Schalke 04","TUR","FW","MF",19,15,16,33,118,172,68.6,66,89,74.2,8,13,61.5,33,47,70.2,7,6,1,161,9,0,1,1,7,1,0,2,270,33,20,60.6,13,39.4
"Akaki Gogia","Union Berlin","GER","MF","FW",27,1,5,12,31,48,64.6,16,19,84.2,1,3,33.3,13,16,81.3,4,1,1,42,5,2,0,0,3,3,0,1,67,9,5,55.6,4,44.4
"Alassane Pléa","Gladbach","FRA","FW",NA,26,61,70,186,519,730,71.1,310,375,82.7,33,55,60,138,190,72.6,39,32,5,682,43,1,10,1,49,3,7,5,1016,78,45,57.7,33,42.3
"Aleksandar Dragović","Leverkusen","AUT","DF",NA,28,9,73,1,847,956,88.6,304,333,91.3,107,138,77.5,429,466,92.1,2,3,0,908,47,11,0,15,1,36,0,1,1056,1,1,100,0,0
"Alessandro Schöpf","Schalke 04","AUT","MF",NA,25,34,50,85,542,674,80.4,288,326,88.3,28,42,66.7,174,211,82.5,11,6,0,653,16,7,0,2,16,8,1,5,872,39,23,59,16,41
"Alexander Esswein","Hertha BSC","GER","FW","MF",29,5,4,17,53,85,62.4,29,34,85.3,3,15,20,20,29,69,3,1,1,79,6,1,0,1,6,5,0,0,119,2,1,50,1,50
"Alexander Hack","Mainz 05","GER","DF",NA,25,9,37,3,327,429,76.2,110,129,85.3,58,92,63,153,183,83.6,4,2,0,409,15,13,0,7,2,2,0,5,609,6,3,50,3,50
"Alexandru Maxim","Mainz 05","ROU","MF","DF",29,6,10,10,60,78,76.9,33,35,94.3,8,18,44.4,16,20,80,6,1,0,62,16,3,0,2,13,2,11,0,97,8,5,62.5,3,37.5
"Alfreð Finnbogason","Augsburg","ISL","FW",NA,30,6,21,49,148,241,61.4,91,126,72.2,8,18,44.4,35,57,61.4,19,10,0,219,19,0,0,5,1,6,0,3,349,12,6,50,6,50
"Alfredo Morales","Düsseldorf","USA","MF",NA,29,15,76,54,411,594,69.2,202,268,75.4,47,69,68.1,149,207,72,10,10,2,586,5,3,2,6,12,2,0,3,806,26,15,57.7,11,42.3
"Almamy Touré","Eint Frankfurt","MLI","DF",NA,23,32,71,70,489,726,67.4,234,291,80.4,44,105,41.9,206,292,70.5,22,21,15,629,94,4,0,8,75,90,0,3,922,30,24,80,6,20
"Alphonso Davies","Bayern Munich","CAN","DF",NA,18,121,135,191,1556,1818,85.6,931,1027,90.7,67,101,66.3,488,553,88.2,37,42,19,1543,271,32,0,5,64,239,0,4,2172,129,82,63.6,47,36.4
"Álvaro Odriozola","Bayern Munich","ESP","DF",NA,23,11,9,30,90,108,83.3,41,48,85.4,1,3,33.3,44,51,86.3,3,7,5,95,13,0,0,0,13,13,0,0,127,4,2,50,2,50
"Amadou Haidara","RB Leipzig","MLI","MF",NA,21,15,55,36,474,560,84.6,274,301,91,22,33,66.7,131,152,86.2,12,7,1,553,6,1,3,5,6,5,0,1,687,30,19,63.3,11,36.7
"Amine Harit","Schalke 04","MAR","MF","FW",22,94,134,149,754,913,82.6,453,512,88.5,60,80,75,188,225,83.6,44,35,1,863,46,22,8,6,22,15,9,4,1146,91,60,65.9,31,34.1
