"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Suleiman Abdullahi","Union Berlin","NGA","FW","MF",22,1,0,0,0,0
"David Abraham","Eint Frankfurt","ARG","DF",NA,33,2,1,0,1,14
"Amir Abrashi","Freiburg","ALB","MF",NA,29,3,0,0,0,17
"Tyler Adams","RB Leipzig","USA","MF","DF",20,0,0,0,0,9
"Sargis Adamyan","Hoffenheim","ARM","FW","MF",26,1,0,0,0,12
"Manuel Akanji","Dortmund","SUI","DF",NA,24,2,0,0,0,11
"Kevin Akpoguma","Hoffenheim","NGA","DF",NA,24,2,0,0,0,8
"David Alaba","Bayern Munich","AUT","DF",NA,27,0,0,0,0,10
"Lucas Alario","Leverkusen","ARG","FW",NA,26,6,0,0,0,23
"Paco Alcácer","Dortmund","ESP","FW",NA,25,0,0,0,0,2
"Thiago Alcántara","Bayern Munich","ESP","MF",NA,28,7,0,0,0,24
"Nadiem Amiri","Leverkusen","GER","MF","FW",22,3,0,0,0,27
"Ethan Ampadu","RB Leipzig","WAL","DF",NA,18,0,0,0,0,0
"Opoku Ampomah","Düsseldorf","GHA","FW","MF",23,1,0,0,0,16
"Sebastian Andersson","Union Berlin","SWE","FW",NA,28,5,0,0,0,62
"Robert Andrich","Union Berlin","GER","MF",NA,24,13,1,1,2,65
"Angeliño","RB Leipzig","ESP","DF","FW",22,2,0,0,0,12
"Christopher Antwi-Adjei","Paderborn 07","GHA","MF","FW",25,2,0,0,0,17
"Charles Aránguiz","Leverkusen","CHI","MF",NA,30,2,0,0,0,15
"Maximilian Arnold","Wolfsburg","GER","MF",NA,25,8,0,0,0,52
"Santiago Ascacíbar","Hertha BSC","ARG","MF",NA,22,2,0,0,0,11
"Ludwig Augustinsson","Werder Bremen","SWE","DF","MF",25,2,0,0,0,18
"Taiwo Awoniyi","Mainz 05","NGA","FW","MF",21,1,0,0,0,5
"Kaan Ayhan","Düsseldorf","TUR","DF",NA,24,10,0,0,0,36
"Daniel Baier","Augsburg","GER","MF",NA,35,6,0,0,0,31
"Leon Bailey","Leverkusen","JAM","FW","MF",21,0,2,0,2,17
"Lewis Baker","Düsseldorf","ENG","MF",NA,24,1,0,0,0,8
"Ridle Baku","Mainz 05","GER","DF","MF",21,5,1,0,1,33
"Leonardo Balerdi","Dortmund","ARG","DF","MF",20,1,0,0,0,1
"Philipp Bargfrede","Werder Bremen","GER","MF",NA,30,3,1,1,2,15
"Aymen Barkok","Düsseldorf","MAR","FW","MF",21,0,0,0,0,0
"Leandro Barreiro Martins","Mainz 05","LUX","MF",NA,19,4,0,0,0,26
"Fin Bartels","Werder Bremen","GER","MF","FW",32,2,0,0,0,8
"Oliver Baumann","Hoffenheim","GER","GK",NA,29,1,0,0,0,0
"Julian Baumgartlinger","Leverkusen","AUT","MF",NA,31,4,0,0,0,29
"Christoph Baumgartner","Hoffenheim","AUT","MF","FW",19,3,0,0,0,37
"Noah Joel Sarenren Bazee","Augsburg","NGA","FW",NA,22,1,0,0,0,2
"Ihlas Bebou","Hoffenheim","TOG","FW","MF",25,1,0,0,0,25
"Sheraldo Becker","Union Berlin","SUR","MF","FW",24,1,0,0,0,9
"Timo Becker","Schalke 04","GER","DF","MF",22,0,0,0,0,2
"Maximilian Beier","Hoffenheim","GER","FW",NA,16,1,0,0,0,3
"Ishak Belfodil","Hoffenheim","ALG","FW","MF",27,0,0,0,0,4
"Karim Bellarabi","Leverkusen","GER","FW","DF",29,2,0,0,0,22
"Lars Bender","Leverkusen","GER","DF","MF",30,3,0,0,0,18
"Sven Bender","Leverkusen","GER","DF",NA,30,3,0,0,0,25
"László Bénes","Gladbach","SVK","MF",NA,21,3,0,0,0,14
"Keanan Bennetts","Gladbach","ENG","MF",NA,20,0,0,0,0,0
"Ramy Bensebaini","Gladbach","ALG","DF",NA,24,8,1,1,2,27
"Valon Berisha","Düsseldorf","KVX","MF",NA,26,1,0,0,0,12
"Jordan Beyer","Gladbach","GER","DF",NA,19,1,0,0,0,2
"Ermin Bičakčić","Hoffenheim","BIH","DF",NA,29,0,0,0,0,7
"Leonardo Bittencourt","Werder Bremen","GER","FW","MF",25,6,0,0,0,52
"Jérôme Boateng","Bayern Munich","GER","DF",NA,30,5,1,0,1,18
"Adam Bodzek","Düsseldorf","GER","MF",NA,33,10,0,0,0,32
"Jean-Paul Boëtius","Mainz 05","NED","MF",NA,25,5,0,0,0,48
"Melayro Bogarde","Hoffenheim","NED","DF",NA,17,1,0,0,0,2
"Robin Bormuth","Düsseldorf","GER","DF",NA,23,0,0,0,0,0
"Sebastiaan Bornauw","Köln","BEL","DF",NA,20,5,1,0,1,41
"Brandon Borrello","Freiburg","AUS","MF","FW",24,0,0,0,0,3
"Nassim Boujellab","Schalke 04","MAR","MF","FW",20,2,0,0,0,11
"Dedryck Boyata","Hertha BSC","BEL","DF",NA,28,8,1,0,1,23
"Can Bozdogan","Schalke 04","GER","MF",NA,18,2,1,1,2,4
