"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Augsburg",643,1564,16310,20275,80.4,6626,7632,86.8,1980,3269,60.6,7229,8268,87.4,18389,1816,432,42,155,706,883,173,70,61.4,23863,563,343,60.9,220,39.1
"Bayern Munich",433,840,9582,13091,73.2,4287,5062,84.7,1288,2567,50.2,3692,4569,80.8,11395,1605,375,27,112,426,598,102,91,34.9,17140,503,292,58.1,211,41.9
"Dortmund",584,1101,12236,15653,78.2,5249,5987,87.7,1370,2472,55.4,5213,6143,84.9,14107,1460,343,37,111,454,664,102,86,39.6,19419,509,283,55.6,226,44.4
"Düsseldorf",622,1286,14730,18407,80,6457,7328,88.1,1589,2767,57.4,6228,7187,86.7,16655,1681,434,34,95,609,714,162,71,54.4,22067,540,340,63,200,37
"Eint Frankfurt",563,1264,12331,16294,75.7,5345,6334,84.4,1535,2788,55.1,5019,6050,83,14443,1754,451,33,146,539,770,138,97,49.1,20423,617,385,62.4,232,37.6
"Freiburg",762,1350,13736,17426,78.8,5944,6839,86.9,1509,2752,54.8,5833,6771,86.1,15751,1637,361,49,121,736,708,219,38,51.9,21217,497,322,64.8,175,35.2
"Gladbach",572,1186,12722,16383,77.7,5305,6146,86.3,1625,2809,57.8,5366,6341,84.6,14692,1638,489,23,132,636,667,155,53,47.6,20327,586,358,61.1,228,38.9
"Hertha BSC",714,1620,14773,18586,79.5,6521,7441,87.6,1625,2749,59.1,6186,7231,85.5,16702,1811,491,37,150,729,833,184,73,55.3,22138,521,313,60.1,208,39.9
"Hoffenheim",742,1494,13279,16873,78.7,5477,6276,87.3,1722,2865,60.1,5677,6683,84.9,15142,1660,412,35,152,751,712,207,71,48.4,20742,578,339,58.7,239,41.3
"Köln",633,1382,13651,17500,78,6191,7108,87.1,1460,2719,53.7,5520,6530,84.5,15523,1933,536,28,112,608,846,200,44,53.3,21354,622,373,60,249,40
"Leverkusen",498,923,9475,13325,71.1,4053,4977,81.4,1283,2519,50.9,3791,4803,78.9,11567,1669,462,63,92,488,712,129,89,36.8,17459,600,337,56.2,263,43.8
"Mainz 05",616,1518,14847,18725,79.3,6297,7206,87.4,1708,2941,58.1,6322,7376,85.7,16837,1850,500,17,144,712,792,217,38,56.8,22796,542,317,58.5,225,41.5
"Paderborn 07",583,1512,14581,18340,79.5,6121,7007,87.4,1741,2907,59.9,6277,7258,86.5,16349,1917,461,34,160,675,884,218,74,54.1,22537,722,421,58.3,301,41.7
"RB Leipzig",505,1079,12737,16552,77,5478,6329,86.6,1539,2829,54.4,5303,6266,84.6,14695,1754,435,34,140,545,739,155,103,44.7,20502,624,366,58.7,259,41.5
"Schalke 04",619,1186,12855,16747,76.8,5436,6400,84.9,1660,2788,59.5,5262,6350,82.9,14918,1772,443,35,143,636,810,178,57,51,20728,625,370,59.2,255,40.8
"Union Berlin",636,1434,15034,19264,78,6377,7419,86,1684,3020,55.8,6519,7647,85.2,17227,1974,552,28,132,687,915,184,63,58.1,23060,565,352,62.3,213,37.7
"Werder Bremen",706,1393,14001,17852,78.4,6015,7028,85.6,1706,2822,60.5,5684,6760,84.1,16046,1730,496,31,136,805,728,198,76,51.2,21797,573,357,62.3,216,37.7
"Wolfsburg",536,1328,12768,16849,75.8,5380,6355,84.7,1600,2902,55.1,5354,6459,82.9,14863,1940,538,14,154,607,866,169,46,51.6,20882,589,348,59.1,241,40.9
