"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aarón Martín","Mainz 05","ESP","DF","FW",23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,3,0,0,0
"Abass Issah","Mainz 05","GHA","DF","FW",21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Ádám Szalai","Mainz 05","HUN","FW",NA,32,0,1,0,0,14,6,42.9,0.07,0.17,14.9,0,15,11,4,0,0,0
"Admir Mehmedi","Wolfsburg","SUI","MF","FW",29,2,2,0,0,7,3,42.9,0,0,16.3,0,39,33,6,3,3,0
"Ahmed Kutucu","Schalke 04","TUR","FW","MF",20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0
"Ajdin Hrustic","Eint Frankfurt","AUS","MF","DF",24,0,1,0,0,7,4,57.1,0.14,0.25,24.8,0,11,7,4,2,0,2
"Akaki Gogia","Union Berlin","GER","FW","MF",28,1,1,0,0,2,2,100,0,0,20.9,0,4,3,1,3,2,1
"Alassane Pléa","Gladbach","FRA","FW",NA,27,1,7,0,0,62,25,40.3,0.1,0.24,17.2,0,76,57,19,9,8,1
"Aleksandar Dragović","Leverkusen","AUT","DF",NA,29,0,1,0,0,4,2,50,0.25,0.5,19.1,0,20,16,4,1,1,0
"Alessandro Schöpf","Schalke 04","AUT","FW","MF",26,0,0,0,0,10,1,10,0,0,21.7,0,15,9,6,2,2,0
"Alexander Hack","Mainz 05","GER","DF",NA,26,0,1,0,0,7,2,28.6,0.14,0.5,11.6,0,14,11,3,2,1,1
"Alexander Nübel","Bayern Munich","GER","GK",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alexander Schwolow","Hertha BSC","GER","GK",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,0
"Alexander Sørloth","RB Leipzig","NOR","FW",NA,24,3,8,1,0,46,17,37,0.11,0.29,12.4,0,58,46,12,4,3,1
"Alfreð Finnbogason","Augsburg","ISL","FW",NA,31,1,1,2,0,11,6,54.5,0,0,15.8,0,20,15,5,2,2,0
"Alkhaly Momo Cissé","Stuttgart","GUI","FW","DF",17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Almamy Touré","Eint Frankfurt","MLI","DF",NA,24,1,2,0,0,15,4,26.7,0.07,0.25,13.9,0,29,24,5,3,3,0
"Alphonso Davies","Bayern Munich","CAN","DF",NA,19,2,3,0,0,4,3,75,0.25,0.33,23.2,0,63,53,10,7,5,2
"Amadou Haidara","RB Leipzig","MLI","MF","FW",22,1,4,0,0,43,13,30.2,0.07,0.23,19.6,1,67,59,8,4,2,2
"Amin Younes","Eint Frankfurt","GER","MF",NA,26,3,6,0,0,33,13,39.4,0.09,0.23,18.2,0,60,40,20,6,5,1
"Amine Harit","Schalke 04","MAR","MF","FW",23,5,7,0,0,22,5,22.7,0.09,0.4,21.4,1,99,59,40,7,6,1
"Amir Abrashi","Freiburg","ALB","MF","DF",30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Amos Pieper","Arminia","GER","DF",NA,22,1,2,0,0,14,5,35.7,0.07,0.2,15.2,0,19,17,2,1,0,1
"Anderson Lucoqui","Arminia","ANG","DF",NA,23,0,0,0,0,8,1,12.5,0,0,29.5,0,27,16,11,2,1,1
"André Hahn","Augsburg","GER","FW","MF",29,3,11,0,0,43,14,32.6,0.19,0.57,15.2,0,30,19,11,7,4,3
"André Silva","Eint Frankfurt","POR","FW",NA,24,7,35,7,7,110,53,48.2,0.19,0.4,13.3,3,88,60,28,15,7,8
"Andreas Luthe","Union Berlin","GER","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,0,0
"Andreas Voglsammer","Arminia","GER","FW","MF",28,2,4,0,0,32,12,37.5,0.06,0.17,16.5,3,26,19,7,2,1,1
"Andrej Kramarić","Hoffenheim","CRO","FW","MF",29,5,25,5,5,91,39,42.9,0.16,0.38,18.4,7,96,64,32,13,7,6
"Angeliño","RB Leipzig","ESP","DF","FW",23,4,8,0,0,35,13,37.1,0.11,0.31,16.1,4,96,65,31,9,5,4
"Ansgar Knauff","Dortmund","GER","MF","FW",18,1,2,0,0,2,1,50,0.5,1,16.3,0,8,5,3,2,1,1
"Anthony Modeste","Köln","FRA","FW",NA,32,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,3,0,0,0
"Arne Maier","Hertha BSC","GER","MF",NA,21,0,0,0,0,11,2,18.2,0,0,20.2,2,2,2,0,0,0,0
"Arne Maier","Hertha BSC","GER","MF",NA,21,0,0,0,0,11,2,18.2,0,0,20.2,2,29,20,9,3,2,1
"Arne Maier","Arminia","GER","MF",NA,21,0,0,0,0,11,2,18.2,0,0,20.2,2,2,2,0,0,0,0
"Arne Maier","Arminia","GER","MF",NA,21,0,0,0,0,11,2,18.2,0,0,20.2,2,29,20,9,3,2,1
"Atakan Karazor","Stuttgart","GER","DF","MF",23,0,0,0,0,3,1,33.3,0,0,21.7,0,7,6,1,1,1,0
"Axel Witsel","Dortmund","BEL","MF",NA,31,0,0,0,0,12,2,16.7,0,0,21.1,0,21,18,3,1,1,0
"Aymen Barkok","Eint Frankfurt","MAR","MF","DF",22,3,5,0,0,19,6,31.6,0.11,0.33,21.4,1,41,27,14,7,4,3
"Baptiste Santamaria","Freiburg","FRA","MF",NA,25,2,3,0,0,29,8,27.6,0.03,0.13,23.2,0,40,31,9,4,3,1
"Bartosz Białek","Wolfsburg","POL","FW","MF",18,0,2,0,0,9,5,55.6,0.22,0.4,12,0,11,8,3,3,2,1
"Bas Dost","Eint Frankfurt","NED","FW",NA,31,2,6,1,1,14,8,57.1,0.21,0.38,10.5,0,20,18,2,3,3,0
"Bastian Oczipka","Schalke 04","GER","DF","FW",31,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,44,29,15,4,3,1
"Benito Raman","Schalke 04","BEL","FW","MF",25,0,2,0,0,26,8,30.8,0.08,0.25,18.7,1,32,24,8,0,0,0
"Benjamin Henrichs","RB Leipzig","GER","DF","MF",23,1,1,0,0,5,2,40,0,0,23.4,0,7,7,0,1,1,0
"Benjamin Pavard","Bayern Munich","FRA","DF",NA,24,0,0,0,0,11,3,27.3,0,0,21.1,0,30,27,3,1,1,0
"Benjamin Stambouli","Schalke 04","FRA","DF","MF",29,2,2,0,0,2,1,50,0,0,22.7,0,23,17,6,3,3,0
"Benno Schmitz","Köln","GER","DF",NA,25,1,1,0,0,4,1,25,0,0,16.4,0,14,10,4,1,1,0
"Blendi Idrizi","Schalke 04","KVX","MF",NA,22,0,1,0,0,4,1,25,0.25,1,23,0,1,1,0,0,0,0
"Borna Sosa","Stuttgart","CRO","DF","FW",22,9,9,0,0,14,3,21.4,0,0,22.1,2,85,58,27,12,9,3
"Bouna Sarr","Bayern Munich","SEN","DF",NA,28,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,14,13,1,3,3,0
"Breel Embolo","Gladbach","SUI","FW","MF",23,2,7,0,0,41,20,48.8,0.12,0.25,13.3,0,54,33,21,10,4,6
"Brian Behrendt","Arminia","GER","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Can Bozdogan","Schalke 04","GER","MF","FW",19,2,2,0,0,8,2,25,0,0,23.5,1,10,7,3,2,1,1
"Carlos Gruezo","Augsburg","ECU","MF",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,26,20,6,1,1,0
"Cebio Soukou","Arminia","BEN","FW","MF",27,0,1,0,0,9,1,11.1,0.11,1,21.3,0,10,7,3,0,0,0
"Cédric Brunner","Arminia","SUI","DF",NA,26,1,1,0,0,6,1,16.7,0,0,15.7,0,40,27,13,1,1,0
"Cedric Teuchert","Union Berlin","GER","FW","MF",23,1,4,0,0,24,10,41.7,0.13,0.3,16.4,0,20,11,9,2,0,2
"Charles Aránguiz","Leverkusen","CHI","MF",NA,31,0,0,0,0,4,2,50,0,0,10.1,0,36,33,3,1,1,0
"Chris Richards","Bayern Munich","USA","DF",NA,20,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,1,1,0
"Chris Richards","Bayern Munich","USA","DF",NA,20,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,11,10,1,1,1,0
"Chris Richards","Hoffenheim","USA","DF",NA,20,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,1,1,0
"Chris Richards","Hoffenheim","USA","DF",NA,20,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,11,10,1,1,1,0
"Christian Gebauer","Arminia","AUT","MF","FW",26,1,2,0,0,10,4,40,0.1,0.25,15.7,0,16,14,2,1,1,0
"Christian Gentner","Union Berlin","GER","MF",NA,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,20,18,2,1,1,0
"Christian Groß","Werder Bremen","GER","MF","DF",31,1,1,0,0,7,1,14.3,0,0,20.1,0,17,15,2,1,1,0
"Christian Günter","Freiburg","GER","DF","MF",27,3,6,0,0,26,7,26.9,0.12,0.43,23.4,1,108,78,30,10,9,1
"Christoph Baumgartner","Hoffenheim","AUT","MF","FW",20,3,9,0,0,61,21,34.4,0.1,0.29,16.1,1,83,59,24,11,8,3
"Christoph Kramer","Gladbach","GER","MF",NA,29,2,2,0,0,9,1,11.1,0,0,25,0,40,34,6,5,5,0
"Christopher Lenz","Union Berlin","GER","DF","FW",25,3,3,0,0,16,6,37.5,0,0,21.5,0,48,37,11,4,4,0
"Christopher Nkunku","RB Leipzig","FRA","FW","MF",22,6,12,0,0,55,26,47.3,0.11,0.23,18.2,6,143,69,74,16,10,6
"Christopher Scott","Bayern Munich","GER","MF","FW",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Christopher Trimmel","Union Berlin","AUT","DF","FW",33,9,10,0,0,8,3,37.5,0.13,0.33,23.1,0,93,56,37,11,6,5
"Corentin Tolisso","Bayern Munich","FRA","MF",NA,25,0,1,0,0,12,7,58.3,0.08,0.14,14.5,0,21,16,5,3,3,0
"Daichi Kamada","Eint Frankfurt","JPN","MF",NA,23,12,17,0,0,38,11,28.9,0.13,0.45,17.3,2,112,73,39,17,12,5
"Daishawn Redan","Hertha BSC","NED","FW","MF",19,0,0,0,0,3,2,66.7,0,0,11,0,2,1,1,0,0,0
"Daley Sinkgraven","Leverkusen","NED","DF",NA,25,0,0,0,0,6,1,16.7,0,0,18.3,0,33,27,6,2,1,1
"Dan-Axel Zagadou","Dortmund","FRA","DF",NA,21,0,0,0,0,1,1,100,0,0,12.5,0,1,1,0,0,0,0
"Dani Olmo","RB Leipzig","ESP","MF",NA,22,9,14,1,1,76,22,28.9,0.05,0.18,20.1,0,112,88,24,19,14,5
"Daniel Brosinski","Mainz 05","GER","DF","FW",32,1,3,2,2,8,1,12.5,0,0,27.6,3,44,29,15,3,1,2
"Daniel Caligiuri","Augsburg","ITA","MF","FW",32,4,10,3,2,37,13,35.1,0.11,0.31,22.3,8,95,44,51,8,5,3
"Daniel Didavi","Stuttgart","GER","MF","FW",30,3,7,0,0,23,7,30.4,0.17,0.57,18.6,4,40,31,9,5,3,2
"Daniel Ginczek","Wolfsburg","GER","FW","MF",29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,0,0
"Danny da Costa","Mainz 05","GER","DF","FW",27,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,1,0
"Danny da Costa","Mainz 05","GER","DF","FW",27,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,28,20,8,4,3,1
"Danny da Costa","Eint Frankfurt","GER","DF",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,1,0
"Danny da Costa","Eint Frankfurt","GER","DF",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,28,20,8,4,3,1
"Danny Latza","Mainz 05","GER","MF",NA,30,2,2,0,0,22,10,45.5,0,0,18.1,0,49,32,17,3,2,1
"Darko Churlinov","Stuttgart","MKD","DF","MF",20,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,7,6,1,2,2,0
"David Abraham","Eint Frankfurt","ARG","DF",NA,34,0,1,0,0,10,2,20,0.1,0.5,15.9,0,5,3,2,0,0,0
"David Alaba","Bayern Munich","AUT","DF","MF",28,4,6,0,0,21,6,28.6,0.1,0.33,23.9,3,60,55,5,7,6,1
"Davie Selke","Werder Bremen","GER","FW",NA,25,1,4,1,1,27,12,44.4,0.07,0.17,13.7,0,20,14,6,1,0,1
"Davy Klaassen","Werder Bremen","NED","MF",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,2,2,1,1,0
"Dayot Upamecano","RB Leipzig","FRA","DF",NA,21,0,1,0,0,14,5,35.7,0.07,0.2,12.9,0,27,25,2,2,1,1
"Dedryck Boyata","Hertha BSC","BEL","DF",NA,29,0,1,0,0,10,1,10,0.1,1,11.8,0,10,9,1,2,2,0
"Demarai Gray","Leverkusen","JAM","FW",NA,24,2,3,0,0,15,7,46.7,0.07,0.14,18,0,17,10,7,2,2,0
"Denis Zakaria","Gladbach","SUI","MF","DF",23,1,2,0,0,11,2,18.2,0.09,0.5,19.9,0,21,16,5,2,2,0
"Dennis Borkowski","RB Leipzig","GER","MF","FW",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Dennis Geiger","Hoffenheim","GER","MF",NA,22,1,2,0,0,7,3,42.9,0.14,0.33,21.1,0,23,14,9,1,0,1
"Deyovaisio Zeefuik","Hertha BSC","NED","DF","FW",22,0,1,0,0,3,2,66.7,0.33,0.5,12.7,0,29,22,7,1,0,1
"Diadie Samassékou","Hoffenheim","MLI","MF",NA,24,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,47,39,8,7,5,2
"Dimitris Limnios","Köln","GRE","MF","FW",22,0,0,0,0,6,2,33.3,0,0,18.8,1,9,8,1,0,0,0
"Djibril Sow","Eint Frankfurt","SUI","MF",NA,23,2,2,0,0,11,3,27.3,0,0,22.8,0,46,40,6,6,5,1
"Dodi Lukebakio","Hertha BSC","BEL","FW","MF",22,5,10,2,2,40,17,42.5,0.08,0.18,16.2,1,47,38,9,7,7,0
"Dominick Drexler","Köln","GER","MF","FW",30,1,3,0,0,12,2,16.7,0.17,1,13.6,0,34,31,3,1,0,1
