"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"David Abraham","Eint Frankfurt","ARG","DF",NA,34,18,12,66.6666666666667,17,17,64.7,13,4,9,17,34,0
"Tyler Adams","RB Leipzig","USA","MF","DF",21,35,24,68.5714285714286,31,31,54.8,22,5,17,29,30,0
"Sargis Adamyan","Hoffenheim","ARM","FW","MF",27,9,4,44.4444444444444,14,14,50,2,0,2,6,1,0
"Felix Agu","Werder Bremen","GER","DF",NA,20,20,9,45,18,18,55.6,14,3,11,12,18,0
"Naouirou Ahamada","Stuttgart","FRA","MF",NA,18,4,1,25,1,1,100,2,0,2,1,1,0
"Manuel Akanji","Dortmund","SUI","DF",NA,25,41,22,53.6585365853659,31,31,61.3,23,10,13,49,70,1
"Kevin Akpoguma","Hoffenheim","NGA","DF",NA,25,18,12,66.6666666666667,14,14,57.1,28,15,13,13,32,2
"David Alaba","Bayern Munich","AUT","DF","MF",28,37,21,56.7567567567568,32,32,53.1,29,13,16,43,60,0
"Lucas Alario","Leverkusen","ARG","FW",NA,27,8,2,25,4,4,50,9,1,8,2,10,0
"Omar Alderete","Hertha BSC","PAR","DF",NA,23,16,10,62.5,16,16,43.8,14,10,4,21,61,1
"Nadiem Amiri","Leverkusen","GER","MF",NA,23,12,7,58.3333333333333,33,33,21.2,18,3,15,12,7,0
"Sebastian Andersson","Köln","SWE","FW",NA,29,3,2,66.6666666666667,8,8,12.5,10,3,7,2,9,0
"Robert Andrich","Union Berlin","GER","MF",NA,25,51,24,47.0588235294118,53,53,45.3,40,6,34,51,31,2
"Angeliño","RB Leipzig","ESP","DF","FW",23,31,19,61.2903225806452,24,24,54.2,22,1,21,30,40,0
"Waldemar Anton","Stuttgart","GER","DF",NA,24,31,20,64.5161290322581,31,31,38.7,28,18,10,47,114,0
"Charles Aránguiz","Leverkusen","CHI","MF",NA,31,41,23,56.0975609756098,43,43,39.5,32,4,28,33,17,0
"Santiago Arias","Leverkusen","COL","DF",NA,28,2,1,50,1,1,100,0,0,0,1,4,0
"Maximilian Arnold","Wolfsburg","GER","MF",NA,26,47,32,68.0851063829787,49,49,36.7,24,3,21,49,57,0
"Santiago Ascacíbar","Hertha BSC","ARG","MF",NA,23,30,15,50,28,28,53.6,23,2,21,13,14,0
"Ludwig Augustinsson","Werder Bremen","SWE","DF","FW",26,37,20,54.0540540540541,29,29,58.6,21,7,14,20,62,0
"Taiwo Awoniyi","Union Berlin","NGA","FW",NA,22,5,3,60,14,14,7.1,9,0,9,3,4,0
"Mehmet Aydin","Schalke 04","GER","DF",NA,18,15,7,46.6666666666667,10,10,40,6,1,5,6,16,0
"Leon Bailey","Leverkusen","JAM","FW","MF",22,14,8,57.1428571428571,15,15,26.7,13,0,13,9,3,0
"Ridle Baku","Wolfsburg","GER","FW","DF",22,50,31,62,53,53,41.5,54,4,50,40,33,1
"Ridle Baku","Mainz 05","GER","DF",NA,22,4,2,50,6,6,33.3,3,1,2,3,6,0
"Aymen Barkok","Eint Frankfurt","MAR","MF","DF",22,29,15,51.7241379310345,31,31,32.3,15,1,14,10,9,1
"Leandro Barreiro Martins","Mainz 05","LUX","MF",NA,20,58,32,55.1724137931034,50,50,40,34,9,25,57,55,0
"Jacob Barrett Laursen","Arminia","DEN","DF",NA,25,23,12,52.1739130434783,16,16,62.5,14,4,10,24,37,0
"Oliver Baumann","Hoffenheim","GER","GK",NA,30,0,0,NA,1,1,0,0,0,0,2,14,0
"Julian Baumgartlinger","Leverkusen","AUT","MF",NA,32,43,20,46.5116279069767,31,31,51.6,12,0,12,12,10,1
"Christoph Baumgartner","Hoffenheim","AUT","MF","FW",20,44,31,70.4545454545455,51,51,27.5,40,8,32,24,24,0
"Noah Joel Sarenren Bazee","Augsburg","NGA","FW","MF",23,0,0,NA,1,1,0,0,0,0,1,0,0
"Ihlas Bebou","Hoffenheim","TOG","FW","MF",26,24,9,37.5,14,14,57.1,18,4,14,17,16,0
"Sheraldo Becker","Union Berlin","SUR","FW","MF",25,5,4,80,5,5,60,4,0,4,6,7,0
