"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Aarón Martín","Mainz 05","ESP","DF","FW",23,1997,5,262,52,8.6,3,79,2,2,13,0.4,0,3,34615,1800000
"Ádám Szalai","Mainz 05","HUN","FW",NA,32,1987,18,733,41,24,8,71,0,10,17,1.44,8,7,23077,1200000
"Admir Mehmedi","Wolfsburg","SUI","MF","FW",29,1991,18,820,46,26.8,8,76,0,10,21,1.94,15,8,53846,2800000
"Ajdin Hrustic","Eint Frankfurt","AUS","MF","DF",24,1996,11,272,25,8.9,1,74,0,10,20,2.09,9,0,3462,180000
"Alassane Pléa","Gladbach","FRA","FW",NA,27,1993,29,1803,62,58.9,19,80,7,10,28,1.41,39,28,59615,3100000
"Aleksandar Dragović","Leverkusen","AUT","DF",NA,29,1991,18,1136,63,37.1,11,86,9,7,27,1.61,22,16,69231,3600000
"Alessandro Schöpf","Schalke 04","AUT","FW","MF",26,1994,19,942,50,30.8,10,71,3,9,26,0.42,10,33,40385,2100000
"Alexander Hack","Mainz 05","GER","DF",NA,26,1993,21,1370,65,44.8,14,89,13,7,18,1.14,15,26,10577,550000
"Alexander Sørloth","RB Leipzig","NOR","FW",NA,24,1995,29,1443,50,47.2,13,83,10,16,23,1.97,28,14,34615,1800000
"Alfreð Finnbogason","Augsburg","ISL","FW",NA,31,1989,17,544,32,17.8,4,64,1,13,22,1.29,7,8,21154,1100000
"Almamy Touré","Eint Frankfurt","MLI","DF",NA,24,1996,17,704,41,23,8,74,3,9,13,2.24,17,12,32692,1700000
"Alphonso Davies","Bayern Munich","CAN","DF",NA,19,2000,23,1763,77,57.6,22,80,16,1,1,2.22,55,32,216346,11250000
"Amadou Haidara","RB Leipzig","MLI","MF","FW",22,1998,31,1905,61,62.3,21,80,9,10,23,1.81,37,21,19231,1e+06
"Amin Younes","Eint Frankfurt","GER","MF",NA,26,1993,26,1391,54,45.5,16,73,1,10,23,1.69,33,25,46154,2400000
"Amine Harit","Schalke 04","MAR","MF","FW",23,1997,28,2101,75,68.7,25,80,11,3,31,0.5,20,60,59615,3100000
"Anderson Lucoqui","Arminia","ANG","DF",NA,23,1997,21,1604,76,52.4,18,86,12,3,16,1.1,13,23,1923,1e+05
"André Hahn","Augsburg","GER","FW","MF",29,1990,29,2037,70,66.6,24,80,9,5,22,1.1,28,34,30769,1600000
"Andreas Voglsammer","Arminia","GER","FW","MF",28,1992,18,1000,56,32.7,11,75,2,7,26,1.17,10,14,3077,160000
"Andrej Kramarić","Hoffenheim","CRO","FW","MF",29,1991,28,2379,85,77.7,26,88,17,2,42,1.46,43,41,55769,2900000
"Angeliño","RB Leipzig","ESP","DF","FW",23,1997,26,2161,83,70.6,24,87,18,2,38,1.88,43,20,66538,3460000
"Arne Maier","Arminia","GER","MF",NA,21,1999,16,1034,65,33.8,13,78,5,3,6,1.19,7,16,26923,1400000
"Atakan Karazor","Stuttgart","GER","DF","MF",23,1996,19,1037,55,33.9,10,88,9,9,17,1.26,14,18,9038,470000
"Axel Witsel","Dortmund","BEL","MF",NA,31,1989,15,1130,75,36.9,13,85,11,2,15,1.87,24,18,153846,8e+06
"Aymen Barkok","Eint Frankfurt","MAR","MF","DF",22,1998,26,977,38,31.9,9,74,1,17,18,1.73,20,15,4038,210000
"Baptiste Santamaria","Freiburg","FRA","MF",NA,25,1995,30,2209,74,72.2,28,78,13,2,18,1.23,37,36,21154,1100000
"Bartosz Białek","Wolfsburg","POL","FW","MF",18,2001,19,270,14,8.8,1,72,0,18,11,1.95,9,3,769,40000
"Bas Dost","Eint Frankfurt","NED","FW",NA,31,1989,12,817,68,26.7,9,86,7,3,14,1.33,14,16,52692,2740000
"Bastian Oczipka","Schalke 04","GER","DF","FW",31,1989,27,1922,71,62.8,20,89,18,7,21,0.52,16,60,44231,2300000
"Benito Raman","Schalke 04","BEL","FW","MF",25,1994,25,1246,50,40.7,13,74,3,12,23,0.36,8,35,47115,2450000
"Benjamin Henrichs","RB Leipzig","GER","DF","MF",23,1997,13,540,42,17.6,5,76,3,8,20,2.23,9,7,32692,1700000
"Benjamin Pavard","Bayern Munich","FRA","DF",NA,24,1996,24,1943,81,63.5,22,86,19,2,26,2.29,61,27,96154,5e+06
"Benjamin Stambouli","Schalke 04","FRA","DF","MF",29,1990,24,1956,82,63.9,22,86,19,2,37,0.42,12,56,36538,1900000
"Benno Schmitz","Köln","GER","DF",NA,25,1994,12,416,35,13.6,4,86,2,8,9,1.67,3,9,11154,580000
"Borna Sosa","Stuttgart","CRO","DF","FW",22,1998,26,2042,79,66.7,25,80,16,1,32,1.58,38,33,12308,640000
"Bouna Sarr","Bayern Munich","SEN","DF",NA,28,1992,8,452,57,14.8,5,83,4,3,12,2.25,13,9,36538,1900000
"Breel Embolo","Gladbach","SUI","FW","MF",23,1997,31,1440,46,47.1,16,77,7,15,14,1.45,29,28,80769,4200000
"Can Bozdogan","Schalke 04","GER","MF","FW",19,2001,14,651,47,21.3,5,64,0,9,37,0.57,6,16,577,30000
"Carlos Gruezo","Augsburg","ECU","MF",NA,25,1995,28,2084,74,68.1,23,84,11,5,29,1,24,41,30769,1600000
"Cebio Soukou","Arminia","BEN","FW","MF",27,1992,14,458,33,15,5,71,1,9,12,1.29,4,7,4615,240000
"Cédric Brunner","Arminia","SUI","DF",NA,26,1994,31,2655,86,86.8,30,86,23,1,78,1.13,24,40,7500,390000
"Cedric Teuchert","Union Berlin","GER","FW","MF",23,1997,24,754,31,24.6,5,73,0,19,20,1.46,13,9,9808,510000
