"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arminia",26,358,880,10582,14604,72.5,3914,4823,81.2,1610,3097,52,4806,5879,81.7,12895,1660,493,13,114,471,714,118,49,42.3,18394,435,233,53.6,202,46.4
"Augsburg",25,431,987,10257,14168,72.4,4167,5063,82.3,1322,2716,48.7,4515,5469,82.6,12411,1690,497,17,114,500,690,121,67,41.4,18181,474,282,59.5,192,40.5
"Bayern Munich",29,829,2084,18358,22039,83.3,7794,8735,89.2,1993,3021,66,7997,9011,88.7,20252,1713,477,23,160,828,727,237,74,60.7,25817,690,437,63.3,252,36.5
"Dortmund",26,763,1745,18812,22396,84,8274,9247,89.5,1936,2917,66.4,8007,8942,89.5,20771,1556,396,41,150,532,674,173,69,59.6,25939,630,400,63.5,229,36.3
"Eint Frankfurt",25,664,1548,14241,18424,77.3,6399,7455,85.8,1446,2758,52.4,6095,7255,84,16631,1724,440,20,86,776,714,206,69,53.7,22260,514,277,53.9,237,46.1
"Freiburg",24,463,1170,12177,15960,76.3,4649,5516,84.3,1571,2930,53.6,5693,6655,85.5,14251,1653,426,15,155,636,721,123,56,47.3,19508,423,230,54.4,193,45.6
"Gladbach",23,613,1371,15207,18955,80.2,7096,8048,88.2,1364,2401,56.8,6254,7326,85.4,17199,1674,473,29,107,561,676,177,82,51.7,22732,533,319,59.8,214,40.2
"Hertha BSC",32,589,1176,12566,16169,77.7,4473,5282,84.7,1814,3023,60,5998,6958,86.2,14352,1740,460,16,155,585,751,152,77,49.6,19978,571,329,57.6,242,42.4
"Hoffenheim",30,581,1517,14269,18046,79.1,6008,6880,87.3,1608,2822,57,6296,7287,86.4,16275,1722,509,15,151,658,745,156,49,51.2,21927,553,279,50.5,274,49.5
"Köln",28,429,1131,11954,15870,75.3,4798,5675,84.5,1650,3005,54.9,5204,6246,83.3,14088,1725,490,10,105,655,756,135,57,46.3,19708,420,238,56.7,182,43.3
"Leverkusen",30,724,1522,17887,21683,82.5,7511,8391,89.5,1988,3185,62.4,7884,8922,88.4,19980,1631,409,17,152,674,733,184,72,59.7,25357,710,426,60,284,40
"Mainz 05",31,442,1046,9531,13776,69.2,4003,5020,79.7,1206,2557,47.2,4037,5275,76.5,11989,1730,425,22,80,605,808,130,57,40.7,17743,488,268,54.9,220,45.1
"RB Leipzig",25,624,1719,17500,21450,81.6,8233,9297,88.6,1453,2493,58.3,7169,8272,86.7,19713,1656,472,19,99,649,761,185,81,59.7,25102,523,315,60.2,208,39.8
"Schalke 04",42,452,943,11084,14706,75.4,4611,5483,84.1,1290,2483,52,4847,5750,84.3,12891,1747,486,19,123,425,715,124,68,44.7,18697,617,333,54,284,46
"Stuttgart",29,701,1467,14115,17768,79.4,6481,7378,87.8,1332,2415,55.2,5864,6865,85.4,15983,1730,474,23,113,539,723,155,55,51.5,21757,668,413,61.8,255,38.2
"Union Berlin",27,464,1059,11859,15951,74.3,4864,5826,83.5,1521,2901,52.4,5148,6256,82.3,14267,1600,420,15,97,640,728,140,84,44.9,19568,389,206,53,183,47
"Werder Bremen",27,414,1065,11648,15559,74.9,5201,6190,84,1349,2551,52.9,4826,5900,81.8,13764,1727,536,11,142,548,706,116,68,43.9,19371,367,188,51.2,179,48.8
"Wolfsburg",26,595,1397,13133,17236,76.2,4953,5972,82.9,1661,2905,57.2,6223,7378,84.3,15503,1656,431,20,118,643,759,176,77,51.1,21358,483,296,61.3,186,38.5
