"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arminia",26,52,-26,13,23,-10,13,29,-16,16,39,2,1,331,100,30.2,0.07,0.22,18.5,14,558,371,187,38,27,11
"Augsburg",36,54,-18,21,25,-4,15,29,-14,23,58,5,2,332,108,32.5,0.1,0.31,18.1,10,566,377,189,57,40,17
"Bayern Munich",99,44,55,64,21,43,35,23,12,75,173,10,9,572,219,38.3,0.16,0.41,16.9,9,1040,823,217,171,134,37
"Dortmund",75,46,29,40,20,20,35,26,9,57,131,7,3,488,184,37.7,0.15,0.39,16.7,14,879,655,224,131,99,32
"Eint Frankfurt",69,53,16,37,20,17,32,33,-1,52,115,8,8,442,162,36.7,0.12,0.34,16.3,12,806,595,211,114,75,39
"Freiburg",52,52,0,33,23,10,19,29,-10,34,85,6,6,383,140,36.6,0.12,0.32,17.3,17,666,474,192,83,55,28
"Gladbach",64,56,8,32,19,13,32,37,-5,44,107,11,10,443,165,37.2,0.12,0.32,17.4,12,779,556,223,109,70,39
"Hertha BSC",41,52,-11,21,26,-5,20,26,-6,29,69,6,4,377,142,37.7,0.1,0.25,18.4,12,644,447,197,68,50,18
"Hoffenheim",52,54,-2,32,24,8,20,30,-10,38,89,6,5,424,149,35.1,0.11,0.31,17.5,20,768,584,184,91,62,29
"Köln",34,60,-26,20,32,-12,19,30,-11,23,56,6,4,354,103,29.1,0.08,0.28,17.2,9,630,444,186,56,36,20
"Leverkusen",53,39,14,34,22,12,19,17,2,41,93,3,3,440,164,37.3,0.11,0.3,17.9,12,781,580,201,92,62,30
"Mainz 05",39,56,-17,16,26,-10,23,30,-7,23,62,5,5,374,134,35.8,0.09,0.25,17.4,10,628,440,188,64,42,22
"RB Leipzig",60,32,28,29,13,16,31,19,12,44,103,10,8,533,189,35.5,0.1,0.27,17.4,19,973,731,242,104,71,33
"Schalke 04",25,86,-61,14,34,-20,11,52,-41,20,44,3,0,301,81,26.9,0.08,0.3,18.4,11,519,340,179,41,30,11
"Stuttgart",56,55,1,27,26,1,29,29,0,42,96,8,6,448,150,33.5,0.11,0.32,17.7,12,805,580,225,93,63,30
"Union Berlin",50,43,7,32,18,14,18,25,-7,39,89,7,5,391,132,33.8,0.12,0.34,17.3,8,683,475,208,86,59,27
"Werder Bremen",36,57,-21,16,28,-12,20,29,-9,25,60,5,5,356,120,33.7,0.08,0.25,19,14,619,448,171,62,44,18
"Wolfsburg",61,37,24,32,16,16,29,21,8,48,105,3,2,475,164,34.5,0.12,0.34,18.1,14,811,593,218,99,76,23
