"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arminia",1,52,118,72.4,11,32.4,1,16.7
"Augsburg",1,54,126,73,7,20.6,1,14.3
"Bayern Munich",2,44,82,66.1,9,26.5,1,50
"Dortmund",2,46,91,70.6,11,32.4,0,0
"Eint Frankfurt",2,53,104,68.6,4,11.8,1,20
"Freiburg",2,52,124,72.6,6,17.6,1,20
"Gladbach",2,56,95,66.9,7,20.6,0,0
"Hertha BSC",2,52,89,68.1,9,26.5,1,12.5
"Hoffenheim",2,54,91,66.9,6,17.6,2,25
"Köln",2,60,97,67.1,5,14.7,1,11.1
"Leverkusen",3,39,74,66.1,9,26.5,1,50
"Mainz 05",2,56,107,69.1,5,14.7,0,0
"RB Leipzig",2,32,52,65.5,15,44.1,0,0
"Schalke 04",3,86,152,66.2,4,11.8,1,12.5
"Stuttgart",2,55,110,69.9,5,14.7,2,28.6
"Union Berlin",2,43,93,71.3,7,20.6,1,20
"Werder Bremen",1,57,101,66.2,6,17.6,2,33.3
"Wolfsburg",2,37,84,72.1,14,41.2,2,40
