"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arminia",464,279,60.1293103448276,435,435,46.4,341,90,251,346,652,6
"Augsburg",513,317,61.7933723196881,474,474,40.5,390,90,300,372,530,7
"Bayern Munich",601,328,54.5757071547421,689,689,36.6,449,130,319,456,855,12
"Dortmund",523,304,58.1261950286807,629,629,36.4,412,120,292,483,665,13
"Eint Frankfurt",549,309,56.2841530054645,514,514,46.1,351,93,258,470,689,9
"Freiburg",424,261,61.5566037735849,423,423,45.6,370,87,283,354,617,8
"Gladbach",513,302,58.869395711501,533,533,40.2,403,95,308,419,605,16
"Hertha BSC",552,315,57.0652173913044,571,571,42.4,344,83,261,399,579,8
"Hoffenheim",554,343,61.913357400722,553,553,49.5,413,91,322,428,644,6
"Köln",446,284,63.677130044843,420,420,43.3,376,96,280,363,618,7
"Leverkusen",619,398,64.297253634895,710,710,40,400,106,294,428,707,4
"Mainz 05",499,308,61.7234468937876,488,488,45.1,386,89,297,448,673,8
"RB Leipzig",534,303,56.7415730337079,523,523,39.8,429,127,302,520,696,9
"Schalke 04",636,370,58.1761006289308,617,617,46,380,83,297,378,447,7
"Stuttgart",665,394,59.2481203007519,668,668,38.2,433,111,322,455,564,4
"Union Berlin",413,265,64.1646489104116,389,389,47,354,90,264,401,640,7
"Werder Bremen",447,270,60.4026845637584,367,367,48.8,344,82,262,413,517,7
"Wolfsburg",482,281,58.298755186722,482,482,38.6,408,111,297,445,677,15
