"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arminia",26,78,75.5,15,44.1,1,50
"Augsburg",36,75,69.4,11,32.4,1,33.3
"Bayern Munich",99,130,60.7,0,0,1,10
"Dortmund",75,113,61.9,1,2.9,2,40
"Eint Frankfurt",69,106,64.1,2,5.9,0,0
"Freiburg",52,95,68.5,9,26.5,0,0
"Gladbach",64,112,69.1,4,11.8,0,0
"Hertha BSC",41,106,75,12,35.3,2,33.3
"Hoffenheim",52,103,69.7,7,20.6,1,16.7
"Köln",34,74,72.2,12,35.3,1,20
"Leverkusen",53,115,70.1,9,26.5,0,0
"Mainz 05",39,100,75.5,10,29.4,0,0
"RB Leipzig",60,138,73.9,4,11.8,2,20
"Schalke 04",25,57,70.2,18,52.9,3,100
"Stuttgart",56,102,68.4,6,17.6,2,25
"Union Berlin",50,87,67.6,6,17.6,2,28.6
"Werder Bremen",36,90,75.2,9,26.5,0,0
"Wolfsburg",61,109,64.5,5,14.7,0,0
