"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Bayern Munich",1,24,6,4,78,13,11,4,2,0,4,43,35
"RB Leipzig",2,19,8,7,65,11,8,4,4,2,5,37,28
"Dortmund",3,20,4,10,64,11,9,2,2,4,6,35,29
"Wolfsburg",4,17,10,7,61,10,7,4,6,3,4,34,27
"Eint Frankfurt",5,16,12,6,60,10,6,7,5,0,6,37,23
"Leverkusen",6,14,10,10,52,8,6,5,5,4,6,29,23
"Union Berlin",7,12,14,8,50,8,4,8,6,1,7,32,18
"Gladbach",8,13,10,11,49,8,5,4,6,5,6,28,21
"Stuttgart",9,12,9,13,45,5,7,6,3,6,7,21,24
"Freiburg",10,12,9,13,45,7,5,6,3,4,9,27,18
"Hoffenheim",11,11,10,13,43,8,3,3,7,6,7,27,16
"Mainz 05",12,10,9,15,39,4,6,4,5,9,6,16,23
"Augsburg",13,10,6,18,36,6,4,4,2,7,11,22,14
"Hertha BSC",14,8,11,15,35,5,3,5,6,7,8,20,15
"Arminia",15,9,8,17,35,6,3,2,6,9,8,20,15
"Köln",16,8,9,17,33,3,6,5,4,10,8,14,22
"Werder Bremen",17,7,10,17,31,3,4,5,5,9,8,14,17
"Schalke 04",18,3,7,24,16,3,0,3,4,11,13,12,4
