"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arminia",59,0,0,0,315
"Augsburg",59,0,0,0,381
"Bayern Munich",49,0,0,0,376
"Bochum",68,0,0,0,412
"Dortmund",69,0,0,0,418
"Eint Frankfurt",61,1,0,1,325
"Freiburg",65,2,1,3,396
"Gladbach",73,4,3,7,488
"Greuther Fürth",49,2,1,3,451
"Hertha BSC",47,0,0,0,451
"Hoffenheim",47,3,2,5,361
"Köln",65,0,0,0,481
"Leverkusen",50,1,0,1,350
"Mainz 05",69,0,0,0,406
"RB Leipzig",68,4,0,4,446
"Stuttgart",58,2,0,2,437
"Union Berlin",52,3,3,6,350
"Wolfsburg",66,2,0,2,431
