"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Augsburg",522,299,57.27969348659,479,479,48.4,428,125,303,286,755,14
"Bayern Munich",623,387,62.1187800963082,538,538,53.3,381,77,304,287,477,19
"Bochum",626,386,61.6613418530351,635,635,48.8,402,118,284,337,776,13
"Dortmund",580,334,57.5862068965517,551,551,52.1,382,95,287,298,491,9
"Eint Frankfurt",562,357,63.5231316725979,585,585,45.3,415,88,327,284,687,5
"Freiburg",498,289,58.0321285140562,451,451,45.9,375,106,269,325,612,10
"Gladbach",497,275,55.3319919517103,536,536,49.8,405,104,301,267,728,7
"Hertha BSC",576,344,59.7222222222222,521,521,48.2,416,132,284,366,797,8
"Hoffenheim",543,323,59.4843462246777,474,474,49.8,428,119,309,285,665,8
"Köln",615,370,60.1626016260163,666,666,46.5,423,99,324,372,716,5
"Leverkusen",494,280,56.6801619433198,421,421,56.1,358,99,259,294,599,12
"Mainz 05",547,341,62.3400365630713,559,559,48.3,419,98,321,433,673,9
"RB Leipzig",534,312,58.4269662921348,512,512,49.4,428,94,334,310,552,3
"Schalke 04",542,329,60.7011070110701,551,551,45.9,397,110,287,306,723,12
"Stuttgart",528,316,59.8484848484849,524,524,51.1,421,113,308,308,666,10
"Union Berlin",494,278,56.2753036437247,525,525,45.5,356,101,255,262,704,6
"Werder Bremen",595,349,58.655462184874,617,617,48.6,371,103,268,321,789,7
"Wolfsburg",543,324,59.6685082872928,521,521,50.9,443,116,327,292,701,9
