"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Noah Atubolu","Freiburg","GER","GK",NA,21,11,9,14,58,99,65.2,10,29.4,2,40
"Oliver Baumann","Hoffenheim","GER","GK",NA,33,13,7,14,66,143,69.7,2,5.9,3,60
"Janis Blaswich","RB Leipzig","GER","GK",NA,32,10,4,7,30,46,65.8,5,23.8,0,0
"Koen Casteels","Wolfsburg","BEL","GK",NA,31,8,6,11,39,78,67.8,4,16,0,0
"Finn Dahmen","Augsburg","GER","GK",NA,25,10,9,12,52,106,71.5,3,9.7,2,22.2
"Gregor Kobel","Dortmund","SUI","GK",NA,25,14,8,5,34,84,75.4,7,25.9,1,16.7
"Kevin Müller","Heidenheim","GER","GK",NA,32,10,12,12,55,121,72.4,6,17.6,1,12.5
"Manuel Neuer","Bayern Munich","GER","GK",NA,37,16,1,6,33,59,66.7,6,26.1,1,33.3
"Moritz Nicolas","Gladbach","GER","GK",NA,25,6,11,10,49,111,71.9,4,14.8,0,0
"Alexander Nübel","Stuttgart","GER","GK",NA,26,20,3,7,36,74,69.2,11,36.7,0,0
"Jonas Omlin","Gladbach","SUI","GK",NA,29,1,2,4,18,29,66,0,0,0,0
"Jiří Pavlenka","Werder Bremen","CZE","GK",NA,31,2,0,5,17,21,60.5,1,14.3,0,0
"Manuel Riemann","Bochum","GER","GK",NA,34,7,12,14,70,116,67,4,12.1,2,18.2
"Frederik Rønnow","Union Berlin","DEN","GK",NA,30,9,6,18,56,105,68.5,7,21.2,2,28.6
"Marcel Schuhen","Darmstadt 98","GER","GK",NA,30,3,7,21,76,123,62.1,3,9.7,1,50
"Marvin Schwäbe","Köln","GER","GK",NA,28,5,12,17,60,108,66.1,4,11.8,0,0
"Kevin Trapp","Eint Frankfurt","GER","GK",NA,33,10,13,9,48,87,71.5,7,21.9,2,18.2
"Sven Ulreich","Bayern Munich","GER","GK",NA,34,7,2,2,12,19,64.5,4,36.4,0,0
"Robin Zentner","Mainz 05","GER","GK",NA,28,7,12,11,48,81,64.8,7,23.3,0,0
"Michael Zetterer","Werder Bremen","GER","GK",NA,28,9,9,9,37,92,74.2,6,22.2,0,0
