"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Augsburg",60,50,40,98,10,7,497,174,35,0.1,0.29,17.5,5,902,693,209,104,77,27
"Bayern Munich",45,94,35,80,4,3,350,120,34.3,0.12,0.35,19.1,8,614,458,156,81,57,24
"Bochum",74,42,55,125,11,9,523,178,34,0.12,0.34,16.6,7,939,657,282,122,86,36
"Darmstadt 98",86,30,68,152,2,1,576,213,37,0.14,0.39,17,26,1021,751,270,150,112,38
"Dortmund",43,68,28,69,6,5,471,139,29.5,0.08,0.26,17.1,18,813,555,258,70,47,23
"Eint Frankfurt",50,51,34,84,11,9,408,135,33.1,0.1,0.3,17.6,10,722,521,201,81,53,28
"Freiburg",58,45,45,102,5,3,504,153,30.4,0.11,0.35,17.6,10,877,652,225,101,79,22
"Gladbach",67,56,52,119,6,6,575,201,35,0.11,0.3,17.6,22,1009,740,269,119,88,31
"Heidenheim",55,50,36,88,10,7,515,166,32.2,0.09,0.27,16.8,19,913,650,263,92,68,24
"Hoffenheim",66,66,51,116,5,2,567,206,36.3,0.11,0.31,17.1,17,995,715,280,116,87,29
"Köln",60,28,39,99,3,3,505,165,32.7,0.11,0.35,15.9,19,887,603,284,98,64,34
"Leverkusen",24,89,18,42,0,0,291,105,36.1,0.08,0.23,17.5,5,494,375,119,39,26,13
"Mainz 05",51,39,40,90,4,3,408,142,34.8,0.12,0.33,17.6,10,736,533,203,96,74,22
"RB Leipzig",39,77,29,67,5,4,398,113,28.4,0.09,0.3,17.4,9,701,504,197,65,41,24
"Stuttgart",39,78,24,60,3,3,375,126,33.6,0.09,0.26,17.1,11,653,447,206,61,41,20
"Union Berlin",58,33,37,94,7,5,476,161,33.8,0.11,0.32,17.4,15,851,633,218,96,70,26
"Werder Bremen",54,48,39,92,6,6,529,160,30.2,0.09,0.29,17,11,947,679,268,91,67,24
"Wolfsburg",56,41,43,96,3,2,428,149,34.8,0.12,0.34,17.5,16,765,559,206,100,77,23
