"Player","Squad","Nation","Pos","Pos2","Age","Wins","Draws","Losses","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alphonse Areola","Real Madrid","FRA","GK",NA,26,3,1,0,5,9,78.6,1,25,0,0
"Sergio Asenjo","Villarreal","ESP","GK",NA,30,17,4,13,41,104,75.2,11,32.4,1,16.7
"Rubén Blanco","Celta Vigo","ESP","GK",NA,24,6,14,13,43,92,71.9,10,30.3,0,0
"Yassine Bounou","Sevilla","MAR","GK",NA,28,4,1,0,3,17,90,4,80,0,0
"Jasper Cillessen","Valencia","NED","GK",NA,30,10,7,7,30,78,78,5,20.8,2,25
"Iván Cuéllar","Leganés","ESP","GK",NA,35,7,9,11,33,65,67.7,7,25.9,1,50
"Marko Dmitrović","Eibar","SRB","GK",NA,27,9,9,17,51,71,61.5,10,28.6,1,20
"Jaume Doménech","Valencia","ESP","GK",NA,28,4,4,6,23,58,72.8,3,21.4,0,0
"Fabricio","Mallorca","ESP","GK",NA,31,0,0,1,3,3,66.7,0,0,0,0
"Aitor Fernández","Levante","ESP","GK",NA,28,12,7,17,51,153,76.6,5,13.9,2,40
"Andrés Fernández","Villarreal","ESP","GK",NA,32,1,2,1,8,12,73.7,1,25,0,0
"Sergio Herrera","Osasuna","ESP","GK",NA,26,7,3,8,27,53,67.5,7,38.9,0,0
"Diego López","Espanyol","ESP","GK",NA,37,4,9,23,58,103,67.5,4,11.1,1,14.3
"Jordi Masip","Valladolid","ESP","GK",NA,30,8,15,12,39,85,73.6,11,31.4,1,14.3
"Jan Oblak","Atlético Madrid","SVN","GK",NA,26,18,16,4,27,87,78.4,17,44.7,0,0
"Fernando Pacheco","Alavés","ESP","GK",NA,27,7,7,13,37,62,71.6,6,22.2,3,27.3
"Juan Pérez","Osasuna","ESP","GK",NA,23,1,1,0,3,6,77.8,0,0,0,0
"Manolo Reina","Mallorca","ESP","GK",NA,34,9,5,22,60,119,74.3,5,13.9,1,6.7
"Álex Remiro","Real Sociedad","ESP","GK",NA,24,11,4,10,32,60,73.1,6,24,1,12.5
"Roberto","Alavés","ESP","GK",NA,33,2,1,5,19,35,70.4,2,25,0,0
"Joel Robles","Betis","ESP","GK",NA,29,9,11,13,48,83,71.5,5,15.2,0,0
"Rubén","Osasuna","ESP","GK",NA,35,5,9,4,24,30,61.1,4,22.2,0,0
"Rui Silva","Granada","POR","GK",NA,25,15,8,12,42,99,73.2,12,34.3,1,20
"Unai Simón","Athletic Club","ESP","GK",NA,22,13,9,12,29,82,78,12,35.3,0,0
"Antonio Sivera","Alavés","ESP","GK",NA,22,1,1,1,3,2,60,1,33.3,0,0
"David Soria","Getafe","ESP","GK",NA,26,14,12,12,37,73,70.6,15,39.5,1,16.7
"Juan Soriano","Leganés","ESP","GK",NA,21,1,3,7,18,22,66.7,1,9.1,0,0
"Marc-André ter Stegen","Barcelona","GER","GK",NA,27,24,6,6,36,79,74.1,14,38.9,1,14.3
"Tomáš Vaclík","Sevilla","CZE","GK",NA,30,15,12,6,31,65,69.8,12,36.4,1,33.3
"Yoel","Eibar","ESP","GK",NA,30,2,0,1,5,10,68.8,1,25,1,100
