"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alavés",3,59,99,70.8,9,23.7,3,20
"Athletic Club",2,38,92,74.2,12,31.6,0,0
"Atlético Madrid",2,27,88,78.6,17,44.7,0,0
"Barcelona",2,38,80,73.1,15,39.5,1,14.3
"Betis",2,60,95,68.2,6,15.8,0,0
"Celta Vigo",3,49,100,70.5,12,31.6,0,0
"Eibar",2,56,81,62.3,11,28.9,2,33.3
"Espanyol",2,58,106,68.1,6,15.8,1,14.3
"Getafe",1,37,73,70.6,15,39.5,1,16.7
"Granada",2,45,110,73.7,13,34.2,1,20
"Leganés",2,51,87,67.4,9,23.7,1,14.3
"Levante",2,53,161,76.7,6,15.8,2,40
"Mallorca",3,65,125,73.7,5,13.2,1,6.3
"Osasuna",3,54,89,65.7,11,28.9,0,0
"Real Madrid",2,25,85,79.1,19,50,0,0
"Real Sociedad",2,48,96,71.5,9,23.7,1,12.5
"Sevilla",2,34,83,73.5,17,44.7,1,25
"Valencia",2,53,136,75.8,8,21.1,2,22.2
"Valladolid",3,43,95,74.1,12,31.6,1,12.5
"Villarreal",2,49,116,75,12,31.6,1,11.1
