"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Alavés",555,347,62.5225225225225,497,497,49.5,291,66,225,329,584,10
"Athletic Club",549,313,57.0127504553734,587,587,42.6,330,85,245,327,704,15
"Atlético Madrid",572,355,62.0629370629371,543,543,35.9,342,112,230,384,709,12
"Barcelona",623,361,57.9454253611557,793,793,33.9,430,117,313,525,575,12
"Betis",623,374,60.0321027287319,713,713,37.6,369,108,261,364,644,13
"Celta Vigo",615,348,56.5853658536585,610,610,39.3,401,88,313,384,646,14
"Eibar",553,331,59.8553345388788,458,458,43.2,328,97,231,342,923,17
"Espanyol",539,305,56.5862708719852,489,489,42.5,319,107,212,367,787,9
"Getafe",520,292,56.1538461538462,476,476,42.4,384,100,284,384,852,13
"Granada",543,302,55.6169429097606,553,553,45.8,335,99,236,333,665,13
"Leganés",530,339,63.9622641509434,581,581,41.1,324,100,224,332,850,6
"Levante",553,349,63.1103074141049,637,637,39.4,385,112,273,321,662,7
"Mallorca",670,393,58.6567164179104,709,709,44.7,352,94,258,383,690,8
"Osasuna",516,316,61.2403100775194,525,525,40,345,91,254,406,776,18
"Real Madrid",600,352,58.6666666666667,769,769,37.1,367,101,266,374,777,14
"Real Sociedad",591,359,60.7445008460237,589,589,39.7,421,108,313,409,708,9
"Sevilla",606,380,62.7062706270627,667,667,38.1,385,109,276,430,810,15
"Valencia",486,288,59.2592592592593,548,548,37,274,74,200,372,634,11
"Valladolid",555,331,59.6396396396396,569,569,40.6,337,93,244,300,613,11
"Villarreal",569,337,59.2267135325132,690,690,37.5,353,106,247,369,616,9
