"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aarón Escandell","Granada","ESP","GK",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aarón Martín","Celta Vigo","ESP","DF",NA,23,3,3,0,0,5,1,20,0,0,22.4,0,15,11,4,3,3,0
"Abdallahi Mahmoud","Alavés","MTN","MF",NA,20,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Abdoulay Diaby","Getafe","MLI","DF",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,1
"Adnan Januzaj","Real Sociedad","BEL","FW","MF",25,5,9,3,3,29,9,31,0.03,0.11,22.1,4,54,32,22,12,7,5
"Adrián López","Osasuna","ESP","FW","MF",32,1,2,0,0,10,2,20,0.1,0.5,14.2,0,16,11,5,2,2,0
"Adrián Marín","Alavés","ESP","DF","MF",23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Adrián Marín","Alavés","ESP","DF","MF",23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,4,1,2,2,0
"Adrián Marín","Granada","ESP","DF","MF",23,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Adrián Marín","Granada","ESP","DF","MF",23,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,5,4,1,2,2,0
"Aihen Muñoz","Real Sociedad","ESP","DF",NA,22,1,1,0,0,4,1,25,0,0,21.9,0,17,13,4,3,2,1
"Aïssa Mandi","Betis","ALG","DF",NA,28,1,4,0,0,8,7,87.5,0.38,0.43,6.3,0,9,8,1,2,1,1
"Aitor Fernández","Levante","ESP","GK",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Aitor Ruibal","Betis","ESP","FW","MF",24,2,4,0,0,33,14,42.4,0.06,0.14,17.9,0,54,40,14,3,3,0
"Alberto Cifuentes","Cádiz","ESP","GK",NA,41,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0
"Alberto Moreno","Villarreal","ESP","DF",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,0,4,0,0,0
"Alberto Perea","Cádiz","ESP","MF",NA,29,3,5,0,0,28,6,21.4,0.07,0.33,22.4,4,44,24,20,8,7,1
"Alberto Soro","Granada","ESP","FW","MF",21,2,3,0,0,2,1,50,0.5,1,11.3,0,9,8,1,2,2,0
