"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Atlético Madrid",1,26,8,4,86,15,11,3,5,1,3,48,38
"Real Madrid",2,25,9,4,84,13,12,3,6,3,1,42,42
"Barcelona",3,24,7,7,79,11,13,5,2,3,4,38,41
"Sevilla",4,24,5,9,77,14,10,1,4,4,5,43,34
"Real Sociedad",5,17,11,10,62,9,8,6,5,4,6,33,29
"Betis",6,17,10,11,61,10,7,5,5,4,7,35,26
"Villarreal",7,15,13,10,58,8,7,6,7,5,5,30,28
"Celta Vigo",8,14,11,13,53,9,5,3,8,7,6,30,23
"Granada",9,13,7,18,46,9,4,4,3,6,12,31,15
"Athletic Club",10,11,13,14,46,8,3,6,7,5,9,30,16
"Osasuna",11,11,11,16,44,7,4,5,6,7,9,26,18
"Cádiz",12,11,11,16,44,5,6,5,6,9,7,20,24
"Valencia",13,10,13,15,43,8,2,7,6,4,11,31,12
"Levante",14,9,14,15,41,5,4,9,5,5,10,24,17
"Getafe",15,9,11,18,38,6,3,6,5,7,11,24,14
"Alavés",16,9,11,18,38,6,3,6,5,7,11,24,14
"Elche",17,8,12,18,36,5,3,8,4,6,12,23,13
"Huesca",18,7,13,18,34,5,2,7,6,7,11,22,12
"Valladolid",19,5,16,17,31,3,2,7,9,9,8,16,15
"Eibar",20,6,12,20,30,2,4,7,5,10,10,13,17
