"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Abde Ezzalzouli","Barcelona","MAR","FW",NA,19,47,8,76,132,186,71,88,105,83.8,7,11,63.6,24,43,55.8,6,4,1,182,4,0,0,1,15,3,1,0,302,59,34,57.6,25,42.4
"Abdón Prats","Mallorca","ESP","FW",NA,28,4,17,33,104,156,66.7,64,96,66.7,4,7,57.1,22,28,78.6,10,4,0,139,17,1,0,2,2,0,0,0,232,11,7,63.6,4,36.4
"Adama Traoré","Barcelona","ESP","FW",NA,25,34,10,55,121,169,71.6,79,91,86.8,6,14,42.9,31,49,63.3,7,11,7,166,2,0,0,0,38,2,0,1,224,35,24,68.6,11,31.4
"Adnan Januzaj","Real Sociedad","BEL","FW","MF",26,65,80,140,486,749,64.9,231,268,86.2,76,190,40,161,224,71.9,34,35,9,606,134,44,5,15,146,7,82,9,1037,79,46,58.2,33,41.8
"Adri Embarba","Espanyol","ESP","FW","MF",29,75,54,134,474,782,60.6,255,320,79.7,52,161,32.3,138,221,62.4,37,22,11,621,154,38,0,6,192,7,109,7,1099,80,41,51.3,39,48.8
"Adrià Pedrosa","Espanyol","ESP","DF",NA,23,90,69,140,935,1265,73.9,514,584,88,65,164,39.6,326,425,76.7,23,16,10,1023,241,24,0,7,115,216,1,1,1649,82,48,58.5,34,41.5
"Aihen Muñoz","Real Sociedad","ESP","DF",NA,23,32,51,55,577,772,74.7,296,338,87.6,47,107,43.9,221,279,79.2,6,10,4,607,163,24,0,2,39,138,1,2,926,28,14,50,14,50
"Aitor Ruibal","Betis","ESP","FW","DF",25,21,28,72,258,341,75.7,162,188,86.2,12,24,50,77,99,77.8,11,8,2,310,25,2,0,1,17,23,0,6,468,26,13,50,13,50
"Alberto Moreno","Villarreal","ESP","MF","DF",29,34,53,87,493,617,79.9,259,285,90.9,26,55,47.3,190,222,85.6,16,21,7,550,58,17,3,2,47,28,13,9,762,17,10,58.8,7,41.2
"Alberto Perea","Cádiz","ESP","MF",NA,30,32,53,72,272,372,73.1,138,152,90.8,21,48,43.8,99,139,71.2,12,12,6,344,28,6,2,2,48,13,9,0,508,53,29,54.7,24,45.3
