"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Alavés",31,65,-34,17,21,-4,14,44,-30,20,49,7,6,373,111,29.8,0.06,0.21,18.2,15,628,392,236,48,27,21
"Athletic Club",43,36,7,29,18,11,14,18,-4,34,74,7,3,460,150,32.6,0.08,0.25,16.8,11,821,581,240,72,52,20
"Atlético Madrid",65,43,22,33,16,17,32,27,5,45,108,5,4,458,152,33.2,0.13,0.39,17.5,8,828,593,235,111,86,25
"Barcelona",68,38,30,37,19,18,31,19,12,52,120,7,6,511,177,34.6,0.12,0.35,17.1,15,942,728,214,123,95,28
"Betis",62,40,22,34,22,12,28,18,10,45,105,6,6,509,182,35.8,0.11,0.3,18.4,21,902,670,232,94,65,29
"Cádiz",35,51,-16,19,24,-5,16,27,-11,21,56,6,3,405,118,29.1,0.08,0.27,17.9,14,687,459,228,55,32,23
"Celta Vigo",43,43,0,26,23,3,17,20,-3,29,72,6,3,405,135,33.3,0.1,0.3,18.3,14,701,540,161,70,52,18
"Elche",40,52,-12,24,21,3,16,31,-15,29,68,1,1,334,106,31.7,0.11,0.36,18,8,592,426,166,68,50,18
"Espanyol",40,53,-13,25,19,6,15,34,-19,25,64,5,5,403,128,31.8,0.08,0.27,19.5,24,721,521,200,67,45,22
"Getafe",33,41,-8,21,15,6,12,26,-14,26,57,5,3,404,111,27.5,0.07,0.25,20.6,29,700,464,236,53,38,15
"Granada",44,61,-17,22,29,-7,22,32,-10,28,71,5,3,421,131,31.1,0.1,0.31,19.2,12,702,488,214,68,45,23
"Levante",51,76,-25,28,30,-2,23,46,-23,34,85,13,8,430,146,34,0.1,0.29,17.7,14,720,486,234,79,55,24
"Mallorca",36,63,-27,20,25,-5,16,38,-22,23,56,7,6,440,131,29.8,0.06,0.21,19.5,23,761,495,266,59,32,27
"Osasuna",37,51,-14,17,26,-9,20,25,-5,23,60,8,6,425,114,26.8,0.07,0.27,19.6,11,721,502,219,62,42,20
"Rayo Vallecano",39,50,-11,26,22,4,13,28,-15,28,66,4,4,500,133,26.6,0.07,0.26,18.5,27,862,603,259,63,36,27
"Real Madrid",80,31,49,44,13,31,36,18,18,59,139,12,8,645,243,37.7,0.11,0.3,18.8,21,1195,922,273,139,102,37
"Real Sociedad",40,37,3,16,9,7,24,28,-4,22,62,10,9,430,143,33.3,0.07,0.22,17.1,18,773,530,243,69,38,31
"Sevilla",53,30,23,36,17,19,17,13,4,40,91,3,2,430,139,32.3,0.11,0.35,17,10,784,578,206,95,63,32
"Valencia",48,53,-5,26,24,2,22,29,-7,30,75,9,8,394,129,32.7,0.09,0.29,18.9,18,718,479,239,83,53,30
"Villarreal",63,37,26,40,18,22,23,19,4,51,113,6,5,449,164,36.5,0.13,0.35,15.3,8,800,593,207,112,73,39
