"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Alavés",550,324,58.9090909090909,637,637,41.1,373,106,267,376,890,7
"Athletic Club",508,292,57.4803149606299,582,582,38.5,411,128,283,339,788,8
"Atlético Madrid",636,346,54.4025157232704,619,619,47.3,372,98,274,365,649,14
"Barcelona",587,331,56.3884156729131,493,493,49.5,346,85,261,325,467,17
"Betis",662,392,59.214501510574,695,695,46.6,386,112,274,361,777,11
"Cádiz",647,380,58.7326120556414,711,711,42.3,390,106,284,413,768,5
"Celta Vigo",696,409,58.764367816092,762,762,37.5,423,91,332,376,634,11
"Elche",589,325,55.1782682512733,622,622,43.1,367,126,241,305,769,14
"Espanyol",557,338,60.6822262118492,646,646,42.6,360,114,246,326,892,20
"Getafe",587,360,61.3287904599659,594,594,41.8,400,96,304,401,719,8
"Granada",611,343,56.1374795417349,632,632,43.4,437,130,307,326,841,8
"Levante",558,305,54.6594982078853,611,611,38.8,326,110,216,377,735,12
"Mallorca",607,332,54.6952224052718,551,551,45,374,119,255,344,826,9
"Osasuna",577,331,57.36568457539,598,598,42,340,115,225,368,758,5
"Rayo Vallecano",621,359,57.8099838969404,688,688,40.7,410,95,315,365,686,9
"Real Madrid",560,345,61.6071428571429,502,502,42,379,114,265,334,526,17
"Real Sociedad",586,339,57.8498293515358,546,546,47.6,382,105,277,348,703,6
"Sevilla",534,302,56.5543071161049,542,542,43.5,367,124,243,270,603,18
"Valencia",591,364,61.590524534687,623,623,42.7,373,93,280,339,746,8
"Villarreal",538,312,57.9925650557621,476,476,48.1,330,109,221,329,644,16
