"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Alavés",93,4,3,7,529
"Athletic Club",90,4,3,7,487
"Atlético Madrid",111,7,3,10,473
"Barcelona",97,5,3,8,499
"Betis",87,6,1,7,485
"Cádiz",105,3,3,6,488
"Celta Vigo",87,3,1,4,507
"Elche",104,6,1,7,518
"Espanyol",99,7,3,10,440
"Getafe",121,8,1,9,559
"Granada",105,4,1,5,477
"Levante",109,6,2,8,550
"Mallorca",114,7,4,11,554
"Osasuna",84,2,1,3,498
"Rayo Vallecano",101,3,1,4,537
"Real Madrid",76,0,0,0,394
"Real Sociedad",77,4,1,5,491
"Sevilla",97,4,2,6,462
"Valencia",134,8,6,14,641
"Villarreal",81,1,1,2,472
