"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Abner","Betis","BRA","DF",NA,22,2,0,0,0,8
"Álvaro Aceves","Valladolid","ESP","GK",NA,19,0,0,0,0,0
"Marcos Acuña","Sevilla","ARG","DF",NA,30,10,3,0,3,32
"Julen Agirrezabala","Athletic Club","ESP","GK",NA,21,0,0,0,0,0
"Álvaro Aguado","Valladolid","ESP","MF",NA,26,4,0,0,0,13
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,26,6,1,1,2,18
"Sergio Akieme","Almería","ESP","DF",NA,24,5,0,0,0,20
"Paul Akouokou","Betis","CIV","MF","DF",24,3,0,0,0,7
"David Alaba","Real Madrid","AUT","DF",NA,30,3,0,0,0,9
"Ángel Alarcón","Barcelona","ESP","FW","MF",18,0,0,0,0,2
"Tomás Alarcón","Cádiz","CHI","MF",NA,23,2,1,1,2,4
"Jordi Alba","Barcelona","ESP","DF",NA,33,6,1,1,2,11
"Raúl Albiol","Villarreal","ESP","DF",NA,36,6,0,0,0,17
"Rubén Alcaraz","Cádiz","ESP","MF",NA,31,11,1,1,2,45
"Omar Alderete","Getafe","PAR","DF",NA,25,9,0,0,0,35
"Iván Alejo","Cádiz","ESP","MF","FW",27,13,1,1,2,38
"Carles Aleñá","Getafe","ESP","MF","FW",24,12,1,1,2,60
"Ángel Algobia","Getafe","ESP","MF",NA,23,3,0,0,0,31
"Mohamed Ali Cho","Real Sociedad","FRA","FW","MF",18,1,0,0,0,11
"Domingos André Ribeiro Almeida","Valencia","POR","MF",NA,22,3,0,0,0,31
"Marcos Alonso","Barcelona","ESP","DF",NA,31,3,0,0,0,10
"Gastón Álvarez","Getafe","URU","DF",NA,22,7,1,0,1,27
"Yeray Álvarez","Athletic Club","ESP","DF",NA,27,7,1,0,1,22
"Selim Amallah","Valladolid","MAR","MF","FW",25,2,1,0,1,10
"Amath","Mallorca","SEN","MF","FW",26,2,1,0,1,35
"Jordan Amavi","Getafe","FRA","DF",NA,28,2,1,1,2,3
"Marcos André","Valencia","BRA","FW","MF",25,2,1,0,1,9
"Fabrizio Angileri","Getafe","ARG","DF",NA,28,2,1,0,1,7
"Josep Antoni Gayá","Mallorca","ESP","DF","MF",22,0,0,0,0,0
"Anuar","Valladolid","MAR","MF","FW",27,1,0,0,0,3
"Mauro Arambarri","Getafe","URU","MF",NA,26,5,1,1,2,21
"Ronald Araújo","Barcelona","URU","DF",NA,23,5,1,0,1,16
"Adu Ares","Athletic Club","ESP","FW","MF",20,0,0,0,0,2
"Ricard Artero","Girona","ESP","MF","FW",19,0,0,0,0,2
"Santiago Arzamendia","Cádiz","PAR","DF","MF",24,0,0,0,0,4
"Marco Asensio","Real Madrid","ESP","FW","MF",26,1,0,0,0,10
"Iago Aspas","Celta Vigo","ESP","FW",NA,34,6,0,0,0,16
"Ludwig Augustinsson","Mallorca","SWE","DF",NA,28,0,0,0,0,1
"Ezequiel Ávila","Osasuna","ARG","FW","MF",28,7,1,0,1,25
"Iddrisu Baba","Mallorca","GHA","MF","DF",26,5,0,0,0,31
"Srđan Babić","Almería","SRB","DF",NA,26,5,0,0,0,24
"Loïc Bade","Sevilla","FRA","DF",NA,22,4,0,0,0,13
"Édgar Badía","Elche","ESP","GK",NA,30,2,0,0,0,1
"Alex Baena","Villarreal","ESP","MF","FW",21,13,1,1,2,58
"Alejandro Balde","Barcelona","ESP","DF",NA,18,4,0,0,0,27
"Iván Balliu","Rayo Vallecano","ALB","DF",NA,30,6,0,0,0,42
"Léo Baptistão","Almería","BRA","FW","MF",29,7,0,0,0,30
"Keidi Bare","Espanyol","ALB","MF",NA,24,0,0,0,0,11
"Kike Barja","Osasuna","ESP","FW","MF",25,1,0,0,0,18
"Ander Barrenetxea","Real Sociedad","ESP","FW","DF",20,4,0,0,0,23
"Pablo Barrios","Atlético Madrid","ESP","MF",NA,19,4,0,0,0,7
"Rodrigo Battaglia","Mallorca","ARG","MF",NA,31,5,0,0,0,11
"Bebé","Rayo Vallecano","CPV","FW",NA,32,1,0,0,0,2
"Héctor Bellerín","Barcelona","ESP","DF",NA,27,0,0,0,0,2
"Fran Beltrán","Celta Vigo","ESP","MF",NA,23,4,0,0,0,26
"Iker Benito","Osasuna","ESP","FW","MF",19,0,0,0,0,2
"Karim Benzema","Real Madrid","FRA","FW",NA,34,1,0,0,0,10
"Yuri Berchiche","Athletic Club","ESP","DF",NA,32,9,1,1,2,31
"Álex Berenguer","Athletic Club","ESP","FW",NA,27,2,0,0,0,48
"Pedro Bigas","Elche","ESP","DF",NA,31,4,2,0,2,17
"El Bilal Touré","Almería","MLI","FW",NA,20,0,0,0,0,25
"Antonio Blanco","Cádiz","ESP","MF",NA,22,0,0,0,0,2
"Lautaro Blanco","Elche","ARG","DF","MF",23,2,0,0,0,7
"Theo Bongonda","Cádiz","COD","MF","FW",26,2,0,0,0,15
"Yassine Bounou","Sevilla","MAR","GK",NA,31,2,0,0,0,0
"Lucas Boyé","Elche","ARG","FW",NA,26,7,1,0,1,61
"Martin Braithwaite","Espanyol","DEN","FW","MF",31,5,1,0,1,20
"Darko Brašanac","Osasuna","SRB","MF",NA,30,5,0,0,0,16
"Claudio Bravo","Betis","CHI","GK",NA,39,2,0,0,0,0
"Ante Budimir","Osasuna","CRO","FW",NA,31,5,0,0,0,48
"Manu Bueno","Sevilla","ESP","MF",NA,18,0,0,0,0,1
"Santiago Bueno","Girona","URU","DF",NA,23,7,1,1,2,37
"Sergio Busquets","Barcelona","ESP","MF",NA,34,8,1,1,2,31
"Leandro Cabrera","Espanyol","URU","DF",NA,31,10,2,1,3,29
"Cala","Cádiz","ESP","DF",NA,32,0,0,0,0,1
"Fernando Calero","Espanyol","ESP","DF","MF",26,6,0,0,0,22
"Alexander Callens","Girona","PER","DF",NA,30,1,0,0,0,3
"Eduardo Camavinga","Real Madrid","FRA","MF","DF",19,6,0,0,0,39
"Sergio Camello","Rayo Vallecano","ESP","FW",NA,21,1,0,0,0,12
"Sergio Canales","Betis","ESP","FW","MF",31,4,2,1,3,9
"Ander Capa","Athletic Club","ESP","DF",NA,30,1,0,0,0,4
"Étienne Capoue","Villarreal","FRA","MF",NA,34,4,0,0,0,18
"Isaac Carcelen","Cádiz","ESP","DF",NA,29,4,3,0,3,16
"Juan Carlos","Girona","ESP","GK",NA,34,0,0,0,0,0
"José Carlos Lazo","Espanyol","ESP","MF","FW",26,0,0,0,0,2
"Carmona","Elche","ESP","MF","DF",20,5,1,1,2,19
"Carmona","Sevilla","ESP","DF",NA,20,6,1,1,2,14
"Yannick Carrasco","Atlético Madrid","BEL","DF","MF",28,2,0,0,0,24
"Dani Carvajal","Real Madrid","ESP","DF",NA,30,8,1,1,2,22
"William Carvalho","Betis","POR","MF",NA,30,6,1,0,1,29
"Valentín Castellanos","Girona","ARG","FW",NA,23,11,0,0,0,43
"Samu Castillejo","Valencia","ESP","FW","MF",27,7,0,0,0,32
"Catena","Rayo Vallecano","ESP","DF",NA,27,14,1,1,2,32
"Edinson Cavani","Valencia","URU","FW",NA,35,6,0,0,0,18
"Dani Ceballos","Real Madrid","ESP","MF",NA,25,8,0,0,0,17
"Álex Centelles","Almería","ESP","DF",NA,24,0,1,0,1,7
"Franco Cervi","Celta Vigo","ARG","MF","DF",28,2,1,0,1,27
"Pep Chavarría","Rayo Vallecano","ESP","FW","MF",24,1,0,0,0,11
"Pape Cheikh Diop","Elche","SEN","MF",NA,24,1,1,0,1,3
"Andreas Christensen","Barcelona","DEN","DF",NA,26,2,0,0,0,18
"Samuel Chukwueze","Villarreal","NGA","FW","MF",23,1,0,0,0,19
"Chumi","Almería","ESP","DF",NA,23,5,0,0,0,10
"Víctor Chust","Cádiz","ESP","DF",NA,22,3,0,0,0,11
"Pathé Ciss","Rayo Vallecano","SEN","MF","DF",28,4,0,0,0,38
"Carlos Clerc","Elche","ESP","DF","MF",30,5,0,0,0,32
"Álex Collado","Elche","ESP","MF",NA,23,1,0,0,0,9
"Eray Cömert","Valencia","SUI","DF",NA,24,5,1,0,1,22
"Santi Comesaña","Rayo Vallecano","ESP","MF",NA,25,6,0,0,0,49
"Copete","Mallorca","ESP","DF",NA,22,7,1,0,1,47
"Francis Coquelin","Villarreal","FRA","MF",NA,31,2,0,0,0,11
"Jesús Corona","Sevilla","MEX","FW",NA,29,0,0,0,0,2
"Ángel Correa","Atlético Madrid","ARG","FW","MF",27,3,1,0,1,19
"Thierry Correia","Valencia","POR","DF",NA,23,5,0,0,0,39
"Jaume Costa","Mallorca","ESP","DF",NA,34,10,0,0,0,44
"Samu Costa","Almería","POR","MF",NA,21,5,0,0,0,51
"Thibaut Courtois","Real Madrid","BEL","GK",NA,30,0,0,0,0,0
"Yan Couto","Girona","BRA","DF","MF",20,3,0,0,0,12
"Juan Cruz Armada","Osasuna","ESP","DF",NA,30,7,0,0,0,17
"Juan Cruz","Betis","ESP","FW",NA,22,1,0,0,0,4
"Jorge Cuenca","Villarreal","ESP","DF",NA,22,1,0,0,0,4
"Braian Cufré","Mallorca","ARG","DF",NA,25,0,0,0,0,5
"Matheus Cunha","Atlético Madrid","BRA","FW","MF",23,2,0,0,0,7
"Curro","Almería","ESP","MF",NA,26,1,0,0,0,1
"Arnaut Danjuma","Villarreal","NED","FW",NA,25,0,0,0,0,2
"Sergi Darder","Espanyol","ESP","MF",NA,28,4,0,0,0,31
"Rodrigo De Paul","Atlético Madrid","ARG","MF",NA,28,5,0,0,0,33
"Thomas Delaney","Sevilla","DEN","MF",NA,30,3,0,0,0,4
"Ousmane Dembélé","Barcelona","FRA","FW",NA,25,4,0,0,0,16
"Mouctar Diakhaby","Valencia","GUI","DF",NA,25,7,1,1,2,23
"Youba Diarra","Cádiz","MLI","MF",NA,24,2,0,0,0,3
"Stole Dimitrievski","Rayo Vallecano","MKD","GK",NA,28,4,0,0,0,0
"Djené","Getafe","TOG","DF",NA,30,10,1,0,1,49
"Marko Dmitrović","Sevilla","SRB","GK",NA,30,1,0,0,0,0
"Kasper Dolberg","Sevilla","DEN","FW",NA,24,0,0,0,0,2
"Carlos Dominguez","Celta Vigo","ESP","DF",NA,21,0,0,0,0,0
"John Donald","Elche","ESP","MF","DF",21,3,1,0,1,23
"Domingos Duarte","Getafe","POR","DF",NA,27,11,1,1,2,32
"Pablo Durán","Celta Vigo","ESP","MF","DF",21,0,0,0,0,1
"Hugo Duro","Valencia","ESP","FW",NA,22,5,0,0,0,20
"Íñigo Eguaras","Almería","ESP","MF",NA,30,6,0,0,0,7
"Aritz Elustondo","Real Sociedad","ESP","DF",NA,28,5,1,0,1,21
"Rodrigo Ely","Almería","BRA","DF",NA,28,10,1,1,2,25
"Adri Embarba","Almería","ESP","FW","MF",30,5,1,1,2,22
"Adri Embarba","Espanyol","ESP","FW",NA,30,0,0,0,0,1
"Youssef En-Nesyri","Sevilla","MAR","FW",NA,25,4,0,0,0,10
"Gonzalo Escalante","Cádiz","ARG","MF",NA,29,4,0,0,0,14
"Sergio Escudero","Valladolid","ESP","DF",NA,32,3,0,0,0,19
"Alfonso Espino","Cádiz","URU","DF",NA,30,7,0,0,0,49
"Bernardo Espinosa","Girona","COL","DF",NA,33,5,0,0,0,12
"Edu Expósito","Espanyol","ESP","MF",NA,25,3,1,0,1,14
"Nicolás Ezequiel Fernández","Elche","ARG","MF","DF",22,2,0,0,0,11
"Abde Ezzalzouli","Osasuna","MAR","FW","MF",20,4,2,1,3,27
"Radamel Falcao","Rayo Vallecano","COL","FW","MF",36,4,0,0,0,16
"Fali","Cádiz","ESP","DF","MF",28,6,0,0,0,16
"Ansu Fati","Barcelona","ESP","FW",NA,19,3,0,0,0,18
"Zouhair Feddal","Valladolid","MAR","DF",NA,33,1,0,0,0,4
"Nabil Fekir","Betis","FRA","MF",NA,29,4,1,0,1,21
"Felipe","Atlético Madrid","BRA","DF",NA,33,0,0,0,0,4
"Luiz Felipe","Betis","ITA","DF",NA,25,3,3,0,3,10
"João Félix","Atlético Madrid","POR","FW","MF",22,5,0,0,0,16
"Kiko Femenía","Villarreal","ESP","DF",NA,31,0,0,0,0,6
"Aitor Fernández","Osasuna","ESP","GK",NA,31,1,0,0,0,0
"Álex Fernández","Cádiz","ESP","MF","FW",29,0,0,0,0,7
"Álvaro Fernández","Espanyol","ESP","GK",NA,24,1,0,0,0,0
"Carlos Fernández","Real Sociedad","ESP","FW",NA,26,6,0,0,0,17
"Federico Fernández","Elche","ARG","DF",NA,33,0,0,0,0,0
"Joaquín Fernández","Valladolid","ESP","DF",NA,26,4,0,0,0,16
"Valery Fernández","Girona","ESP","MF","DF",22,1,0,0,0,6
"Fernando","Almería","ESP","GK",NA,32,3,0,0,0,0
"Fernando","Sevilla","BRA","MF","DF",35,3,1,0,1,17
"Fidel","Elche","ESP","MF","FW",32,5,0,0,0,10
"Dimitri Foulquier","Valencia","FRA","DF",NA,29,4,0,0,0,28
"Juan Foyth","Villarreal","ARG","DF",NA,24,6,0,0,0,40
"Iván Fresneda","Valladolid","ESP","DF",NA,17,3,0,0,0,13
"Javi Galán","Celta Vigo","ESP","DF",NA,27,6,0,0,0,50
"Iñigo Ruiz de Galarreta","Mallorca","ESP","MF",NA,28,12,0,0,0,60
"Aleix García","Girona","ESP","MF",NA,25,1,0,0,0,14
"Álvaro García","Rayo Vallecano","ESP","FW","MF",29,7,0,0,0,36
"Borja García","Girona","ESP","MF","FW",31,1,0,0,0,4
"Carlos García","Cádiz","ESP","DF",NA,22,0,0,0,0,0
"Dani García","Athletic Club","ESP","MF",NA,32,6,0,0,0,34
"David García","Osasuna","ESP","DF",NA,28,8,1,0,1,54
"Eric García","Barcelona","ESP","DF","MF",21,3,0,0,0,18
"Fran Garcia","Rayo Vallecano","ESP","DF",NA,22,1,0,0,0,22
"Raúl García","Athletic Club","ESP","FW","MF",36,4,0,0,0,14
"Rubén García","Osasuna","ESP","FW","MF",29,2,0,0,0,14
"Unai García","Osasuna","ESP","DF",NA,30,6,1,0,1,22
"Felix Garreta","Betis","ESP","DF",NA,18,0,0,0,0,2
"Sékou Gassama","Valladolid","SEN","FW",NA,27,0,0,0,0,1
"Gavi","Barcelona","ESP","MF","FW",17,10,0,0,0,74
"Paulo Gazzaniga","Girona","ARG","GK",NA,30,4,0,0,0,0
"Bryan Gil","Sevilla","ESP","FW","DF",21,4,0,0,0,18
"Óscar Gil","Espanyol","ESP","DF",NA,25,14,0,0,0,54
"Dani Gómez","Espanyol","ESP","MF","FW",24,2,0,0,0,3
"Maxi Gómez","Valencia","URU","FW",NA,25,0,0,0,0,4
"Moi Gómez","Osasuna","ESP","MF","FW",28,5,0,0,0,14
"Papu Gómez","Sevilla","ARG","FW","MF",34,4,0,0,0,6
"Sergi Gómez","Espanyol","ESP","DF",NA,30,1,2,0,2,9
"Diego González","Elche","ESP","DF",NA,27,4,0,0,0,17
"Édgar González","Betis","ESP","DF",NA,25,8,2,2,4,23
"Giovanni González","Mallorca","URU","DF",NA,27,5,0,0,0,16
"Nicolás González","Valencia","ESP","MF",NA,20,2,0,0,0,33
"Andoni Gorosabel","Real Sociedad","ESP","DF",NA,25,3,0,0,0,25
"José Gragera","Espanyol","ESP","MF","DF",21,2,0,0,0,14
"Ivo Grbić","Atlético Madrid","CRO","GK",NA,26,3,0,0,0,1
"Clément Grenier","Mallorca","FRA","MF",NA,31,7,0,0,0,21
"Antoine Griezmann","Atlético Madrid","FRA","FW","MF",31,2,0,0,0,22
"Andrés Guardado","Betis","MEX","MF",NA,35,7,0,0,0,16
"Sergi Guardiola","Valladolid","ESP","FW",NA,31,1,0,0,0,14
"Sergi Guardiola","Cádiz","ESP","FW",NA,31,2,0,0,0,7
"Nemanja Gudelj","Sevilla","SRB","DF","MF",30,8,0,0,0,26
"Javier Guerra","Valencia","ESP","MF",NA,19,0,0,0,0,13
"Ander Guevara","Real Sociedad","ESP","MF",NA,25,2,0,0,0,5
"Pape Gueye","Sevilla","SEN","MF",NA,23,6,3,2,5,30
"Hugo Guillamón","Valencia","ESP","MF",NA,22,5,0,0,0,35
"Gerard Gumbau","Elche","ESP","MF",NA,27,11,0,0,0,51
"Gorka Guruzeta","Athletic Club","ESP","FW",NA,25,2,0,0,0,28
"Raúl Guti","Elche","ESP","MF",NA,25,1,0,0,0,8
"Miguel Gutiérrez","Girona","ESP","DF",NA,21,6,0,0,0,23
"Munir El Haddadi","Getafe","MAR","MF","FW",26,4,0,0,0,14
"Dennis Hadzikadunic","Mallorca","BIH","DF",NA,24,1,0,0,0,6
"Haissem Hassan","Villarreal","FRA","FW","MF",20,0,0,0,0,0
"Eden Hazard","Real Madrid","BEL","FW",NA,31,0,0,0,0,2
"Luiz Henrique","Betis","BRA","FW",NA,21,6,0,0,0,25
"Mario Hermoso","Atlético Madrid","ESP","DF",NA,27,7,2,2,4,27
"Javi Hernández","Girona","ESP","DF",NA,24,3,0,0,0,9
"Aridane Hernández","Osasuna","ESP","DF",NA,33,1,0,0,0,14
"Luis Hernández","Cádiz","ESP","DF",NA,33,8,1,1,2,27
"Mario Hernández","Rayo Vallecano","ESP","DF",NA,23,1,0,0,0,1
"Jorge Herrando","Osasuna","ESP","DF",NA,21,0,1,0,1,1
"Ander Herrera","Athletic Club","ESP","MF",NA,32,4,1,0,1,20
"Sergio Herrera","Osasuna","ESP","GK",NA,29,3,0,0,0,1
"Yangel Herrera","Girona","VEN","MF","FW",24,4,0,0,0,34
"Omar El Hilali","Espanyol","MAR","DF","MF",18,1,0,0,0,0
"Martin Hongla","Valladolid","CMR","DF","MF",24,7,2,1,3,21
"Pablo Ibáñez","Osasuna","ESP","MF",NA,23,1,0,0,0,22
"Iglesias","Getafe","ESP","DF","MF",24,7,0,0,0,44
"Borja Iglesias","Betis","ESP","FW",NA,29,2,1,0,1,40
"Asier Illarramendi","Real Sociedad","ESP","MF",NA,32,5,0,0,0,25
"Isco","Sevilla","ESP","MF","FW",30,5,0,0,0,11
"Diego Iturralde","Sevilla","ESP","DF",NA,19,1,0,0,0,2
"Nicolas Jackson","Villarreal","SEN","FW",NA,21,6,1,1,2,32
"Luis Javier Suárez","Almería","COL","FW",NA,24,4,1,0,1,36
"Joaquín","Betis","ESP","MF","FW",41,2,0,0,0,1
"Frenkie de Jong","Barcelona","NED","MF",NA,25,3,0,0,0,33
"Joan Jordán","Sevilla","ESP","MF",NA,28,8,0,0,0,34
"Josan","Elche","ESP","DF","MF",32,3,0,0,0,10
"Willian José","Betis","BRA","FW",NA,30,1,0,0,0,9
"Joselu","Espanyol","ESP","FW",NA,32,2,0,0,0,23
"Juanmi","Betis","ESP","FW",NA,29,3,0,0,0,15
"Juanpe","Girona","ESP","DF",NA,31,3,0,0,0,11
"Lago Junior","Mallorca","CIV","FW","MF",31,0,0,0,0,3
"Vinicius Júnior","Real Madrid","BRA","FW",NA,22,10,1,0,1,47
"Tino Kadewere","Mallorca","ZIM","FW","MF",26,1,0,0,0,6
"Kaiky","Almería","BRA","DF",NA,18,5,0,0,0,7
"Lee Kang-in","Mallorca","KOR","MF","FW",21,10,0,0,0,51
