"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Abde Ezzalzouli","Osasuna","MAR","FW","MF",20,2001,28,1504,54,44,19,72,2,9,16,1.43,20,15,3462,180000
"Abdón Prats","Mallorca","ESP","FW","MF",29,1992,26,416,16,12.2,2,55,0,24,13,1.31,6,7,4423,230000
"Abdul Mumin","Rayo Vallecano","GHA","DF",NA,24,1998,16,922,58,27,9,90,9,7,16,1.25,13,17,6731,350000
"Abner","Betis","BRA","DF",NA,22,2000,13,607,47,17.7,7,74,3,6,15,1.08,7,10,19231,1e+06
"Adnan Januzaj","Sevilla","BEL","FW",NA,27,1995,2,47,24,1.4,1,45,0,1,2,0,0,0,60000,3120000
"Adri Embarba","Almería","ESP","FW","MF",30,1992,29,1472,51,43,18,68,1,11,22,1.14,23,27,18462,960000
"Adrià Pedrosa","Espanyol","ESP","DF","MF",24,1998,7,229,33,6.7,2,64,0,5,20,0.86,4,3,9615,5e+05
"Aihen Muñoz","Real Sociedad","ESP","DF",NA,24,1997,23,1756,76,51.3,20,84,17,3,27,1.74,26,21,16538,860000
"Aimar Oroz","Osasuna","ESP","MF","FW",20,2001,31,2013,65,58.9,23,78,7,8,26,1.45,29,24,6923,360000
"Aïssa Mandi","Villarreal","ALG","DF",NA,30,1991,21,1461,70,42.7,16,86,13,5,16,1.95,34,17,30769,1600000
"Aitor Paredes","Athletic Club","ESP","DF",NA,22,2000,16,859,54,25.1,9,89,8,7,8,1.25,9,18,2885,150000
"Aitor Ruibal","Betis","ESP","DF","FW",26,1996,26,1454,56,42.5,15,83,8,11,19,1.35,15,13,11538,6e+05
"Alberto Moreno","Villarreal","ESP","DF",NA,30,1992,24,1296,54,37.9,14,78,3,10,20,1.96,24,15,26923,1400000
"Aleix García","Girona","ESP","MF",NA,25,1997,30,2337,78,68.3,26,83,18,4,46,1.13,39,37,8077,420000
"Aleix Vidal","Espanyol","ESP","MF","FW",32,1989,25,1025,41,30,10,66,1,15,25,1.16,18,19,19231,1e+06
