"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Almería",65,49,49,113,6,4,537,198,36.9,0.11,0.3,17.4,14,956,739,217,110,84,26
"Athletic Club",43,47,28,68,3,3,387,120,31,0.1,0.31,18,16,675,470,205,69,45,24
"Atlético Madrid",33,70,22,55,5,4,433,124,28.6,0.07,0.23,18.6,18,781,585,196,58,43,15
"Barcelona",20,70,10,27,3,3,328,99,30.2,0.04,0.14,17.4,6,560,410,150,25,17,8
"Betis",41,46,28,68,3,3,463,143,30.9,0.08,0.26,17.9,24,807,559,248,69,51,18
"Cádiz",53,30,32,85,10,9,541,192,35.5,0.08,0.23,17.5,24,973,687,286,92,63,29
"Celta Vigo",53,43,35,87,8,5,379,127,33.5,0.12,0.37,17.3,14,669,462,207,89,59,30
"Elche",67,30,44,109,10,7,551,198,35.9,0.11,0.29,17.3,22,984,712,272,115,85,30
"Espanyol",69,52,47,114,6,5,539,177,32.8,0.12,0.35,17.2,15,987,769,218,119,92,27
"Getafe",45,34,29,72,8,4,480,158,32.9,0.08,0.25,19.7,22,849,653,196,68,47,21
"Girona",55,58,39,94,8,6,485,161,33.2,0.1,0.3,18,13,870,651,219,94,69,25
"Mallorca",43,37,31,74,7,6,489,138,28.2,0.08,0.27,19.3,19,907,689,218,75,51,24
"Osasuna",42,37,29,69,4,1,441,146,33.1,0.09,0.27,18.1,15,804,601,203,71,57,14
"Rayo Vallecano",53,45,34,83,5,4,431,140,32.5,0.1,0.32,17.4,13,759,537,222,78,48,30
"Real Madrid",36,75,21,56,5,4,417,131,31.4,0.07,0.24,18.7,11,720,516,204,50,32,18
"Real Sociedad",35,51,26,59,2,1,393,131,33.3,0.08,0.24,18.2,12,705,515,190,55,41,14
"Sevilla",54,47,40,91,3,2,508,158,31.1,0.1,0.31,18.5,19,893,655,238,87,68,19
"Valencia",45,42,34,77,5,2,395,146,37,0.1,0.28,17,16,683,458,225,78,53,25
"Valladolid",63,33,46,108,10,6,579,190,32.8,0.1,0.29,17.5,18,1034,756,278,110,76,34
"Villarreal",40,59,29,68,4,4,470,145,30.9,0.07,0.24,17.8,14,808,579,229,71,42,29
