"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Nabil Aberdin","Getafe","FRA","DF",NA,20,0,0,NA,1,1,0,0,0,0,0,4,0
"Abner","Betis","BRA","DF",NA,23,25,19,76,34,34,50,23,5,18,15,62,0
"Abdel Abqar","Alavés","MAR","DF",NA,24,35,19,54.2857142857143,35,35,60,31,26,5,23,115,0
"Marcos Acuña","Sevilla","ARG","DF",NA,31,33,21,63.6363636363636,14,14,64.3,12,2,10,4,25,0
"Lucien Agoume","Sevilla","FRA","MF",NA,21,23,18,78.2608695652174,12,12,75,6,1,5,7,8,0
"Joseph Aidoo","Celta Vigo","GHA","DF",NA,27,8,3,37.5,8,8,50,3,1,2,4,28,0
"Ilias Akhomach","Villarreal","MAR","MF","FW",19,36,21,58.3333333333333,20,20,50,10,2,8,13,13,0
"Sergio Akieme","Almería","ESP","DF",NA,25,27,15,55.5555555555556,16,16,81.3,14,4,10,10,34,0
"Paul Akouokou","Betis","CIV","MF",NA,25,5,3,60,3,3,100,3,1,2,1,1,0
"David Alaba","Real Madrid","AUT","DF",NA,31,13,9,69.2307692307692,8,8,50,10,7,3,15,34,0
"Raúl Albiol","Villarreal","ESP","DF",NA,37,25,14,56,27,27,66.7,31,24,7,16,102,0
"Rubén Alcaraz","Cádiz","ESP","MF",NA,32,97,59,60.8247422680412,121,121,41.3,60,14,46,33,55,2
"Omar Alderete","Getafe","PAR","DF",NA,26,28,21,75,35,35,54.3,30,18,12,13,111,0
"Iván Alejo","Cádiz","ESP","MF",NA,28,40,23,57.5,57,57,29.8,20,0,20,7,17,0
"Carles Aleñá","Getafe","ESP","MF",NA,25,24,8,33.3333333333333,24,24,41.7,14,3,11,4,13,0
"Mohamed Ali Cho","Real Sociedad","FRA","FW","MF",19,4,3,75,7,7,28.6,6,0,6,1,1,0
"Tadeo Allende","Celta Vigo","ARG","MF","FW",24,6,1,16.6666666666667,6,6,66.7,3,0,3,3,3,0
"Domingos André Ribeiro Almeida","Valencia","POR","FW","MF",23,25,15,60,19,19,47.4,13,1,12,6,5,0
"Marcos Alonso","Barcelona","ESP","DF",NA,32,5,3,60,4,4,75,2,0,2,4,6,0
"Adrià Altimira","Villarreal","ESP","DF","MF",22,16,7,43.75,24,24,37.5,18,5,13,5,18,0
"Sergi Altimira","Betis","ESP","MF",NA,21,15,8,53.3333333333333,23,23,47.8,12,1,11,9,10,0
"Gastón Álvarez","Getafe","URU","DF",NA,23,68,37,54.4117647058824,57,57,64.9,40,11,29,35,80,0
"Hugo Álvarez","Celta Vigo","ESP","MF","DF",20,14,9,64.2857142857143,20,20,45,4,1,3,5,9,0
"Yeray Álvarez","Athletic Club","ESP","DF",NA,28,18,9,50,19,19,63.2,8,5,3,11,34,1
"Selim Amallah","Valencia","MAR","FW","MF",26,17,12,70.5882352941177,9,9,33.3,13,0,13,11,6,0
"Amath","Mallorca","SEN","FW","MF",27,9,6,66.6666666666667,10,10,20,2,0,2,3,6,0
"Miguel Ángel Rubio","Granada","ESP","DF",NA,25,20,12,60,21,21,66.7,31,18,13,28,74,2
"Fabrizio Angileri","Getafe","ARG","DF","MF",29,1,1,100,3,3,33.3,0,0,0,4,8,0
"Mauro Arambarri","Getafe","URU","MF",NA,27,6,2,33.3333333333333,6,6,16.7,1,0,1,2,7,0
"Jon Aramburu","Real Sociedad","VEN","DF",NA,21,24,15,62.5,25,25,60,8,3,5,7,17,0
"Julian Araujo","Las Palmas","MEX","DF",NA,21,41,22,53.6585365853659,33,33,69.7,23,16,7,10,52,1
"Ronald Araújo","Barcelona","URU","DF",NA,24,27,22,81.4814814814815,17,17,70.6,20,11,9,12,66,2
"Adu Ares","Athletic Club","ESP","FW",NA,21,8,4,50,3,3,66.7,1,0,1,1,0,0
"Jesús Areso","Osasuna","ESP","DF",NA,24,45,24,53.3333333333333,38,38,81.6,36,15,21,18,58,0
"Matias Arezo","Granada","URU","FW",NA,20,7,3,42.8571428571429,5,5,20,4,1,3,1,4,0
"José Arnaiz","Osasuna","ESP","FW","MF",28,14,8,57.1428571428571,21,21,28.6,11,2,9,3,2,0
"Sergio Arribas","Almería","ESP","MF","FW",21,34,17,50,31,31,45.2,20,1,19,16,8,1
"Kepa Arrizabalaga","Real Madrid","ESP","GK",NA,28,0,0,NA,1,1,0,0,0,0,0,4,0
"Iago Aspas","Celta Vigo","ESP","FW",NA,35,11,6,54.5454545454545,15,15,6.7,23,3,20,10,8,0
"Ezequiel Ávila","Osasuna","ARG","FW","MF",29,3,2,66.6666666666667,11,11,27.3,14,0,14,4,8,0
"Ezequiel Ávila","Betis","ARG","FW",NA,29,2,1,50,3,3,33.3,2,0,2,1,4,0
"César Azpilicueta","Atlético Madrid","ESP","DF",NA,33,25,14,56,19,19,63.2,25,6,19,16,46,0
"Iddrisu Baba","Almería","GHA","MF",NA,27,46,26,56.5217391304348,39,39,43.6,20,6,14,11,27,2
"Srđan Babić","Almería","SRB","DF",NA,27,2,2,100,1,1,100,1,1,0,0,2,0
"Loïc Bade","Sevilla","FRA","DF",NA,23,65,41,63.0769230769231,49,49,61.2,23,15,8,38,116,2
"Alex Baena","Villarreal","ESP","MF","FW",22,34,21,61.7647058823529,47,47,42.6,23,2,21,13,17,1
"Eric Bailly","Villarreal","CIV","DF",NA,29,5,3,60,2,2,100,8,8,0,9,38,2
"Alejandro Balde","Barcelona","ESP","DF",NA,19,20,11,55,11,11,63.6,14,1,13,5,21,1
"Iván Balliu","Rayo Vallecano","ALB","DF",NA,31,44,31,70.4545454545455,39,39,56.4,27,11,16,29,66,1
"Jonathan Bamba","Celta Vigo","CIV","MF","FW",27,14,9,64.2857142857143,17,17,11.8,20,0,20,18,12,0
"Léo Baptistão","Almería","BRA","FW",NA,30,25,16,64,25,25,36,13,1,12,11,22,0
"Kike Barja","Osasuna","ESP","FW","MF",26,6,2,33.3333333333333,8,8,37.5,2,1,1,2,2,0
"Ander Barrenetxea","Real Sociedad","ESP","FW","MF",21,32,21,65.625,26,26,38.5,18,1,17,6,5,0
"Pablo Barrios","Atlético Madrid","ESP","MF",NA,20,45,25,55.5555555555556,40,40,47.5,20,3,17,28,24,2
"Marc Bartra","Betis","ESP","DF",NA,32,4,3,75,5,5,80,3,1,2,3,10,0
"Augusto Batalla","Granada","ARG","GK",NA,27,0,0,NA,1,1,0,0,0,0,0,10,2
"Bebé","Rayo Vallecano","CPV","MF","FW",33,2,2,100,5,5,20,1,0,1,0,0,0
"Sheraldo Becker","Real Sociedad","SUR","FW","MF",28,2,2,100,1,1,0,3,0,3,1,0,0
"Héctor Bellerín","Betis","ESP","DF",NA,28,34,22,64.7058823529412,53,53,37.7,13,5,8,22,40,1
"Jude Bellingham","Real Madrid","ENG","MF",NA,20,42,34,80.952380952381,36,36,33.3,55,5,50,21,17,0
"Fran Beltrán","Celta Vigo","ESP","MF",NA,24,56,32,57.1428571428571,63,63,38.1,28,2,26,18,34,0
"Carlos Benavídez","Alavés","URU","MF",NA,25,56,35,62.5,34,34,55.9,13,5,8,19,31,0
"Yuri Berchiche","Athletic Club","ESP","DF",NA,33,33,25,75.7575757575758,33,33,57.6,28,9,19,20,62,0
"Álex Berenguer","Athletic Club","ESP","FW",NA,28,23,14,60.8695652173913,24,24,29.2,23,0,23,5,13,0
"Antonio Blanco","Alavés","ESP","MF",NA,23,61,36,59.016393442623,86,86,36,25,2,23,35,30,0
"Daley Blind","Girona","NED","DF",NA,33,47,21,44.6808510638298,47,47,61.7,37,19,18,21,113,0
"Lucas Boyé","Granada","ARG","FW",NA,27,50,25,50,34,34,41.2,35,5,30,10,46,0
"Darko Brašanac","Osasuna","SRB","MF",NA,31,1,0,0,1,1,100,1,0,1,0,0,0
"Brau","Granada","ESP","DF",NA,21,1,0,0,1,1,100,0,0,0,0,2,0
"Claudio Bravo","Betis","CHI","GK",NA,40,0,0,NA,1,1,0,0,0,0,0,2,0
"Ben Brereton","Villarreal","CHI","FW","MF",24,2,2,100,2,2,0,0,0,0,0,0,0
"Ante Budimir","Osasuna","CRO","FW",NA,32,21,15,71.4285714285714,14,14,35.7,19,5,14,5,18,0
"Manu Bueno","Sevilla","ESP","MF",NA,19,4,2,50,3,3,100,3,0,3,0,1,0
"Pablo Busto","Betis","ESP","DF",NA,17,1,1,100,1,1,100,0,0,0,1,3,0
"José Callejón","Granada","ESP","MF","FW",36,13,6,46.1538461538462,22,22,36.4,7,1,6,5,10,0
"Eduardo Camavinga","Real Madrid","FRA","MF","DF",20,76,47,61.8421052631579,39,39,59,36,8,28,29,29,1
"Sergio Camello","Rayo Vallecano","ESP","FW",NA,22,16,5,31.25,15,15,40,10,2,8,3,15,0
"José Campaña","Las Palmas","ESP","MF",NA,30,2,2,100,2,2,0,3,2,1,2,3,0
"João Cancelo","Barcelona","POR","DF",NA,29,64,44,68.75,58,58,65.5,35,6,29,29,59,1
"Sergi Canós","Valencia","ESP","MF","FW",26,23,13,56.5217391304348,24,24,41.7,14,2,12,11,9,0
"Étienne Capoue","Villarreal","FRA","MF",NA,35,32,18,56.25,22,22,68.2,20,4,16,22,24,1
"Isaac Carcelen","Cádiz","ESP","DF",NA,30,50,31,62,45,45,55.6,24,7,17,27,87,2
"Marc Cardona","Las Palmas","ESP","FW",NA,28,9,8,88.8888888888889,12,12,8.3,5,0,5,2,7,0
"Sergi Cardona","Las Palmas","ESP","DF",NA,24,90,55,61.1111111111111,96,96,57.3,45,7,38,46,102,0
"Johnny Cardoso","Betis","USA","MF",NA,21,48,29,60.4166666666667,33,33,66.7,20,5,15,32,31,0
"Carmona","Getafe","ESP","DF","MF",21,30,21,70,28,28,32.1,15,2,13,21,25,0
"Yannick Carrasco","Atlético Madrid","BEL","DF",NA,29,4,4,100,7,7,28.6,2,0,2,1,6,0
"Álvaro Carreras","Granada","ESP","MF","FW",20,13,8,61.5384615384615,11,11,45.5,5,1,4,7,9,1
"Dani Carvajal","Real Madrid","ESP","DF",NA,31,47,32,68.0851063829787,42,42,54.8,28,9,19,22,54,4
"William Carvalho","Betis","POR","MF",NA,31,20,12,60,16,16,62.5,8,1,7,8,9,1
"Marc Casado","Barcelona","ESP","MF",NA,19,1,1,100,1,1,100,0,0,0,1,2,0
"Catena","Osasuna","ESP","DF",NA,28,33,18,54.5454545454545,35,35,54.3,24,15,9,15,119,3
"Dani Ceballos","Real Madrid","ESP","MF","FW",26,10,5,50,14,14,35.7,9,2,7,0,4,1
"Álex Centelles","Almería","ESP","DF",NA,25,11,6,54.5454545454545,18,18,44.4,5,2,3,18,29,0
"Franco Cervi","Celta Vigo","ARG","MF","DF",29,24,18,75,24,24,54.2,16,0,16,9,4,0
"Pep Chavarría","Rayo Vallecano","ESP","DF","MF",25,23,18,78.2608695652174,17,17,64.7,15,3,12,6,29,1
"Andreas Christensen","Barcelona","DEN","DF","MF",27,23,14,60.8695652173913,28,28,57.1,23,10,13,21,41,0
"Chumi","Almería","ESP","DF",NA,24,34,22,64.7058823529412,26,26,61.5,38,23,15,14,107,3
"Víctor Chust","Cádiz","ESP","DF",NA,23,29,18,62.0689655172414,32,32,56.3,27,21,6,11,92,1
"Pathé Ciss","Rayo Vallecano","SEN","MF",NA,29,44,24,54.5454545454545,29,29,55.2,27,10,17,30,54,0
