"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alavés",30,550,1260,10091,14116,71.5,4443,5283,84.1,1375,2889,47.6,4011,5052,79.4,12133,1914,506,29,124,830,802,187,69,41.8,18179,625,310,49.6,254,40.6
"Almería",35,590,1097,12774,16540,77.2,5654,6480,87.3,1322,2747,48.1,5476,6405,85.5,14559,1906,555,35,112,659,741,167,75,46.4,20902,667,299,44.8,314,47.1
"Athletic Club",27,735,1610,14509,18724,77.5,6598,7600,86.8,1393,2832,49.2,6186,7288,84.9,16746,1900,528,70,111,845,817,208,78,49.8,22845,743,338,45.5,349,47
"Atlético Madrid",27,758,1597,17064,20709,82.4,8654,9535,90.8,1442,2542,56.7,6433,7422,86.7,18869,1717,489,76,179,621,675,174,123,50.8,24749,567,297,52.4,227,40
"Barcelona",29,964,1925,21506,24761,86.9,10598,11481,92.3,1717,2604,65.9,8724,9617,90.7,22805,1857,574,98,200,651,709,238,99,64.3,28717,826,384,46.5,338,40.9
"Betis",35,676,1441,15310,18979,80.7,7398,8260,89.6,1383,2561,54,5944,6913,86,16983,1923,603,43,138,636,741,217,73,50.4,23335,793,386,48.7,329,41.5
"Cádiz",34,456,1017,10763,14990,71.8,4837,5694,84.9,1455,3198,45.5,4144,5163,80.3,12985,1915,560,24,130,791,751,170,90,43.3,19166,537,230,42.8,263,49
"Celta Vigo",31,660,1345,13890,17776,78.1,6703,7631,87.8,1223,2495,49,5538,6545,84.6,15843,1870,526,63,112,661,759,181,63,46.1,22062,646,295,45.7,291,45
"Getafe",33,439,1141,10713,15193,70.5,4641,5528,84,1625,3436,47.3,4142,5344,77.5,13180,1935,575,20,224,701,803,143,78,44.8,19243,552,239,43.3,261,47.3
"Girona",25,894,1685,18793,21914,85.8,8986,9734,92.3,1460,2446,59.7,7878,8692,90.6,20127,1692,514,56,172,698,624,159,95,56.9,25779,745,353,47.4,297,39.9
"Granada",40,512,1044,12127,15976,75.9,5270,6031,87.4,1458,2965,49.2,5127,6099,84.1,13933,1968,615,46,96,664,795,149,75,45.6,20152,658,303,46,296,45
"Las Palmas",29,577,1596,19105,22882,83.5,10201,11174,91.3,1145,2312,49.5,7170,8097,88.6,20865,1924,655,66,83,580,761,159,93,59.2,27041,680,316,46.5,308,45.3
"Mallorca",25,498,1174,11476,15645,73.4,4934,5790,85.2,1549,3119,49.7,4717,5815,81.1,13739,1802,444,51,118,763,772,173,104,45,19767,511,251,49.1,219,42.9
"Osasuna",29,501,1322,12874,17335,74.3,5474,6420,85.3,1666,3277,50.8,5487,6696,81.9,15309,1958,520,19,124,813,867,170,68,47.5,21181,530,237,44.7,247,46.6
"Rayo Vallecano",26,506,1335,13282,17459,76.1,5918,6783,87.2,1436,3063,46.9,5584,6657,83.9,15351,2012,580,43,141,688,858,169,96,49.4,21757,653,283,43.3,306,46.9
"Real Madrid",27,950,1935,21794,24691,88.3,11641,12391,93.9,1624,2474,65.6,7949,8734,91,22843,1769,553,93,224,618,650,211,79,59.2,28670,889,401,45.1,393,44.2
"Real Sociedad",31,685,1414,15263,19249,79.3,6489,7461,87,1553,2800,55.5,6923,8022,86.3,17319,1838,534,48,122,672,830,198,92,55.3,23321,681,321,47.1,284,41.7
"Sevilla",35,635,1416,14628,18599,78.6,6501,7367,88.2,1667,3111,53.6,6128,7177,85.4,16643,1879,513,28,206,934,807,180,77,50.3,22878,632,292,46.2,278,44
"Valencia",29,522,1162,12233,16255,75.3,5491,6436,85.3,1226,2710,45.2,5177,6140,84.3,14286,1900,550,36,111,593,868,124,69,44.3,20444,644,276,42.9,294,45.7
"Villarreal",32,654,1558,15349,18637,82.4,6662,7409,89.9,1525,2599,58.7,6931,7828,88.5,16709,1836,541,69,143,592,666,174,92,49.6,22729,723,351,48.5,329,45.5
