"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Alavés",744,1502,16352,20256,80.7,7545,8460,89.2,1491,2870,52,6916,7981,86.7,18248,1948,519,55,144,686,850,167,60,58.2,24410,698,339,48.6,290,41.5
"Almería",751,1644,15460,19368,79.8,7325,8212,89.2,1518,2848,53.3,6187,7240,85.5,17353,1942,519,54,171,828,820,220,73,53.6,23390,641,302,47.1,280,43.7
"Athletic Club",521,1298,14887,19081,78,6516,7486,87,1562,3003,52,6412,7514,85.3,17121,1869,561,40,189,626,744,161,91,50.2,23484,707,330,46.7,305,43.1
"Atlético Madrid",648,1544,16440,19995,82.2,7460,8271,90.2,1555,2770,56.1,7083,7986,88.7,18152,1806,545,29,110,764,662,194,37,49.2,24093,734,344,46.9,327,44.6
"Barcelona",487,992,10455,13768,75.9,4978,5702,87.3,1202,2489,48.3,3966,4699,84.4,12007,1644,489,47,120,574,562,148,117,35.7,17756,583,280,48,243,41.7
"Betis",649,1457,15171,18933,80.1,7430,8311,89.4,1368,2619,52.2,6063,6998,86.6,17017,1810,468,56,106,712,787,192,106,49.6,23260,744,325,43.7,358,48.1
"Cádiz",787,1679,15783,19905,79.3,7651,8676,88.2,1515,2819,53.7,6204,7335,84.6,17878,1962,628,45,130,758,792,174,65,56.7,24061,807,387,48,342,42.4
"Celta Vigo",651,1535,16975,21005,80.8,7874,8770,89.8,1598,2993,53.4,7062,8158,86.6,19016,1936,499,33,162,746,865,189,53,53.9,25210,726,354,48.8,308,42.4
"Getafe",599,1325,14502,18849,76.9,6843,7786,87.9,1413,2993,47.2,5798,6956,83.4,16675,2033,695,78,136,640,805,173,141,55.2,22993,640,286,44.7,291,45.5
"Girona",610,1277,13335,16590,80.4,6162,6892,89.4,1405,2570,54.7,5439,6294,86.4,14841,1700,477,38,124,711,641,161,49,43.1,20463,575,247,43,274,47.7
"Granada",728,1490,15485,19420,79.7,7146,7984,89.5,1530,2949,51.9,6433,7443,86.4,17386,1926,554,61,162,718,824,201,108,54.4,23519,687,334,48.6,289,42.1
"Las Palmas",584,1207,11893,15778,75.4,5555,6417,86.6,1355,2736,49.5,4659,5572,83.6,13845,1769,473,103,121,694,752,211,164,40.8,19855,687,328,47.7,305,44.4
"Mallorca",663,1399,15384,19315,79.6,7559,8492,89,1408,2781,50.6,5999,7074,84.8,17321,1958,630,34,130,656,832,152,36,55,23564,718,317,44.2,340,47.4
"Osasuna",646,1427,14977,19141,78.2,7066,7947,88.9,1442,2865,50.3,6054,7238,83.6,17116,1899,561,64,147,694,776,175,126,52.5,23425,589,274,46.5,243,41.3
"Rayo Vallecano",658,1371,13590,17768,76.5,6551,7515,87.2,1406,2883,48.8,5230,6299,83,15686,1995,637,51,135,682,787,173,87,50.6,21917,673,338,50.2,270,40.1
"Real Madrid",583,1261,14072,17114,82.2,6723,7390,91,1325,2385,55.6,5703,6439,88.6,15408,1668,435,33,163,680,644,145,38,40.8,20983,504,236,46.8,225,44.6
"Real Sociedad",405,941,11674,15616,74.8,5319,6162,86.3,1358,2891,47,4658,5623,82.8,13483,2035,651,27,130,523,829,137,98,44.7,19722,619,269,43.5,283,45.7
"Sevilla",693,1483,14795,18653,79.3,6814,7694,88.6,1505,2803,53.7,6091,7147,85.2,16574,2001,528,62,141,698,843,196,78,49.7,22883,692,291,42.1,335,48.4
"Valencia",621,1587,16672,20730,80.4,7313,8278,88.3,1754,3119,56.2,7237,8324,86.9,18759,1885,516,52,155,734,850,182,86,55.7,24786,698,309,44.3,309,44.3
"Villarreal",734,1655,15642,19145,81.7,7263,8043,90.3,1534,2794,54.9,6475,7386,87.7,17341,1729,550,51,194,886,631,200,75,50.4,23143,580,272,46.9,260,44.8
