"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Alavés",102,7,3,10,476
"Almería",72,4,0,4,509
"Athletic Club",82,3,2,5,453
"Atlético Madrid",79,2,0,2,471
"Barcelona",98,8,2,10,491
"Betis",97,5,3,8,521
"Cádiz",97,4,2,6,525
"Celta Vigo",89,4,1,5,496
"Getafe",105,10,4,14,464
"Girona",104,5,3,8,495
"Granada",92,5,1,6,534
"Las Palmas",97,5,2,7,525
"Mallorca",53,1,0,1,434
"Osasuna",92,6,2,8,420
"Rayo Vallecano",105,7,3,10,557
"Real Madrid",95,0,0,0,548
"Real Sociedad",100,6,3,9,469
"Sevilla",81,3,1,4,464
"Valencia",102,5,0,5,495
"Villarreal",91,2,2,4,486
