"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Alavés",36,106,76.8,15,39.5,3,50
"Almería",43,123,75.2,12,31.6,0,0
"Athletic Club",61,107,65.3,9,23.7,1,25
"Atlético Madrid",70,134,68,8,21.1,1,16.7
"Barcelona",79,149,67.7,2,5.3,1,14.3
"Betis",48,106,69.9,8,21.1,1,33.3
"Cádiz",26,98,81.3,18,47.4,0,0
"Celta Vigo",46,109,72.4,13,34.2,2,40
"Getafe",42,114,77.1,15,39.5,1,14.3
"Girona",85,101,58.1,7,18.4,1,12.5
"Granada",38,93,74.4,16,42.1,1,16.7
"Las Palmas",33,90,76,17,44.7,2,40
"Mallorca",33,99,75.8,15,39.5,0,0
"Osasuna",45,83,68.2,10,26.3,1,20
"Rayo Vallecano",29,137,86.1,19,50,0,0
"Real Madrid",87,159,65.4,2,5.3,2,50
"Real Sociedad",51,103,68.9,10,26.3,0,0
"Sevilla",48,116,71.6,10,26.3,0,0
"Valencia",40,92,75.6,13,34.2,0,0
"Villarreal",65,104,64.5,4,10.5,1,16.7
