"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Aaron Leya Iseka","Toulouse","BEL","FW",NA,21,11,12,51,133,178,74.7,87,110,79.1,3,6,50,29,41,70.7,4,2,0,159,19,0,1,1,2,0,0,0,273,16,9,56.3,7,43.8
"Abdallah N'dour","Strasbourg","SEN","DF",NA,25,5,13,34,151,214,70.6,82,98,83.7,20,37,54.1,39,58,67.2,6,9,7,184,30,2,0,2,24,28,0,0,245,2,0,0,2,100
"Abdou Diallo","Paris S-G","SEN","DF",NA,23,21,88,10,985,1067,92.3,404,427,94.6,84,105,80,481,508,94.7,4,5,1,1013,53,24,1,6,4,29,0,1,1167,19,16,84.2,3,15.8
"Abdoul Kader Bamba","Nantes","FRA","FW","MF",25,82,58,137,566,726,78,342,398,85.9,32,68,47.1,174,209,83.3,37,26,5,674,50,18,3,2,55,10,21,2,945,106,58,54.7,47,44.3
"Abdoulaye Bamba","Angers","CIV","DF",NA,29,9,15,23,204,277,73.6,107,119,89.9,16,47,34,75,95,78.9,3,2,2,219,58,3,0,1,15,55,0,0,321,3,1,33.3,2,66.7
"Abdoulaye Touré","Nantes","GUI","MF",NA,25,34,130,30,1122,1340,83.7,555,638,87,102,134,76.1,427,494,86.4,17,8,0,1324,13,12,1,15,10,0,0,3,1608,44,31,70.5,13,29.5
"Abdul Majeed Waris","Strasbourg","GHA","FW",NA,27,14,7,36,61,86,70.9,35,41,85.4,0,2,0,16,25,64,5,5,2,85,1,0,2,0,7,1,0,0,141,17,6,35.3,11,64.7
"Adam Ounas","Nice","ALG","FW","MF",22,41,52,132,373,497,75.1,174,203,85.7,43,74,58.1,152,193,78.8,25,24,7,447,47,10,7,8,53,18,16,3,651,71,45,63.4,26,36.6
"Adama Soumaoro","Lille","FRA","DF",NA,27,2,10,0,337,350,96.3,90,96,93.8,23,24,95.8,220,225,97.8,0,0,0,341,9,8,0,0,0,1,0,0,389,1,1,100,0,0
"Adama Traoré","Metz","MLI","FW","MF",24,24,60,37,11,13,84.6,3,4,75,1,1,100,7,8,87.5,0,0,0,411,71,18,3,1,44,5,39,2,584,39,28,71.8,11,28.2
"Adama Traoré","Metz","MLI","FW","MF",24,24,60,37,394,484,81.4,209,235,88.9,36,57,63.2,136,166,81.9,35,12,0,12,1,1,0,0,0,0,0,0,584,39,28,71.8,11,28.2
"Adama Traoré","Monaco","MLI","MF",NA,24,0,0,0,394,484,81.4,209,235,88.9,36,57,63.2,136,166,81.9,35,12,0,411,71,18,3,1,44,5,39,2,584,39,28,71.8,11,28.2
"Adama Traoré","Metz","MLI","FW","MF",24,24,60,37,11,13,84.6,3,4,75,1,1,100,7,8,87.5,0,0,0,12,1,1,0,0,0,0,0,0,584,39,28,71.8,11,28.2
"Adama Traoré","Metz","MLI","FW","MF",24,24,60,37,394,484,81.4,209,235,88.9,36,57,63.2,136,166,81.9,35,12,0,411,71,18,3,1,44,5,39,2,584,39,28,71.8,11,28.2
"Adama Traoré","Monaco","MLI","MF",NA,24,0,0,0,11,13,84.6,3,4,75,1,1,100,7,8,87.5,0,0,0,12,1,1,0,0,0,0,0,0,584,39,28,71.8,11,28.2
"Adama Traoré","Monaco","MLI","MF",NA,24,0,0,0,11,13,84.6,3,4,75,1,1,100,7,8,87.5,0,0,0,411,71,18,3,1,44,5,39,2,584,39,28,71.8,11,28.2
"Adama Traoré","Monaco","MLI","MF",NA,24,0,0,0,394,484,81.4,209,235,88.9,36,57,63.2,136,166,81.9,35,12,0,12,1,1,0,0,0,0,0,0,584,39,28,71.8,11,28.2
"Adil Aouchiche","Paris S-G","FRA","MF",NA,17,0,0,3,22,31,71,16,21,76.2,3,4,75,3,4,75,0,0,0,30,0,0,0,0,0,0,0,1,40,3,3,100,0,0
"Adil Taoui","Toulouse","FRA","MF",NA,17,0,0,3,9,14,64.3,6,7,85.7,1,2,50,1,4,25,0,0,0,12,2,0,0,0,3,0,2,0,21,1,1,100,0,0
"Adrien Hunou","Rennes","FRA","FW","MF",25,20,27,82,235,315,74.6,144,175,82.3,6,13,46.2,68,84,81,14,10,3,307,7,0,0,0,9,2,0,1,491,14,5,35.7,9,64.3
"Adrien Lebeau","Strasbourg","FRA","MF","FW",20,0,0,0,3,5,60,2,2,100,0,1,0,1,1,100,0,0,0,4,1,0,0,0,1,0,1,0,7,1,1,100,0,0
"Adrien Silva","Monaco","POR","MF",NA,30,14,92,21,728,851,85.5,343,385,89.1,59,95,62.1,312,339,92,15,8,0,786,64,49,1,7,20,2,13,1,985,31,21,67.7,10,32.3
"Adrien Tameze","Nice","CMR","MF",NA,25,11,20,24,195,230,84.8,103,112,92,9,19,47.4,70,78,89.7,7,6,0,226,4,4,1,3,4,0,0,0,289,11,8,72.7,3,27.3
"Adrien Thomasson","Strasbourg","FRA","MF","FW",25,52,95,149,732,963,76,401,475,84.4,55,79,69.6,225,295,76.3,40,31,8,893,66,17,3,4,60,15,5,4,1232,48,29,60.4,19,39.6
"Ahmad Ngouyamsa","Dijon","CHA","DF",NA,18,0,0,1,10,16,62.5,3,3,100,5,7,71.4,2,6,33.3,0,0,0,10,6,0,0,0,0,6,0,0,29,1,0,0,1,100
"Alaixys Romao","Reims","TOG","MF",NA,35,14,102,15,814,986,82.6,279,327,85.3,103,145,71,414,473,87.5,12,12,1,928,56,51,4,10,5,5,0,2,1184,20,15,75,5,25
"Albert Lottin","Bordeaux","FRA","MF",NA,17,0,5,0,21,22,95.5,9,9,100,2,2,100,10,11,90.9,0,0,0,22,0,0,0,0,0,0,0,0,30,3,2,66.7,1,33.3
"Aleksandr Golovin","Monaco","RUS","MF",NA,23,93,142,115,847,1125,75.3,438,493,88.8,98,181,54.1,275,358,76.8,46,27,1,990,127,41,9,13,126,4,82,8,1397,58,41,70.7,17,29.3
"Alexander Djiku","Strasbourg","GHA","DF","MF",24,6,93,5,1056,1233,85.6,338,375,90.1,157,217,72.4,537,597,89.9,6,4,2,1199,31,27,1,18,6,4,0,3,1486,17,12,70.6,5,29.4
"Alexandre Mendy","Brest","GNB","FW",NA,25,9,10,45,115,163,70.6,72,91,79.1,5,8,62.5,35,51,68.6,6,3,1,154,7,1,1,1,3,0,0,2,250,11,8,72.7,3,27.3
"Alexandre Oukidja","Metz","ALG","GK",NA,31,0,0,0,454,885,51.3,45,45,100,247,671,36.8,160,164,97.6,2,1,0,561,322,114,0,5,0,0,0,2,963,1,1,100,0,0
"Alexis Blin","Amiens","FRA","MF",NA,22,10,100,9,880,1051,83.7,442,502,88,73,105,69.5,344,400,86,7,4,1,1011,38,30,0,8,18,2,6,2,1253,12,8,66.7,4,33.3
"Alexis Claude-Maurice","Nice","FRA","FW","MF",21,64,64,142,501,595,84.2,300,334,89.8,29,47,61.7,159,186,85.5,20,18,2,569,26,6,1,4,28,5,13,0,842,85,58,68.2,27,31.8
"Alfred Gomis","Dijon","SEN","GK",NA,25,0,0,0,519,734,70.7,81,81,100,202,410,49.3,236,241,97.9,0,0,0,501,233,65,0,0,0,0,0,0,782,1,1,100,0,0
"Álvaro González","Marseille","ESP","DF",NA,29,9,43,0,757,884,85.6,281,299,94,92,147,62.6,375,419,89.5,3,2,0,861,23,19,1,7,1,4,0,0,1026,3,3,100,0,0
"Ambroise Oyongo","Montpellier","CMR","DF","FW",28,31,69,102,688,940,73.2,361,419,86.2,59,125,47.2,258,329,78.4,13,16,8,733,204,10,0,2,64,194,0,3,1126,38,16,42.1,22,57.9
"Amine Adli","Toulouse","MAR","MF","FW",19,4,3,5,20,26,76.9,11,12,91.7,2,6,33.3,6,7,85.7,2,1,0,22,4,1,0,0,4,0,3,0,31,4,3,75,1,25
"Anastasios Donis","Reims","GRE","FW",NA,22,26,3,44,66,122,54.1,33,50,66,5,14,35.7,28,49,57.1,6,1,1,113,9,0,0,0,23,3,1,0,193,33,21,63.6,12,36.4
"Ander Herrera","Paris S-G","ESP","MF","DF",29,7,44,38,454,494,91.9,272,281,96.8,17,23,73.9,145,157,92.4,8,5,2,474,18,2,0,1,7,16,0,2,551,3,2,66.7,1,33.3
