"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Amiens",425,238,56,510,510,39.4,280,87,193,300,615,17
"Angers",439,279,63.5535307517084,452,452,39.2,229,51,178,267,513,8
"Bordeaux",483,284,58.7991718426501,595,595,38.7,237,89,148,302,575,13
"Brest",484,282,58.2644628099174,472,472,39,263,82,181,352,537,11
"Dijon",516,304,58.9147286821705,548,548,43.6,277,100,177,332,596,14
"Lille",424,237,55.8962264150943,467,467,39.2,263,62,201,278,450,9
"Lyon",492,304,61.7886178861789,442,442,45.5,241,94,147,311,540,7
"Marseille",564,325,57.6241134751773,560,560,42,264,58,206,312,533,9
"Metz",526,337,64.0684410646388,475,475,44.8,293,97,196,312,635,5
"Monaco",504,307,60.9126984126984,556,556,42.3,249,70,179,281,495,15
"Montpellier",449,286,63.6971046770601,570,570,38.1,220,83,137,308,520,7
"Nantes",548,347,63.3211678832117,550,550,48.2,217,72,145,305,512,4
"Nice",471,279,59.2356687898089,516,516,41.1,280,81,199,343,480,13
"Nîmes",552,302,54.7101449275362,599,599,41.6,272,75,197,329,469,6
"Paris S-G",484,295,60.9504132231405,473,473,40.4,258,57,201,255,303,13
"Reims",490,324,66.1224489795918,401,401,45.9,228,72,156,325,514,8
"Rennes",501,296,59.0818363273453,533,533,40.9,277,96,181,272,594,7
"Saint-Étienne",512,318,62.109375,508,508,43.1,267,63,204,376,478,15
"Strasbourg",472,293,62.0762711864407,403,403,46.9,198,51,147,301,436,11
"Toulouse",549,346,63.023679417122,508,508,43.3,252,77,175,320,592,13
