"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Amiens",587,1238,12188,15383,79.2,5410,6220,87,1436,2465,58.3,4952,5823,85,13911,1449,418,33,172,558,664,140,23,54.4,18606,510,309,60.6,201,39.4
"Angers",569,1308,13506,16379,82.5,6395,7122,89.8,1264,2171,58.2,5518,6291,87.7,15034,1317,348,41,116,471,577,112,28,54.8,19485,452,275,60.8,177,39.2
"Bordeaux",580,1053,10061,13024,77.2,4469,5185,86.2,1145,2166,52.9,4233,5033,84.1,11580,1407,399,34,94,563,583,165,37,46.4,16064,595,365,61.3,230,38.7
"Brest",621,1144,11328,14354,78.9,5207,5998,86.8,1287,2261,56.9,4516,5331,84.7,12905,1410,337,39,117,609,597,164,39,50.2,17583,472,288,61,184,39
"Dijon",546,1296,12016,15098,79.6,5378,6141,87.6,1227,2228,55.1,5105,5935,86,13618,1446,365,32,137,595,658,161,34,53.5,18337,548,309,56.4,239,43.6
"Lille",457,936,9861,12826,76.9,4330,5038,85.9,1226,2224,55.1,4001,4789,83.5,11326,1464,419,21,119,433,636,113,36,47.1,16008,467,284,60.8,183,39.2
"Lyon",495,976,9800,12551,78.1,4561,5200,87.7,934,1895,49.3,3890,4615,84.3,11178,1330,338,24,94,437,555,121,43,43.8,15747,442,241,54.5,201,45.5
"Marseille",416,880,9878,12782,77.3,4447,5105,87.1,1033,1993,51.8,4067,4820,84.4,11239,1478,372,34,98,438,712,111,65,46.5,15914,560,325,58,235,42
"Metz",550,1307,12110,15183,79.8,5353,6089,87.9,1318,2234,59,5059,5962,84.9,13706,1451,342,40,132,615,706,166,26,54.7,18311,475,262,55.2,213,44.8
"Monaco",586,1143,11250,13920,80.8,5106,5730,89.1,1276,2136,59.7,4560,5250,86.9,12549,1312,358,35,165,529,534,137,59,49.1,17209,556,321,57.7,235,42.3
"Montpellier",650,1069,11092,14051,78.9,5034,5730,87.9,1250,2215,56.4,4435,5314,83.5,12540,1479,430,40,138,503,632,131,32,52.4,17216,571,353,61.8,217,38
"Nantes",398,1053,11710,14803,79.1,5187,5917,87.7,1226,2292,53.5,4901,5726,85.6,13233,1527,393,34,85,487,738,133,43,52,18051,551,285,51.7,265,48.1
"Nice",574,1070,10522,12996,81,4507,5056,89.1,1312,2140,61.3,4404,5046,87.3,11658,1291,292,22,138,562,561,163,47,45.4,15969,516,304,58.9,212,41.1
"Nîmes",547,1098,10876,13984,77.8,4590,5386,85.2,1196,2221,53.8,4887,5708,85.6,12507,1433,375,34,76,427,645,125,44,55,17246,599,350,58.4,249,41.6
"Paris S-G",435,637,7870,10145,77.6,3848,4338,88.7,934,1717,54.4,2781,3321,83.7,8865,1247,375,15,90,351,416,98,33,34.8,13137,473,282,59.6,191,40.4
"Reims",462,1004,10978,13913,78.9,4926,5626,87.6,1116,2138,52.2,4601,5388,85.4,12384,1510,409,17,91,527,680,133,19,51.1,16895,401,217,54.1,184,45.9
"Rennes",499,993,10470,13366,78.3,4825,5484,88,1185,2157,54.9,4152,4969,83.6,11876,1472,409,17,95,534,654,136,18,50.4,16554,535,315,58.9,218,40.7
"Saint-Étienne",456,1008,11132,14206,78.4,5079,5836,87,1209,2258,53.5,4495,5295,84.9,12693,1464,390,41,92,452,673,119,49,51.8,17404,508,289,56.9,219,43.1
"Strasbourg",543,1017,10461,13135,79.6,4763,5387,88.4,1169,2079,56.2,4258,4995,85.2,11758,1346,373,26,110,456,563,114,31,50.4,15977,403,214,53.1,189,46.9
"Toulouse",615,1378,12811,15707,81.6,5651,6347,89,1373,2297,59.8,5447,6216,87.6,14281,1381,398,24,143,571,587,166,45,55.8,18896,508,288,56.7,220,43.3
