"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Amiens",31,49,65.9,7,25,2,40
"Angers",28,87,76.3,11,39.3,0,0
"Bordeaux",40,68,64.8,6,21.4,0,0
"Brest",34,66,67.3,10,35.7,3,75
"Dijon",27,75,74.3,12,42.9,0,0
"Lille",35,91,76.7,6,21.4,3,37.5
"Lyon",42,93,72.8,9,32.1,1,16.7
"Marseille",41,81,69.2,6,21.4,1,20
"Metz",27,71,75,9,32.1,2,50
"Monaco",44,95,71.2,5,17.9,0,0
"Montpellier",35,81,71.6,10,35.7,2,50
"Nantes",28,91,77.2,9,32.1,0,0
"Nice",41,89,72.3,3,10.7,0,0
"Nîmes",29,78,74.8,10,35.7,0,0
"Paris S-G",75,121,64.2,1,3.7,1,14.3
"Reims",26,66,77.2,10,35.7,0,0
"Rennes",38,74,69,7,25,2,40
"Saint-Étienne",29,74,76.5,9,32.1,0,0
"Strasbourg",32,76,73.4,11,40.7,1,25
"Toulouse",22,73,81.1,14,50,1,20
