"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Yunis Abdelhamid","Reims","MAR","DF",NA,32,59,37,62.7118644067797,42,42,61.9,34,15,19,61,132,0
"Mehdi Abeid","Nantes","ALG","MF",NA,27,34,19,55.8823529411765,30,30,50,9,2,7,20,10,0
"Laurent Abergel","Lorient","FRA","MF",NA,27,145,84,57.9310344827586,162,162,33.3,64,6,58,46,12,0
"Charles Abi","Saint-Étienne","FRA","FW","MF",20,8,2,25,12,12,25,6,2,4,4,5,0
"Pape Abou Cissé","Saint-Étienne","SEN","DF",NA,24,15,13,86.6666666666667,10,10,60,7,4,3,27,87,0
"Yacine Adli","Bordeaux","FRA","MF",NA,20,74,37,50,92,92,38,27,2,25,39,17,2
"Nayef Aguerd","Rennes","MAR","DF",NA,24,37,30,81.0810810810811,33,33,63.6,34,22,12,47,102,0
"Ruben Aguilar","Monaco","FRA","DF","MF",27,63,37,58.7301587301587,52,52,61.5,30,3,27,47,43,1
"Matteo Ahlinvi","Nîmes","BEN","MF",NA,21,26,20,76.9230769230769,39,39,28.2,6,0,6,2,8,0
"Jean-Eudes Aholou","Strasbourg","CIV","MF",NA,26,46,25,54.3478260869565,48,48,39.6,17,5,12,53,32,0
"Jean-Eudes Aholou","Monaco","CIV","MF",NA,26,1,0,0,3,3,33.3,0,0,0,1,1,0
"Rayan Aït-Nouri","Angers","ALG","DF",NA,19,3,2,66.6666666666667,5,5,60,2,1,1,4,1,0
"Ludovic Ajorque","Strasbourg","FRA","FW",NA,26,30,18,60,31,31,22.6,14,5,9,11,54,0
"Marley Aké","Marseille","FRA","FW",NA,19,3,3,100,1,1,0,2,0,2,0,1,0
"Sofiane Alakouch","Nîmes","MAR","DF",NA,22,53,33,62.2641509433962,45,45,64.4,17,2,15,21,38,0
"Mohamed Ali Cho","Angers","FRA","FW","MF",16,9,7,77.7777777777778,9,9,44.4,4,0,4,3,0,0
"Rachid Alioui","Angers","MAR","FW",NA,28,0,0,NA,1,1,0,0,0,0,0,0,0
"Saturnin Allagbé","Dijon","BEN","GK",NA,26,0,0,NA,1,1,0,0,0,0,0,9,3
"Ibrahim Amadou","Angers","FRA","MF",NA,27,39,26,66.6666666666667,38,38,39.5,14,4,10,23,25,0
"Romain Amalfitano","Dijon","FRA","FW","DF",30,4,2,50,3,3,33.3,2,1,1,1,1,0
"Jordan Amavi","Marseille","FRA","DF",NA,26,11,9,81.8181818181818,12,12,75,12,2,10,27,33,1
"Thierry Ambrose","Metz","GLP","FW",NA,23,7,4,57.1428571428571,12,12,16.7,2,0,2,2,4,0
"Joachim Andersen","Lyon","DEN","DF",NA,24,2,1,50,2,2,100,1,1,0,2,6,0
"Benjamin André","Lille","FRA","MF",NA,29,114,68,59.6491228070175,122,122,43.4,39,10,29,76,49,0
