"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Angers",1,58,82,63.3,9,23.7,1,12.5
"Bordeaux",1,56,100,68.6,14,36.8,1,12.5
"Brest",2,66,115,68.3,7,18.4,1,10
"Dijon",3,73,117,65.3,6,15.8,2,22.2
"Lens",2,54,92,69.9,8,21.1,0,0
"Lille",1,23,85,79.4,21,55.3,1,50
"Lorient",2,68,100,65.3,5,13.2,0,0
"Lyon",1,43,92,71.6,11,28.9,1,16.7
"Marseille",2,47,86,66.7,8,21.1,0,0
"Metz",2,48,102,76,8,21.1,1,7.7
"Monaco",3,42,62,64.1,15,39.5,0,0
"Montpellier",2,62,137,74.6,5,13.2,0,0
"Nantes",1,55,113,73.2,5,13.2,1,9.1
"Nice",1,53,123,73.9,9,23.7,0,0
"Nîmes",1,71,122,66.8,8,21.1,3,33.3
"Paris S-G",3,28,103,79.4,19,50,1,50
"Reims",2,50,117,73.2,10,26.3,2,28.6
"Rennes",3,40,92,71.8,10,26.3,0,0
"Saint-Étienne",3,54,79,63.6,12,31.6,1,14.3
"Strasbourg",3,58,91,65.1,10,26.3,1,14.3
