"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Angers",73,3,1,4,508
"Bordeaux",66,3,0,3,501
"Brest",78,5,2,7,477
"Dijon",54,1,0,1,446
"Lens",76,7,2,9,486
"Lille",76,7,5,12,473
"Lorient",77,6,1,7,498
"Lyon",77,8,1,9,474
"Marseille",81,6,4,10,503
"Metz",76,6,2,8,504
"Monaco",89,12,4,16,499
"Montpellier",79,4,1,5,477
"Nantes",88,3,1,4,539
"Nice",66,1,0,1,466
"Nîmes",87,9,2,11,565
"Paris S-G",59,9,2,11,447
"Reims",58,3,1,4,437
"Rennes",70,6,1,7,511
"Saint-Étienne",77,1,0,1,522
"Strasbourg",68,2,1,3,433
