"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Abdel Jalil Medioub","Bordeaux","ALG","DF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Abdou Diallo","Paris S-G","SEN","DF",NA,25,1,1,0,0,2,1,50,0,0,16.3,0,6,6,0,2,2,0
"Abdoulaye Bakayoko","Saint-Étienne","FRA","DF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,2,1,0,0,0
"Abdoulaye Bamba","Angers","CIV","DF","FW",31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,7,0,0,0,0
"Abdoulaye Sylla","Nantes","GUI","DF",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Abdu Conté","Troyes","POR","DF",NA,23,1,1,0,0,5,1,20,0,0,15.5,0,23,16,7,2,2,0
"Abdul Majeed Waris","Strasbourg","GHA","FW","MF",29,0,2,0,0,7,3,42.9,0.29,0.67,17.8,0,11,8,3,2,1,1
"Aboubakar Sidibé","Clermont Foot","FRA","DF",NA,25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Achraf Hakimi","Paris S-G","MAR","DF",NA,22,6,10,0,0,20,10,50,0.2,0.4,15.9,0,52,42,10,9,8,1
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",19,4,4,0,0,21,10,47.6,0,0,22.5,0,38,21,17,5,3,2
"Adil Rami","Troyes","FRA","DF",NA,35,0,3,0,0,5,3,60,0.6,1,6.8,0,5,5,0,0,0,0
"Adrian Grbić","Lorient","AUT","FW","MF",24,0,1,0,0,12,7,58.3,0.08,0.14,19,4,7,5,2,0,0,0
"Adrien Thomasson","Strasbourg","FRA","MF",NA,27,4,12,0,0,48,19,39.6,0.17,0.42,16.3,0,89,66,23,13,10,3
"Adrien Truffert","Rennes","FRA","DF",NA,19,2,5,0,0,19,5,26.3,0.16,0.6,20.1,0,37,31,6,7,5,2
"Aimen Moueffek","Saint-Étienne","FRA","MF",NA,20,0,0,0,0,4,1,25,0,0,27.7,0,9,7,2,0,0,0
"Akim Zedadka","Clermont Foot","ALG","DF",NA,26,3,3,0,0,31,6,19.4,0,0,21.7,0,97,81,16,6,5,1
"Alban Lafont","Nantes","FRA","GK",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,1,0
"Alberth Elis","Bordeaux","HON","FW","MF",25,1,10,1,0,30,11,36.7,0.3,0.82,13.9,0,38,26,12,2,2,0
"Aleksandr Golovin","Monaco","RUS","FW","MF",25,4,7,0,0,23,7,30.4,0.13,0.43,19.8,1,68,41,27,8,6,2
"Alexander Djiku","Strasbourg","GHA","DF",NA,26,0,1,0,0,15,7,46.7,0.07,0.14,11.3,0,34,31,3,5,4,1
"Alexander Nübel","Monaco","GER","GK",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Alexandre Letellier","Paris S-G","FRA","GK",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alexandre Oukidja","Metz","ALG","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alexis Claude-Maurice","Nice","FRA","MF",NA,23,2,2,0,0,6,1,16.7,0,0,18.2,0,12,8,4,3,2,1
"Alexis Flips","Reims","FRA","MF","DF",21,4,6,1,1,18,9,50,0.06,0.11,25,1,49,27,22,4,1,3
"Alfred Gomis","Rennes","SEN","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Alidu Seidu","Clermont Foot","GHA","DF",NA,21,0,0,0,0,9,1,11.1,0,0,22.5,0,17,13,4,0,0,0
"Álvaro González","Marseille","ESP","DF",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Amadou Mbengue","Metz","SEN","DF","MF",19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,0
"Amadou Onana","Lille","BEL","MF",NA,19,0,1,0,0,15,6,40,0.07,0.17,14.5,0,33,28,5,2,0,2
"Amadou Traore","Bordeaux","FRA","FW",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Ambroise Oyongo","Montpellier","CMR","DF",NA,30,0,1,0,0,6,3,50,0.17,0.33,22.8,1,12,9,3,0,0,0
"Amine Bassi","Metz","FRA","MF","FW",23,0,0,0,0,4,1,25,0,0,26.5,0,12,4,8,0,0,0
"Amine Gouiri","Nice","ALG","FW","MF",21,9,19,5,3,71,33,46.5,0.1,0.21,18.2,2,132,75,57,17,14,3
"Amine Harit","Marseille","MAR","FW","MF",24,4,8,0,0,15,7,46.7,0.27,0.57,16.5,1,49,36,13,6,4,2
"Anastasios Donis","Reims","GRE","FW","MF",24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,0,0
"Ander Herrera","Paris S-G","ESP","MF",NA,31,2,5,0,0,14,3,21.4,0.21,1,22.3,0,39,35,4,7,7,0
"Andrei Girotto","Nantes","BRA","DF","MF",29,1,7,0,0,45,10,22.2,0.13,0.6,16.1,3,27,21,6,2,2,0
"Andrew Gravillon","Reims","GLP","DF",NA,23,0,0,0,0,16,4,25,0,0,20.5,2,22,15,7,1,1,0
"Andy Delort","Nice","ALG","FW",NA,29,2,18,3,3,95,37,38.9,0.14,0.35,16.9,7,12,11,1,1,0,1
"Andy Delort","Nice","ALG","FW",NA,29,2,18,3,3,95,37,38.9,0.14,0.35,16.9,7,65,50,15,9,6,3
"Andy Delort","Nice","ALG","FW",NA,29,2,18,3,3,14,5,35.7,0.14,0.4,15.9,0,12,11,1,1,0,1
"Andy Delort","Nice","ALG","FW",NA,29,2,18,3,3,14,5,35.7,0.14,0.4,15.9,0,65,50,15,9,6,3
"Andy Delort","Montpellier","ALG","FW",NA,29,1,3,0,0,95,37,38.9,0.14,0.35,16.9,7,12,11,1,1,0,1
"Andy Delort","Montpellier","ALG","FW",NA,29,1,3,0,0,95,37,38.9,0.14,0.35,16.9,7,65,50,15,9,6,3
"Andy Delort","Montpellier","ALG","FW",NA,29,1,3,0,0,14,5,35.7,0.14,0.4,15.9,0,12,11,1,1,0,1
"Andy Delort","Montpellier","ALG","FW",NA,29,1,3,0,0,14,5,35.7,0.14,0.4,15.9,0,65,50,15,9,6,3
"Andy Diouf","Rennes","FRA","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Anel Ahmedhodžić","Bordeaux","BIH","DF",NA,22,1,1,0,0,8,4,50,0,0,16,0,20,16,4,2,2,0
"Ángel Di María","Paris S-G","ARG","FW",NA,33,7,12,0,0,51,22,43.1,0.1,0.23,19.7,1,104,76,28,12,11,1
"Angel Gomes","Lille","ENG","MF","FW",20,1,2,0,0,14,2,14.3,0.07,0.5,19.6,0,28,23,5,3,2,1
"Angelo Fulgini","Angers","FRA","MF","FW",24,4,9,0,0,58,17,29.3,0.09,0.29,16.5,3,94,63,31,11,5,6
"Anthony Caci","Strasbourg","FRA","DF",NA,24,3,4,0,0,15,4,26.7,0.07,0.25,18.1,0,55,47,8,5,4,1
"Anthony Lopes","Lyon","POR","GK",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,0,0
"Anthony Mandrea","Angers","ALG","GK",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Antonin Bobichon","Angers","FRA","MF","FW",25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Arber Zeneli","Reims","KVX","FW",NA,26,3,5,0,0,11,3,27.3,0.18,0.67,16.8,0,19,14,5,3,1,2
"Arial Mendy","Clermont Foot","SEN","DF","FW",26,0,0,0,0,10,3,30,0,0,21.6,0,15,14,1,0,0,0
"Arkadiusz Milik","Marseille","POL","FW",NA,27,2,9,1,1,53,19,35.8,0.11,0.32,13.8,2,24,21,3,5,5,0
"Armand Lauriente","Lorient","FRA","FW","MF",22,2,8,1,1,84,36,42.9,0.06,0.14,21,22,99,57,42,8,4,4
"Arnaud Kalimuendo","Paris S-G","FRA","FW",NA,19,0,0,0,0,60,29,48.3,0.17,0.34,17.1,0,55,40,15,6,3,3
"Arnaud Kalimuendo","Paris S-G","FRA","FW",NA,19,0,0,0,0,60,29,48.3,0.17,0.34,17.1,0,0,0,0,0,0,0
"Arnaud Kalimuendo","Lens","FRA","FW",NA,19,0,12,2,2,60,29,48.3,0.17,0.34,17.1,0,55,40,15,6,3,3
"Arnaud Kalimuendo","Lens","FRA","FW",NA,19,0,12,2,2,60,29,48.3,0.17,0.34,17.1,0,0,0,0,0,0,0
"Arnaud Nordin","Saint-Étienne","FRA","FW","MF",23,4,8,0,0,45,20,44.4,0.09,0.2,17.2,0,51,25,26,11,4,7
"Arnaud Souquet","Montpellier","FRA","DF",NA,29,3,4,0,0,18,4,22.2,0.06,0.25,24.4,0,49,31,18,6,5,1
"Arthur Desmas","Clermont Foot","FRA","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Assane Dioussé","Saint-Étienne","SEN","MF",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aurélien Tchouaméni","Monaco","FRA","MF",NA,21,2,5,0,0,55,10,18.2,0.05,0.3,22.5,0,71,50,21,8,8,0
"Axel Disasi","Monaco","FRA","DF",NA,23,0,1,0,0,20,2,10,0.05,0.5,10.9,0,13,11,2,0,0,0
"Azor Matusiwa","Reims","NED","MF",NA,23,1,2,0,0,10,5,50,0.1,0.2,23.7,0,41,36,5,4,4,0
"Azzedine Ounahi","Angers","MAR","MF",NA,21,1,3,0,0,26,4,15.4,0.08,0.5,23.3,0,47,36,11,4,2,2
"Bakary Sako","Saint-Étienne","MLI","FW","MF",33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,2,0,0,0
"Bamba Dieng","Marseille","SEN","FW",NA,21,1,8,1,1,36,18,50,0.17,0.33,11.9,0,20,11,9,5,1,4
"Baptiste Mouazan","Lorient","FRA","MF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Baptiste Santamaria","Rennes","FRA","MF","DF",26,1,3,0,0,34,7,20.6,0.06,0.29,18,0,44,41,3,8,7,1
"Batista Mendy","Angers","FRA","MF","DF",21,1,2,0,0,14,6,42.9,0.07,0.17,21.7,0,22,18,4,2,2,0
"Béni Makouana","Montpellier","CGO","FW","MF",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,7,6,1,0,0,0
"Benjamin André","Lille","FRA","MF",NA,30,1,3,0,0,18,5,27.8,0.11,0.4,14.5,0,56,46,10,5,4,1
"Benjamin Bourigeaud","Rennes","FRA","FW","MF",27,12,23,0,0,51,21,41.2,0.22,0.52,17.3,8,176,97,79,18,14,4
"Benoît Badiashile","Monaco","FRA","DF",NA,20,0,1,0,0,14,4,28.6,0.07,0.25,10.4,0,15,11,4,1,0,1
"Benoît Costil","Bordeaux","FRA","GK",NA,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,6,4,2,0,0,0
"Bilal Brahimi","Angers","ALG","FW",NA,21,1,1,0,0,6,2,33.3,0,0,17.7,0,18,13,5,0,0,0
"Bilal Brahimi","Angers","ALG","FW",NA,21,1,1,0,0,6,2,33.3,0,0,17.7,0,14,8,6,3,1,2
"Bilal Brahimi","Nice","ALG","MF",NA,21,0,0,0,0,6,2,33.3,0,0,17.7,0,18,13,5,0,0,0
"Bilal Brahimi","Nice","ALG","MF",NA,21,0,0,0,0,6,2,33.3,0,0,17.7,0,14,8,6,3,1,2
"Birger Meling","Rennes","NOR","DF",NA,26,4,4,0,0,3,1,33.3,0,0,16.2,0,42,38,4,9,9,0
"Bonke Innocent","Lorient","NGA","MF",NA,25,0,0,0,0,3,1,33.3,0,0,14.1,0,10,7,3,0,0,0
"Boubacar Kamara","Marseille","FRA","MF","DF",21,0,1,0,0,22,3,13.6,0.05,0.33,20.5,0,53,43,10,5,3,2
"Boubacar Traoré","Metz","MLI","MF",NA,19,1,2,0,0,22,5,22.7,0.05,0.2,28.3,0,44,35,9,2,1,1
"Boubakar Kouyaté","Metz","MLI","DF",NA,24,0,1,0,0,22,6,27.3,0.05,0.17,14.3,0,14,8,6,1,1,0
"Bradley Barcola","Lyon","FRA","FW","MF",18,1,1,0,0,5,2,40,0,0,13,0,11,9,2,2,2,0
"Bradley Locko","Reims","FRA","MF","DF",19,1,2,0,0,7,2,28.6,0.14,0.5,24.1,0,20,16,4,7,6,1
"Brandon Domingues","Troyes","FRA","MF","FW",21,0,1,0,0,4,2,50,0.25,0.5,19.6,0,6,5,1,0,0,0
"Brayann Pereira","Lens","FRA","DF","MF",18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
