"Player","Squad","Nation","Pos","Pos2","Age","Born","Total_Match_Played","Total_Playing_Time","Minutes_Per_Match_Played","Percent_of_Squad_Minutes_Played","Matches_Started","Minutes_Per_Match_Start","Complete_Matches_PLayed","Matches_Played_As_Substitute","Minutes_Per_Match_Substitute","Player_Points_Per_Match","Player_On_Pitch_Squad_Goals","Player_On_Pitch_Goals_Allowed","Weekly_Wages","Annual_Wages"
"Abdel Jalil Medioub","Bordeaux","ALG","DF",NA,23,1997,10,622,62,18.2,6,88,4,4,24,1.2,12,20,2115,110000
"Abdou Diallo","Paris S-G","SEN","DF",NA,25,1996,12,877,73,25.6,10,86,8,2,11,2.5,23,9,103846,5400000
"Abdoulaye Bamba","Angers","CIV","DF","FW",31,1990,10,458,46,13.4,4,88,3,6,18,1.2,4,9,6346,330000
"Abdul Majeed Waris","Strasbourg","GHA","FW","MF",29,1991,15,327,22,9.6,2,79,1,13,13,1.27,8,5,10962,570000
"Achraf Hakimi","Paris S-G","MAR","DF",NA,22,1998,32,2479,77,72.5,28,87,19,4,14,2.28,70,25,279808,14550000
"Adil Aouchiche","Saint-Étienne","FRA","MF","FW",19,2002,35,1081,31,31.6,11,61,0,24,17,0.83,14,25,6154,320000
"Adil Rami","Troyes","FRA","DF",NA,35,1985,17,1171,69,34.2,14,78,8,3,26,1.06,8,21,9615,5e+05
"Adrian Grbić","Lorient","AUT","FW","MF",24,1996,16,518,32,15.1,4,69,0,12,20,0.81,5,10,9808,510000
"Adrien Thomasson","Strasbourg","FRA","MF",NA,27,1993,31,2389,77,69.9,27,85,17,4,24,1.61,45,33,8462,440000
"Adrien Truffert","Rennes","FRA","DF",NA,19,2001,30,1639,55,47.9,18,81,9,12,16,1.7,42,24,2885,150000
"Aimen Moueffek","Saint-Étienne","FRA","MF",NA,20,2001,14,432,31,12.6,4,60,0,10,19,1.36,5,5,4038,210000
"Akim Zedadka","Clermont Foot","ALG","DF",NA,26,1995,38,3337,88,97.6,37,90,35,1,19,0.95,38,69,1154,60000
"Alberth Elis","Bordeaux","HON","FW","MF",25,1996,20,1409,70,41.2,16,80,6,4,34,0.7,24,44,3846,2e+05
"Aleksandr Golovin","Monaco","RUS","FW","MF",25,1996,27,1502,56,43.9,17,71,2,10,29,1.93,30,14,43654,2270000
"Alexander Djiku","Strasbourg","GHA","DF",NA,26,1994,31,2694,87,78.8,30,88,27,1,45,1.42,43,35,16154,840000
"Alexis Flips","Reims","FRA","MF","DF",21,2000,25,1056,42,30.9,13,63,1,12,20,1.12,13,9,3846,2e+05
"Alidu Seidu","Clermont Foot","GHA","DF",NA,21,2000,21,1410,67,41.2,16,83,12,5,16,1.14,14,25,3462,180000
"Álvaro González","Marseille","ESP","DF",NA,31,1990,6,451,75,13.2,5,90,5,1,1,1.83,7,4,12692,660000
"Amadou Mbengue","Metz","SEN","DF","MF",19,2002,12,610,51,17.8,5,78,4,7,32,0.58,5,15,962,50000
"Amadou Onana","Lille","BEL","MF",NA,19,2001,32,1359,42,39.7,11,83,6,21,21,1.59,23,17,2885,150000
"Ambroise Oyongo","Montpellier","CMR","DF",NA,30,1991,11,659,60,19.3,7,81,4,4,22,0.91,6,14,8654,450000
"Amine Bassi","Metz","FRA","MF","FW",23,1997,5,184,37,5.4,2,68,0,3,16,0.8,1,3,2885,150000
"Amine Gouiri","Nice","ALG","FW","MF",21,2000,38,2754,72,80.5,32,82,16,6,23,1.76,43,31,8077,420000
"Amine Harit","Marseille","MAR","FW","MF",24,1997,23,1165,51,34.1,12,78,1,11,21,1.83,23,14,59615,3100000
