"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Angers",30,659,1349,15307,18797,81.4,6193,7006,88.4,1724,2880,59.9,6960,7916,87.9,16901,1850,548,30,147,572,717,186,46,48.4,23137,839,401,47.8,438,52.2
"Bordeaux",39,609,1271,13552,17385,78,5738,6654,86.2,1815,3091,58.7,5627,6682,84.2,15441,1886,464,52,176,611,815,150,58,47.4,21609,657,355,54,302,46
"Brest",25,666,1349,12684,16506,76.8,5325,6290,84.7,1852,3141,59,5126,6166,83.1,14535,1924,484,20,156,710,846,171,47,43.9,20760,640,315,49.2,325,50.8
"Clermont Foot",28,617,1370,15713,19560,80.3,7638,8645,88.4,1598,2805,57,5961,6974,85.5,17599,1908,526,28,156,713,828,179,53,50,23488,599,327,54.6,272,45.4
"Lens",28,763,1692,16573,20178,82.1,7613,8583,88.7,1477,2498,59.1,6900,7932,87,18428,1692,388,51,172,699,718,213,58,50.7,24163,594,345,58.1,250,42.1
"Lille",26,725,1487,15086,18926,79.7,6923,7842,88.3,1658,2862,57.9,5970,6972,85.6,16958,1879,471,47,186,621,828,201,89,50.8,23068,620,313,50.5,306,49.4
"Lorient",29,569,1258,13156,16818,78.2,5597,6471,86.5,1630,2876,56.7,5492,6467,84.9,14950,1813,441,40,163,588,803,162,55,44.4,21037,597,307,51.4,290,48.6
"Lyon",30,781,1756,19787,23388,84.6,8987,9961,90.2,1780,2835,62.8,8403,9364,89.7,21522,1804,491,95,139,571,782,188,62,58.4,27712,814,489,60.1,325,39.9
"Marseille",27,762,1866,21253,24524,86.7,9918,10745,92.3,1878,2900,64.8,8776,9635,91.1,22709,1755,538,57,176,619,692,217,60,61.7,27998,573,307,53.6,266,46.4
"Metz",36,572,1015,12069,15688,76.9,5120,6014,85.1,1430,2715,52.7,5157,6079,84.8,13854,1786,476,34,137,581,729,142,48,42.9,20273,609,334,54.8,275,45.2
"Monaco",27,750,1871,16300,20559,79.3,6964,8022,86.8,1702,3045,55.9,7227,8418,85.9,18632,1833,448,77,150,705,805,220,94,54.1,24599,652,366,56.1,286,43.9
"Montpellier",27,604,1282,13951,17804,78.4,6234,7133,87.4,1585,2917,54.3,5560,6581,84.5,15757,1994,484,36,155,697,868,178,53,48.2,21921,590,316,53.6,274,46.4
"Nantes",26,607,1330,12580,16481,76.3,5386,6257,86.1,1572,2976,52.8,5234,6315,82.9,14568,1858,422,20,140,731,864,198,55,43.9,20769,676,333,49.3,343,50.7
"Nice",27,732,1474,16159,19832,81.5,7356,8328,88.3,1515,2645,57.3,6858,7835,87.5,18037,1742,440,37,101,742,766,196,53,51.5,23930,699,387,55.4,310,44.3
"Paris S-G",36,877,2055,23831,26660,89.4,12093,12973,93.2,1662,2239,74.2,9125,9855,92.6,24940,1627,488,94,170,459,623,201,93,63,30477,872,490,56.2,381,43.7
"Reims",35,614,1185,12097,15811,76.5,5187,6061,85.6,1511,2767,54.6,5070,6048,83.8,13914,1821,498,14,181,629,780,166,76,42.2,20184,594,329,55.4,265,44.6
"Rennes",28,676,1737,17605,21263,82.8,7052,8029,87.8,2224,3332,66.7,7902,8886,88.9,19478,1726,436,41,199,698,766,222,59,55.9,25210,530,287,54.2,243,45.8
"Saint-Étienne",39,685,1400,13880,17876,77.6,6137,7086,86.6,1593,2972,53.6,5607,6671,84.1,15857,1968,520,39,214,697,868,178,51,48.5,22334,736,397,53.9,339,46.1
"Strasbourg",26,573,1589,14576,18653,78.1,6112,7060,86.6,1856,3259,56.9,6190,7296,84.8,16798,1794,449,47,212,797,807,180,61,49.5,22693,498,272,54.6,226,45.4
"Troyes",35,598,1216,13093,16828,77.8,6026,6920,87.1,1466,2726,53.8,5156,6130,84.1,14916,1859,534,26,163,708,750,161,53,44.4,20860,586,318,54.3,268,45.7
