"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Keyliane Abdallah","Marseille","FRA","FW",NA,17,0,0,0,0,0
"Yunis Abdelhamid","Reims","MAR","DF",NA,35,5,0,0,0,26
"Salis Abdul Samed","Lens","GHA","MF",NA,23,2,0,0,0,34
"Laurent Abergel","Lorient","FRA","MF",NA,30,4,0,0,0,36
"Matthis Abline","Nantes","FRA","FW",NA,20,1,0,0,0,10
"Zakaria Aboukhlal","Toulouse","MAR","MF","FW",23,2,0,0,0,17
"Akor Adams","Montpellier","NGA","FW",NA,23,2,0,0,0,39
"Nathaniel Adjei","Lorient","GHA","DF",NA,20,2,0,0,0,10
"Adson","Nantes","BRA","MF","FW",22,0,0,0,0,4
"Emmanuel Agbadou","Reims","CIV","DF",NA,26,1,0,0,0,31
"Ruben Aguilar","Lens","FRA","DF",NA,30,3,0,0,0,20
"Tosin Aiyegun","Lorient","BEN","MF","FW",25,0,1,0,1,13
"Sergio Akieme","Reims","ESP","DF",NA,25,2,0,0,0,17
"Maghnes Akliouche","Monaco","FRA","MF","FW",21,5,0,0,0,33
"Paul Akouokou","Lyon","CIV","MF",NA,25,1,0,0,0,9
"Aboubacar Ali","Strasbourg","FRA","MF","FW",17,0,0,0,0,4
"Mohamed Ali Cho","Nice","FRA","FW",NA,19,2,0,0,0,17
"Nabil Alioui","Le Havre","FRA","MF","FW",24,1,0,0,0,10
"Jim Allevinah","Clermont Foot","GAB","MF","DF",28,1,0,0,0,15
"Skelly Alvero","Lyon","FRA","MF",NA,21,2,0,0,0,12
"Papa Amadou Diallo","Metz","SEN","FW",NA,19,1,0,0,0,10
"Jordan Amavi","Brest","FRA","DF",NA,29,1,0,0,0,2
"Kelvin Amian","Nantes","FRA","DF",NA,25,2,0,0,0,13
"Michael Amir Murillo","Marseille","PAN","DF",NA,27,3,0,0,0,10
"Benjamin André","Lille","FRA","MF",NA,32,8,0,0,0,51
"Komnen Andrić","Clermont Foot","SRB","FW",NA,28,0,0,0,0,2
"Ângelo","Strasbourg","BRA","FW","MF",18,1,0,0,0,12
"Stredair Appuah","Nantes","FRA","FW","MF",19,0,0,0,0,1
"Yoël Armougom","Clermont Foot","FRA","DF","MF",25,1,0,0,0,1
"Hákon Arnar Haraldsson","Lille","ISL","FW","MF",20,5,0,0,0,15
"Mohamed El Arouch","Lyon","FRA","FW",NA,19,0,0,0,0,0
"Marco Asensio","Paris S-G","ESP","MF","FW",27,0,0,0,0,8
"Joel Asoro","Metz","SWE","FW","MF",24,2,0,0,0,18
"Lorenz Assignon","Rennes","TOG","DF",NA,23,4,0,0,0,22
"Youcef Atal","Nice","ALG","DF",NA,27,2,0,0,0,3
"Valentin Atangana Edoa","Reims","FRA","MF",NA,17,0,0,0,0,19
"Arthur Atta","Metz","FRA","MF","FW",20,0,0,0,0,18
"Pierre-Emerick Aubameyang","Marseille","GAB","FW",NA,34,4,0,0,0,9
"André Ayew","Le Havre","GHA","FW",NA,33,2,1,0,1,15
"Neil El Aynaoui","Lens","FRA","MF",NA,22,1,0,0,0,21
"Abdellah Baallal","Clermont Foot","MAR","MF",NA,18,0,0,0,0,0
"Shavy Babicka","Toulouse","GAB","FW","MF",23,0,0,0,0,5
"Tiemoué Bakayoko","Lorient","FRA","MF",NA,28,5,0,0,0,25
"Dilane Bakwa","Strasbourg","FRA","FW","MF",20,4,1,0,1,32
"Aliou Baldé","Nice","GUI","FW","DF",20,0,0,0,0,2
"Leonardo Balerdi","Marseille","ARG","DF",NA,24,6,1,1,2,25
"Folarin Balogun","Monaco","USA","FW",NA,22,1,0,0,0,31
"Mohamed Bamba","Lorient","CIV","FW",NA,21,3,0,0,0,22
"Mamady Bangré","Toulouse","BFA","FW","MF",22,2,0,0,0,3
"Bradley Barcola","Lyon","FRA","FW",NA,20,1,0,0,0,4
"Bradley Barcola","Paris S-G","FRA","FW","MF",20,3,1,1,2,22
"Melvin Bard","Nice","FRA","DF",NA,22,7,1,0,1,40
"Steven Baseya","Strasbourg","FRA","DF",NA,18,0,0,0,0,0
"Yanis Begraoui","Toulouse","MAR","FW","MF",22,0,0,0,0,5
"Jérémie Bela","Clermont Foot","ANG","MF","FW",30,0,0,0,0,0
"Alaa Bellaarouch","Strasbourg","MAR","GK",NA,21,1,0,0,0,0
"Jean-Ricner Bellegarde","Strasbourg","FRA","MF","FW",25,2,0,0,0,3
"Jeanuël Belocian","Rennes","FRA","DF",NA,18,0,0,0,0,12
"Eliesse Ben Seghir","Monaco","MAR","MF","FW",18,0,1,0,1,6
"Wissam Ben Yedder","Monaco","FRA","FW",NA,32,2,0,0,0,11
"Saïd Benrahma","Lyon","ALG","FW","MF",27,2,0,0,0,1
"Nabil Bentaleb","Lille","ALG","MF",NA,28,7,0,0,0,23
"Lucas Beraldo","Paris S-G","BRA","DF",NA,19,4,1,0,1,12
"Dimitry Bertaud","Montpellier","COD","GK",NA,25,0,0,0,0,0
"Marco Bizot","Brest","NED","GK",NA,32,3,1,0,1,1
"Rubén Blanco","Marseille","ESP","GK",NA,28,0,0,0,0,0
"Ludovic Blas","Rennes","FRA","FW","MF",25,3,0,0,0,44
"Myron Boadu","Monaco","NED","FW",NA,22,0,0,0,0,3
"Jeremie Boga","Nice","CIV","FW",NA,26,1,0,0,0,7
"Adama Bojang","Reims","GAM","FW",NA,19,1,0,0,0,4
"Neto Borges","Clermont Foot","BRA","DF",NA,26,3,1,0,1,21
"Ayyoub Bouaddi","Lille","FRA","MF",NA,15,3,1,1,2,8
"Badredine Bouanani","Nice","ALG","FW",NA,18,0,0,0,0,4
"Badredine Bouanani","Lorient","ALG","MF",NA,18,0,0,0,0,1
"Hicham Boudaoui","Nice","ALG","MF",NA,23,5,0,0,0,25
"Benjamin Bourigeaud","Rennes","FRA","MF","FW",29,1,0,0,0,16
"Bilal Boutobba","Clermont Foot","FRA","FW","MF",24,1,0,0,0,7
"Bilal Brahimi","Brest","ALG","FW","MF",23,1,1,0,1,3
"Lilian Brassier","Brest","FRA","DF",NA,23,11,1,1,2,34
"Maxime Busi","Reims","BEL","FW","DF",23,1,0,0,0,1
"Marcin Bułka","Nice","POL","GK",NA,23,2,0,0,0,0
"Rémy Cabella","Lille","FRA","FW","MF",33,0,0,0,0,16
"Duje Ćaleta-Car","Lyon","CRO","DF",NA,26,2,1,0,1,16
"Lamine Camara","Metz","SEN","MF",NA,19,3,0,0,0,45
"Mahdi Camara","Brest","FRA","MF",NA,25,7,0,0,0,37
"Mohamed Camara","Monaco","MLI","MF",NA,23,4,0,0,0,25
"Axel Camblan","Brest","FRA","FW",NA,19,2,0,0,0,3
"Fali Candé","Metz","GNB","DF",NA,25,4,0,0,0,14
"Maxence Caqueret","Lyon","FRA","MF",NA,23,1,0,0,0,34
