"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Brest",53,34,19,25,14,11,28,20,8,33,84,4,4,481,165,34.3,0.1,0.28,17.6,12,837,590,247,85,55,30
"Clermont Foot",26,60,-34,14,27,-13,12,33,-21,18,44,8,6,382,120,31.4,0.05,0.17,19,13,672,490,182,50,37,13
"Le Havre",34,45,-11,18,19,-1,16,26,-10,23,56,7,6,381,113,29.7,0.07,0.24,18.2,11,693,482,211,63,40,23
"Lens",45,37,8,27,18,9,18,19,-1,29,74,7,6,487,167,34.3,0.08,0.23,16.7,13,857,648,209,74,54,20
"Lille",52,34,18,34,14,20,18,20,-2,32,82,3,2,438,165,37.7,0.11,0.29,17.5,21,773,529,244,81,46,35
"Lorient",43,66,-23,26,30,-4,17,36,-19,27,68,1,1,368,135,36.7,0.11,0.3,17.7,6,641,473,168,63,46,17
"Lyon",49,55,-6,25,29,-4,24,26,-2,32,80,4,4,439,168,38.3,0.1,0.26,16.5,16,764,533,231,84,56,28
"Marseille",52,41,11,31,13,18,21,28,-7,32,82,4,4,477,152,31.9,0.1,0.3,17,20,851,626,225,88,66,22
"Metz",35,58,-23,17,27,-10,18,31,-13,25,60,6,4,326,106,32.5,0.1,0.29,18.8,11,570,372,198,60,41,19
"Monaco",68,42,26,30,14,16,38,28,10,45,111,5,2,512,202,39.5,0.13,0.32,17.3,11,884,650,234,107,81,26
"Montpellier",43,48,-5,20,23,-3,23,25,-2,26,67,7,7,437,153,35,0.08,0.22,19,23,748,503,245,66,44,22
"Nantes",30,55,-25,17,30,-13,13,25,-12,17,47,5,4,376,129,34.3,0.07,0.2,17.7,16,665,505,160,48,32,16
"Nice",40,29,11,21,11,10,19,18,1,23,62,7,6,452,149,33,0.07,0.22,17.2,12,791,571,220,69,48,21
"Paris S-G",81,33,48,42,22,20,39,11,28,61,139,9,7,504,187,37.1,0.14,0.38,17.3,14,943,743,200,145,114,31
"Reims",42,47,-5,19,18,1,23,29,-6,28,68,4,3,411,126,30.7,0.09,0.29,17,10,727,544,183,71,52,19
"Rennes",53,46,7,34,26,8,19,20,-1,29,82,11,10,476,157,33,0.09,0.27,18,18,864,605,259,94,58,36
"Strasbourg",38,50,-12,22,23,-1,16,27,-11,24,60,4,3,363,119,32.8,0.09,0.28,17.9,12,638,449,189,61,30,31
"Toulouse",42,46,-4,21,25,-4,21,21,0,30,72,9,6,395,128,32.4,0.09,0.28,17.4,11,694,475,219,76,55,21
