"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Brest",34,53,24,58,3,2,352,130,36.9,0.09,0.25,17.9,11,615,446,169,61,42,19
"Clermont Foot",60,26,38,97,9,7,530,204,38.5,0.1,0.25,17.5,13,940,715,225,102,78,24
"Le Havre",45,34,33,76,4,2,455,155,34.1,0.09,0.26,17.1,14,803,578,225,75,50,25
"Lens",37,45,24,60,8,6,387,131,33.9,0.08,0.23,17.7,13,679,471,208,64,42,22
"Lille",34,52,22,54,5,3,324,123,38,0.09,0.24,17.8,15,559,383,176,54,41,13
"Lorient",66,43,48,113,8,8,523,199,38,0.11,0.29,17.8,14,930,702,228,115,78,37
"Lyon",55,49,38,92,6,4,456,164,36,0.11,0.3,18.5,19,817,602,215,90,59,31
"Marseille",41,52,27,67,3,3,372,127,34.1,0.1,0.29,18,8,649,467,182,70,44,26
"Metz",58,35,38,96,6,6,512,182,35.5,0.1,0.29,17.9,19,943,722,221,95,64,31
"Monaco",42,68,26,66,6,5,387,145,37.5,0.09,0.24,17.6,15,687,484,203,74,51,23
"Montpellier",48,43,32,77,5,4,535,166,31,0.08,0.25,17.8,17,948,689,259,81,57,24
"Nantes",55,30,36,91,10,9,418,147,35.2,0.11,0.31,17.3,19,752,530,222,99,69,30
"Nice",29,40,17,45,8,5,357,97,27.2,0.06,0.24,18.9,8,638,468,170,47,34,13
"Paris S-G",33,81,23,56,5,4,408,142,34.8,0.07,0.2,17.4,10,704,486,218,59,39,20
"Reims",47,42,30,76,7,6,430,130,30.2,0.09,0.31,17.1,16,757,527,230,80,54,26
"Rennes",46,53,22,65,3,3,387,144,37.2,0.1,0.28,17,11,677,483,194,67,49,18
"Strasbourg",50,38,32,79,5,4,411,120,29.2,0.1,0.36,16.7,10,706,505,201,78,61,17
"Toulouse",46,42,24,70,4,4,461,135,29.3,0.09,0.31,17.5,18,808,530,278,74,43,31
