"Squad","Rank","Wins","Draws","Losses","Pts","Home_Wins","Away_Wins","Home_Draws","Away_Draws","Home_Losses","Away_Losses","Home_Pts","Away_Pts"
"Paris S-G",1,22,10,2,76,9,13,6,4,2,0,33,43
"Monaco",2,20,7,7,67,10,10,3,4,4,3,33,34
"Brest",3,17,10,7,61,8,9,7,3,2,5,31,30
"Lille",4,16,11,7,59,11,5,4,7,2,5,37,22
"Nice",5,15,10,9,55,9,6,4,6,4,5,31,24
"Lyon",6,16,5,13,53,7,9,4,1,6,7,25,28
"Lens",7,14,9,11,51,9,5,4,5,4,7,31,20
"Marseille",8,13,11,10,50,10,3,6,5,1,9,36,14
"Reims",9,13,8,13,47,8,5,3,5,6,7,27,20
"Rennes",10,12,10,12,46,7,5,4,6,6,6,25,21
"Toulouse",11,11,10,13,43,3,8,7,3,7,6,16,27
"Montpellier",12,10,12,12,41,3,7,9,3,5,7,18,24
"Strasbourg",13,10,9,15,39,7,3,3,6,7,8,24,15
"Nantes",14,9,6,19,33,3,6,3,3,11,8,12,21
"Le Havre",15,7,11,16,32,6,1,2,9,9,7,20,12
"Metz",16,8,5,21,29,3,5,3,2,11,10,12,17
"Lorient",17,7,8,19,29,4,3,4,4,9,10,16,13
"Clermont Foot",18,5,10,19,25,3,2,5,5,9,10,14,11
