"Squad","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Arsenal",88,5,1,6,421
"Aston Villa",70,1,1,2,451
"Bournemouth",78,3,2,5,369
"Brighton",59,2,1,3,386
"Burnley",67,0,0,0,412
"Chelsea",60,0,0,0,386
"Crystal Palace",62,2,0,2,424
"Everton",76,3,3,6,472
"Leicester City",43,3,1,4,418
"Liverpool",38,1,0,1,331
"Manchester City",64,4,2,6,362
"Manchester Utd",73,0,0,0,423
"Newcastle Utd",66,3,0,3,370
"Norwich City",68,3,0,3,363
"Sheffield Utd",63,2,1,3,412
"Southampton",55,4,1,5,450
"Tottenham",84,3,1,4,423
"Watford",80,3,2,5,481
"West Ham",64,1,1,2,387
"Wolves",61,2,2,4,407
