"Squad","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",759,1369,13968,17668,79.1,6592,7433,88.7,1506,2727,55.2,5474,6451,84.9,15826,1790,465,31,131,784,741,229,52,46.3,21798,613,363,59.2,249,40.6
"Aston Villa",838,1823,16142,20266,79.7,7760,8725,88.9,1661,2984,55.7,6185,7276,85,18345,1878,481,48,172,857,803,242,43,55.9,24385,597,374,62.6,223,37.4
"Bournemouth",743,1670,16667,21185,78.7,7405,8464,87.5,1705,3186,53.5,7039,8266,85.2,19272,1842,412,67,146,812,851,251,71,55.9,25513,567,360,63.5,207,36.5
"Brighton",773,1342,14322,18458,77.6,6790,7740,87.7,1527,2904,52.6,5484,6563,83.6,16526,1862,428,38,195,676,843,204,70,47.8,22698,642,397,61.8,245,38.2
"Burnley",857,1544,15824,20627,76.7,7570,8683,87.2,1544,3175,48.6,6129,7430,82.5,18589,1988,471,46,177,820,922,238,50,58.1,24517,585,345,59,240,41
"Chelsea",464,1151,12445,16600,75,5803,6816,85.1,1342,2751,48.8,4884,5932,82.3,14807,1750,428,36,134,518,766,133,43,39.6,21108,604,358,59.3,247,40.9
"Crystal Palace",769,1690,16178,20387,79.4,7477,8506,87.9,1703,2988,57,6428,7601,84.6,18460,1896,452,34,190,843,888,235,31,55.2,24860,711,395,55.6,316,44.4
"Everton",675,1405,14366,18648,77,6485,7476,86.7,1560,3010,51.8,5830,6928,84.2,16627,1943,497,54,173,655,897,182,78,51,22967,672,390,58,282,42
"Leicester City",653,1214,12319,16545,74.5,5972,6985,85.5,1439,2821,51,4442,5529,80.3,14485,1995,448,43,184,647,974,175,65,43,20944,725,427,58.9,298,41.1
"Liverpool",514,949,10923,15242,71.7,5234,6146,85.2,1253,2832,44.2,4041,5171,78.1,13360,1740,364,54,135,551,742,160,142,37.1,19713,589,371,63,217,36.8
"Manchester City",448,801,10925,14396,75.9,5103,5826,87.6,1215,2603,46.7,4277,5020,85.2,12728,1585,399,37,112,420,570,97,83,33.8,18612,605,375,62,230,38
"Manchester Utd",648,1204,13147,17274,76.1,6180,7080,87.3,1402,2837,49.4,5020,6073,82.7,15381,1826,451,35,162,692,775,186,67,44.2,21522,634,380,59.9,254,40.1
"Newcastle Utd",808,1882,19474,23531,82.8,8883,9936,89.4,1849,3083,60,8230,9358,87.9,21702,1777,417,51,179,868,820,252,52,61,27554,632,359,56.8,273,43.2
"Norwich City",846,1793,15431,19565,78.9,6951,7961,87.3,1749,3018,58,6154,7294,84.4,17728,1798,384,26,157,893,846,266,39,50.7,23793,700,433,61.9,267,38.1
"Sheffield Utd",840,1420,17999,22602,79.6,8160,9268,88,1854,3409,54.4,7419,8694,85.3,20552,1993,455,48,210,761,946,218,57,56.9,26644,647,385,59.5,261,40.3
"Southampton",644,1453,13419,18481,72.6,5891,7104,82.9,1529,3057,50,5607,7101,79,16297,2115,481,37,130,737,1032,222,69,51.1,22982,794,469,59.1,324,40.8
"Tottenham",715,1554,14672,18848,77.8,6771,7728,87.6,1621,2954,54.9,5788,6945,83.3,17045,1749,456,49,171,740,740,207,54,48,23303,681,428,62.8,253,37.2
"Watford",844,1654,17002,21471,79.2,7916,9018,87.8,1603,3020,53.1,6938,8154,85.1,19570,1820,508,48,170,746,763,201,81,57.1,25766,715,446,62.4,266,37.2
"West Ham",855,1724,17330,21591,80.3,8104,9093,89.1,1603,2924,54.8,7074,8231,85.9,19739,1753,427,60,140,770,768,219,99,55.9,25818,745,445,59.7,300,40.3
"Wolves",702,1411,15811,19951,79.2,7591,8577,88.5,1485,2879,51.6,6174,7252,85.1,18133,1777,441,28,131,664,834,148,41,51.7,24140,685,404,59,281,41
