"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",48,56,30,78,8,7,545,185,33.9,0.08,0.22,18.2,19,962,690,272,86,56,30
"Aston Villa",67,41,44,110,6,5,602,176,29.2,0.1,0.35,16.8,21,1072,790,282,107,74,33
"Bournemouth",65,40,45,110,6,5,552,186,33.7,0.11,0.32,17.9,16,976,764,212,108,77,31
"Brighton",54,39,42,94,2,2,496,166,33.5,0.1,0.3,16.3,20,874,632,242,92,70,22
"Burnley",50,43,38,87,5,4,534,162,30.3,0.08,0.28,18.3,22,951,713,238,80,55,25
"Chelsea",54,69,36,87,2,2,320,113,35.3,0.15,0.43,16.5,15,553,372,181,89,62,27
"Crystal Palace",50,31,36,84,1,0,511,172,33.7,0.09,0.28,17.1,25,888,629,259,82,64,18
"Everton",56,44,39,92,4,3,423,144,34,0.12,0.35,17.1,23,770,549,221,95,61,34
"Leicester City",41,67,26,65,10,8,368,125,34,0.08,0.25,17.5,21,671,476,195,68,48,20
"Liverpool",33,85,23,55,1,1,340,106,31.2,0.09,0.29,17.2,5,586,430,156,51,35,16
"Manchester City",35,102,25,59,3,3,277,107,38.6,0.11,0.29,16.6,18,491,339,152,59,37,22
"Manchester Utd",36,66,24,59,3,3,387,128,33.1,0.08,0.25,17.8,23,680,481,199,56,37,19
"Newcastle Utd",58,38,38,94,2,2,564,193,34.2,0.1,0.28,16.5,20,1023,749,274,97,72,25
"Norwich City",75,26,50,122,7,4,600,203,33.8,0.11,0.33,16.6,19,1074,768,306,121,79,42
"Sheffield Utd",39,39,28,67,3,1,428,137,32,0.09,0.28,17.6,24,768,559,209,67,51,16
"Southampton",60,51,41,100,4,3,448,164,36.6,0.13,0.34,16.6,13,769,546,223,107,75,32
"Tottenham",47,61,27,72,7,5,532,174,32.7,0.08,0.23,17.5,23,956,659,297,74,45,29
"Watford",64,36,37,98,9,8,487,169,34.7,0.11,0.31,17.9,28,885,635,250,106,64,42
"West Ham",62,49,49,108,6,5,495,181,36.6,0.11,0.3,16.4,13,885,657,228,106,78,28
"Wolves",40,51,28,67,3,1,396,126,31.8,0.1,0.3,17.3,12,694,487,207,66,44,22
