"Player","Squad","Nation","Pos","Pos2","Age","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Aaron Connolly","Brighton","IRL","FW",NA,20,1,3,0,0,23,8,34.8,0.09,0.25,14,0,15,10,5,1,1,0
"Aaron Cresswell","West Ham","ENG","DF",NA,30,8,8,0,0,19,4,21.1,0,0,25.4,11,103,51,52,14,6,8
"Aaron Ramsdale","Sheffield Utd","ENG","GK",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,8,6,2,0,0,0
"Aaron Wan-Bissaka","Manchester Utd","ENG","DF",NA,22,4,6,0,0,7,4,57.1,0.29,0.5,15.2,0,57,54,3,8,8,0
"Abdoulaye Doucouré","Everton","MLI","MF",NA,27,3,5,0,0,18,5,27.8,0.11,0.4,17.4,0,50,42,8,7,7,0
"Aboubakar Kamara","Fulham","MTN","FW","MF",25,0,0,0,0,4,2,50,0,0,20.4,0,9,7,2,0,0,0
"Adam Lallana","Brighton","ENG","MF","FW",32,1,2,0,0,22,5,22.7,0.05,0.2,17.3,0,56,50,6,4,4,0
"Adam Webster","Brighton","ENG","DF",NA,25,0,1,0,0,25,7,28,0.04,0.14,13.8,0,28,24,4,1,1,0
"Adama Traoré","Wolves","ESP","FW","MF",24,2,4,0,0,43,13,30.2,0.05,0.15,19.7,0,115,74,41,5,3,2
"Ademola Lookman","Fulham","NGA","FW","MF",22,4,8,1,0,68,22,32.4,0.06,0.18,17.8,4,127,82,45,9,5,4
"Adrián","Liverpool","ESP","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Ahmed Elmohamady","Aston Villa","EGY","DF",NA,32,0,0,0,0,9,1,11.1,0,0,11.9,0,27,22,5,1,0,1
"Ahmed Hegazi","West Brom","EGY","DF",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Ainsley Maitland-Niles","West Brom","ENG","MF",NA,22,0,0,0,0,2,1,50,0,0,20.9,0,22,19,3,2,1,1
"Ainsley Maitland-Niles","West Brom","ENG","MF",NA,22,0,0,0,0,2,1,50,0,0,20.9,0,11,6,5,2,0,2
"Ainsley Maitland-Niles","West Brom","ENG","MF",NA,22,0,0,0,0,10,3,30,0,0,23.1,0,22,19,3,2,1,1
"Ainsley Maitland-Niles","West Brom","ENG","MF",NA,22,0,0,0,0,10,3,30,0,0,23.1,0,11,6,5,2,0,2
"Ainsley Maitland-Niles","Arsenal","ENG","MF","DF",22,0,0,0,0,2,1,50,0,0,20.9,0,22,19,3,2,1,1
"Ainsley Maitland-Niles","Arsenal","ENG","MF","DF",22,0,0,0,0,2,1,50,0,0,20.9,0,11,6,5,2,0,2
"Ainsley Maitland-Niles","Arsenal","ENG","MF","DF",22,0,0,0,0,10,3,30,0,0,23.1,0,22,19,3,2,1,1
"Ainsley Maitland-Niles","Arsenal","ENG","MF","DF",22,0,0,0,0,10,3,30,0,0,23.1,0,11,6,5,2,0,2
"Aleksandar Mitrović","Fulham","SRB","FW",NA,25,3,6,2,1,57,19,33.3,0.04,0.11,15.8,2,44,34,10,5,3,2
"Alex Iwobi","Everton","NGA","FW","MF",24,2,3,0,0,15,3,20,0.07,0.33,18.7,0,45,38,7,5,4,1
"Alex McCarthy","Southampton","ENG","GK",NA,30,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,3,0,0,0,0
"Alex Oxlade-Chamberlain","Liverpool","ENG","MF","FW",26,1,2,0,0,8,4,50,0.13,0.25,21.8,0,6,6,0,1,1,0
"Alex Telles","Manchester Utd","BRA","DF",NA,27,2,2,0,0,5,1,20,0,0,22.3,0,24,10,14,3,2,1
"Alexandre Jankewitz","Southampton","SUI","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Alexandre Lacazette","Arsenal","FRA","FW",NA,29,2,15,3,3,42,25,59.5,0.24,0.4,14.9,3,55,35,20,5,4,1
"Alexis Mac Allister","Brighton","ARG","MF","FW",21,1,2,0,0,24,3,12.5,0.04,0.33,22.5,1,34,29,5,2,2,0
"Alireza Jahanbakhsh","Brighton","IRN","FW","MF",26,1,1,0,0,18,3,16.7,0,0,18.1,0,21,16,5,1,1,0
"Alisson","Liverpool","BRA","GK",NA,27,0,1,0,0,1,1,100,1,1,8.4,0,5,4,1,0,0,0
"Allan","Everton","BRA","MF",NA,29,0,0,0,0,7,2,28.6,0,0,22.4,0,39,33,6,2,2,0
"Allan Saint-Maximin","Newcastle Utd","FRA","FW","MF",23,4,7,0,0,30,12,40,0.1,0.25,20.8,0,69,44,25,10,7,3
"Allan Tchaptchet","Southampton","FRA","DF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Alphonse Areola","Fulham","FRA","GK",NA,27,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0
"Amad Diallo","Manchester Utd","CIV","FW",NA,18,1,1,0,0,1,1,100,0,0,25.7,0,3,3,0,1,1,0
"Andi Zeqiri","Brighton","SUI","FW","DF",21,0,0,0,0,7,2,28.6,0,0,13.6,0,4,3,1,1,1,0
"André Gomes","Everton","POR","MF",NA,27,1,1,0,0,14,3,21.4,0,0,26.7,0,42,37,5,3,3,0
"Andre-Frank Zambo Anguissa","Fulham","CMR","MF",NA,24,3,3,0,0,34,8,23.5,0,0,21.6,0,63,49,14,6,4,2
"Andreas Christensen","Chelsea","DEN","DF",NA,24,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,13,12,1,1,1,0
"Andrew Robertson","Liverpool","SCO","DF",NA,26,7,8,0,0,19,5,26.3,0.05,0.2,17.4,0,123,94,29,15,11,4
"Andriy Yarmolenko","West Ham","UKR","FW","MF",30,1,1,0,0,7,2,28.6,0,0,20.3,0,14,10,4,2,2,0
"Andros Townsend","Crystal Palace","ENG","MF","FW",29,5,6,0,0,36,11,30.6,0.03,0.09,22.6,4,76,42,34,9,7,2
"Andy Carroll","Newcastle Utd","ENG","FW",NA,31,0,1,0,0,14,2,14.3,0.07,0.5,14.3,0,10,6,4,1,1,0
"Angelo Ogbonna","West Ham","ITA","DF",NA,32,0,3,0,0,13,4,30.8,0.23,0.75,7.3,0,12,9,3,1,1,0
"Anthony Elanga","Manchester Utd","SWE","FW",NA,18,0,1,0,0,2,1,50,0.5,1,11.9,0,2,1,1,0,0,0
"Anthony Gordon","Everton","ENG","FW","MF",19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Anthony Martial","Manchester Utd","FRA","FW",NA,24,3,7,0,0,43,20,46.5,0.09,0.2,14,0,48,31,17,9,2,7
"Antonee Robinson","Fulham","USA","DF",NA,22,0,0,0,0,10,4,40,0,0,20,0,60,51,9,2,2,0
"Antonio Rüdiger","Chelsea","GER","DF",NA,27,0,1,0,0,14,6,42.9,0.07,0.17,18.3,0,18,18,0,1,1,0
"Antwoine Hackford","Sheffield Utd","ENG","DF",NA,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Anwar El Ghazi","Aston Villa","NED","FW",NA,25,0,10,4,4,60,26,43.3,0.1,0.23,21.7,6,65,37,28,2,1,1
"Arthur Masuaku","West Ham","COD","DF","MF",26,2,2,0,0,6,2,33.3,0,0,21.1,0,33,25,8,4,4,0
"Ashley Barnes","Burnley","ENG","FW",NA,30,0,3,1,1,37,12,32.4,0.05,0.17,16.8,0,41,28,13,2,0,2
"Ashley Westwood","Burnley","ENG","MF",NA,30,3,6,0,0,20,7,35,0.15,0.43,23.5,1,106,75,31,5,3,2
"Axel Tuanzebe","Manchester Utd","COD","DF",NA,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Aymeric Laporte","Manchester City","ESP","DF",NA,26,0,0,0,0,6,1,16.7,0,0,13.1,0,11,11,0,1,1,0
"Ayoze Pérez","Leicester City","ESP","MF","FW",27,1,3,0,0,31,13,41.9,0.06,0.15,17.1,1,51,35,16,4,4,0
"Bailey Peacock-Farrell","Burnley","NIR","GK",NA,23,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0
"Ben Chilwell","Chelsea","ENG","DF",NA,23,5,8,0,0,27,10,37,0.11,0.3,14.4,0,66,44,22,10,9,1
"Ben Davies","Tottenham","WAL","DF",NA,27,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,18,12,6,4,2,2
"Ben Godfrey","Everton","ENG","DF",NA,22,2,2,0,0,14,2,14.3,0,0,16.1,0,12,7,5,2,1,1
"Ben Johnson","West Ham","ENG","DF","FW",20,0,1,0,0,3,1,33.3,0.33,1,22.5,0,7,7,0,0,0,0
"Ben Mee","Burnley","ENG","DF",NA,30,0,2,0,0,22,6,27.3,0.09,0.33,10.6,0,13,8,5,1,1,0
"Ben Osborn","Sheffield Utd","ENG","MF","DF",25,0,1,0,0,9,4,44.4,0.11,0.25,18.4,0,34,30,4,0,0,0
"Ben White","Brighton","ENG","DF","MF",22,0,0,0,0,10,1,10,0,0,16.8,0,32,27,5,4,4,0
"Benjamin Mendy","Manchester City","FRA","DF",NA,26,1,3,0,0,6,2,33.3,0.33,1,17.2,0,19,14,5,2,1,1
"Bernard","Everton","BRA","MF","FW",27,0,1,0,0,6,2,33.3,0.17,0.5,22.5,0,22,19,3,2,2,0
"Bernardo","Brighton","BRA","DF","MF",25,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,2,3,0,0,0
"Bernardo Silva","Manchester City","POR","MF","FW",25,6,8,0,0,28,13,46.4,0.07,0.15,14.9,0,84,69,15,12,11,1
"Bernd Leno","Arsenal","GER","GK",NA,28,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Bertrand Traoré","Aston Villa","BFA","FW",NA,24,6,13,0,0,64,23,35.9,0.11,0.3,16.7,2,83,43,40,9,6,3
"Billy Gilmour","Chelsea","SCO","MF",NA,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,0
"Billy Sharp","Sheffield Utd","ENG","FW",NA,34,0,3,2,2,7,4,57.1,0.14,0.25,16.5,0,6,6,0,0,0,0
"Bobby Reid","Fulham","JAM","MF","FW",27,2,7,0,0,34,8,23.5,0.15,0.63,16.9,1,42,29,13,5,4,1
"Brandon Williams","Manchester Utd","ENG","DF",NA,19,0,0,0,0,1,1,100,0,0,11.8,0,2,1,1,0,0,0
"Branislav Ivanović","West Brom","SRB","DF",NA,36,0,0,0,0,4,1,25,0,0,7.7,0,3,2,1,0,0,0
"Bruno Fernandes","Manchester Utd","POR","MF",NA,25,12,30,10,9,111,40,36,0.08,0.23,22.9,16,184,136,48,25,22,3
"Bukayo Saka","Arsenal","ENG","FW","MF",18,3,8,0,0,61,20,32.8,0.08,0.25,16.1,1,108,71,37,12,9,3
"Çağlar Söyüncü","Leicester City","TUR","DF",NA,24,0,1,0,0,10,3,30,0.1,0.33,10.4,0,11,7,4,0,0,0
"Caleb Watts","Southampton","AUS","MF",NA,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0
"Callum Hudson-Odoi","Chelsea","ENG","FW","DF",19,3,5,0,0,23,6,26.1,0.09,0.33,19.3,0,63,60,3,9,8,1
"Callum Robinson","West Brom","IRL","FW","MF",25,0,5,0,0,31,11,35.5,0.16,0.45,19.8,0,46,33,13,4,1,3
"Callum Wilson","Newcastle Utd","ENG","FW",NA,28,5,17,4,4,45,16,35.6,0.18,0.5,13.4,0,51,30,21,11,5,6
"Calum Chambers","Arsenal","ENG","DF",NA,25,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,17,16,1,2,2,0
"Caoimhín Kelleher","Liverpool","IRL","GK",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Carlos Vinícius","Tottenham","BRA","FW",NA,25,0,1,0,0,7,4,57.1,0.14,0.25,12.1,0,5,4,1,0,0,0
"Carney Chukwuemeka","Aston Villa","ENG","MF","FW",16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Cédric Soares","Arsenal","POR","DF",NA,28,1,1,0,0,7,2,28.6,0,0,25.2,1,15,10,5,2,2,0
"Cengiz Ünder","Leicester City","TUR","FW","MF",23,2,2,0,0,9,1,11.1,0,0,23.3,0,15,11,4,2,2,0
"Cenk Tosun","Everton","TUR","FW",NA,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,1,1,0
"César Azpilicueta","Chelsea","ESP","DF",NA,30,2,3,0,0,11,4,36.4,0.09,0.25,16.9,0,50,45,5,6,5,1
"Charlie Austin","West Brom","ENG","FW","MF",31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
"Charlie Taylor","Burnley","ENG","DF",NA,26,1,1,0,0,3,2,66.7,0,0,23.6,0,31,21,10,3,2,1
"Che Adams","Southampton","SCO","FW",NA,24,5,14,0,0,55,31,56.4,0.16,0.29,13.8,0,68,50,18,7,6,1
"Cheikhou Kouyaté","Crystal Palace","SEN","DF",NA,30,0,1,0,0,7,2,28.6,0.14,0.5,11.2,0,15,13,2,2,2,0
"Chris Basham","Sheffield Utd","ENG","DF","MF",32,1,1,0,0,10,1,10,0,0,13.3,0,25,19,6,2,0,2
"Chris Wood","Burnley","NZL","FW",NA,28,3,15,2,2,68,37,54.4,0.15,0.27,14.1,0,60,50,10,10,6,4
"Christian Benteke","Crystal Palace","BEL","FW",NA,29,1,11,0,0,71,33,46.5,0.14,0.3,12.5,0,40,31,9,4,2,2
"Christian Fuchs","Leicester City","AUT","DF",NA,34,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,4,0,0,0,0
"Christian Pulisic","Chelsea","USA","FW","MF",21,2,6,0,0,43,16,37.2,0.09,0.25,14.5,0,69,53,16,8,7,1
"Ciaran Clark","Newcastle Utd","IRL","DF",NA,30,0,1,0,0,8,2,25,0.13,0.5,11.1,0,7,6,1,1,1,0
"Conor Coady","Wolves","ENG","DF",NA,27,0,1,0,0,7,2,28.6,0.14,0.5,11.6,0,13,12,1,1,1,0
"Conor Gallagher","West Brom","ENG","MF",NA,20,2,4,0,0,29,7,24.1,0.07,0.29,22,0,46,29,17,2,1,1
"Conor Hourihane","Aston Villa","IRL","MF",NA,29,1,2,0,0,5,2,40,0.2,0.5,22.7,2,8,4,4,1,0,1
"Conor Townsend","West Brom","ENG","DF",NA,27,2,2,0,0,11,4,36.4,0,0,17.4,2,46,36,10,4,4,0
"Craig Dawson","West Ham","ENG","DF",NA,30,0,3,0,0,16,5,31.3,0.19,0.6,10.1,0,7,4,3,0,0,0
"Curtis Jones","Liverpool","ENG","MF",NA,19,2,3,0,0,19,9,47.4,0.05,0.11,19.4,0,40,33,7,4,4,0
"Dale Stephens","Burnley","ENG","MF",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,3,1,0,0,0
"Dan Burn","Brighton","ENG","DF",NA,28,0,1,0,0,17,6,35.3,0.06,0.17,14.4,0,25,24,1,2,1,1
"Dan Nlundulu","Southampton","ENG","FW","MF",21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0,0,0
"Dane Scarlett","Tottenham","ENG","FW",NA,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"Dani Ceballos","Arsenal","ESP","MF",NA,23,3,3,0,0,13,2,15.4,0,0,21.7,1,68,60,8,5,4,1
"Daniel Amartey","Leicester City","GHA","DF",NA,25,0,1,0,0,3,1,33.3,0.33,1,10.6,0,5,5,0,0,0,0
"Daniel James","Manchester Utd","WAL","FW",NA,22,1,4,0,0,17,6,35.3,0.18,0.5,17.2,0,17,15,2,2,2,0
"Daniel Jebbison","Sheffield Utd","ENG","FW",NA,16,0,1,0,0,4,2,50,0.25,0.5,11.7,0,3,1,2,0,0,0
"Daniel Podence","Wolves","POR","MF","FW",24,2,5,0,0,32,14,43.8,0.09,0.21,17.5,0,60,42,18,6,2,4
"Danny Ings","Southampton","ENG","FW",NA,28,4,16,2,2,55,24,43.6,0.18,0.42,15.9,0,59,44,15,8,4,4
"Danny Welbeck","Brighton","ENG","FW",NA,29,1,7,1,0,34,15,44.1,0.18,0.4,13.1,0,53,35,18,5,2,3
"Dara O'Shea","West Brom","IRL","DF",NA,21,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,16,11,5,2,1,1
"Darnell Furlong","West Brom","ENG","DF",NA,24,3,4,0,0,26,5,19.2,0.04,0.2,13.8,0,34,21,13,3,3,0
"Darren Randolph","West Ham","IRL","GK",NA,33,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
"David Button","West Brom","ENG","GK",NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
