"Squad","Total_Goals_Scored","Total_Goals_Conceded","Goal_Difference","Home_Goals_Scored","Home_Goals_Conceded","Home_Goal_Difference","Away_Goals_Scored","Away_Goals_Conceded","Away_Goal_Difference","Assists","Goals+Assists","Penalty_Attempted","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Arsenal",55,39,16,24,21,3,31,18,13,38,91,6,6,453,140,30.9,0.1,0.34,17.7,23,813,623,190,95,69,26
"Aston Villa",55,46,9,29,27,2,26,19,7,38,90,6,5,514,178,34.6,0.09,0.26,17.3,16,940,670,270,94,66,28
"Brighton",40,46,-6,22,22,0,18,24,-6,24,63,9,6,478,134,28,0.07,0.25,17.4,15,847,628,219,63,47,16
"Burnley",33,55,-22,14,27,-13,19,28,-9,20,52,3,3,381,124,32.5,0.08,0.23,17.4,15,666,471,195,52,32,20
"Chelsea",58,36,22,31,18,13,27,18,9,38,94,10,8,546,193,35.3,0.09,0.25,17.1,16,1018,790,228,95,69,26
"Crystal Palace",41,66,-25,20,32,-12,21,34,-13,29,68,4,3,345,127,36.8,0.1,0.28,17.6,18,618,433,185,70,49,21
"Everton",47,48,-1,24,28,-4,23,20,3,32,77,5,4,395,143,36.2,0.1,0.29,17.2,15,710,514,196,80,54,26
"Fulham",27,53,-26,9,28,-19,18,25,-7,18,44,6,3,436,125,28.7,0.05,0.18,18.3,12,785,579,206,47,33,14
"Leeds United",62,54,8,28,21,7,34,33,1,45,105,4,4,518,193,37.3,0.11,0.29,16.9,9,924,701,223,108,81,27
"Leicester City",68,50,18,34,30,4,34,20,14,45,109,12,10,473,170,35.9,0.11,0.32,18.6,20,863,635,228,114,85,29
"Liverpool",68,42,26,29,20,9,39,22,17,43,108,6,6,602,204,33.9,0.1,0.29,17.1,22,1068,818,250,110,77,33
"Manchester City",83,32,51,43,17,26,40,15,25,55,137,9,5,590,211,35.8,0.13,0.36,17.2,21,1067,801,266,141,100,41
"Manchester Utd",73,44,29,38,28,10,35,16,19,51,121,11,10,515,196,38.1,0.12,0.31,18.1,21,953,720,233,127,94,33
"Newcastle Utd",46,62,-16,26,33,-7,20,29,-9,26,70,7,6,390,130,33.3,0.1,0.29,18.3,25,688,454,234,75,46,29
"Sheffield Utd",20,63,-43,12,27,-15,8,36,-28,13,32,4,3,319,92,28.8,0.05,0.17,17.7,5,567,435,132,27,16,11
"Southampton",47,68,-21,28,25,3,19,43,-24,33,80,6,5,418,157,37.6,0.1,0.27,18.6,20,728,513,215,83,49,34
"Tottenham",68,45,23,35,20,15,33,25,8,50,116,5,5,438,167,38.1,0.14,0.37,18,35,786,553,233,120,86,34
"West Brom",35,76,-41,15,39,-24,20,37,-17,20,53,4,4,335,106,31.6,0.09,0.27,18.4,16,568,407,161,53,40,13
"West Ham",62,47,15,32,22,10,30,25,5,46,106,4,2,464,158,34.1,0.13,0.37,16.1,17,823,576,247,106,73,33
"Wolves",36,52,-16,21,25,-4,15,27,-12,21,55,4,4,459,149,32.5,0.07,0.2,18.5,18,821,572,249,63,39,24
