"Squad","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",55,93,66.4,12,31.6,0,0
"Aston Villa",55,131,72.7,8,21.1,0,0
"Brighton",40,101,75.7,12,31.6,0,0
"Burnley",33,95,76.4,17,44.7,0,0
"Chelsea",58,145,75.4,10,26.3,2,20
"Crystal Palace",41,91,71,14,36.8,1,25
"Everton",47,102,70.9,10,26.3,1,20
"Fulham",27,102,81.4,18,47.4,1,25
"Leeds United",62,136,70.6,10,26.3,0,0
"Leicester City",68,116,68.1,6,15.8,2,16.7
"Liverpool",68,145,70.5,8,21.1,0,0
"Manchester City",83,127,64.1,3,7.9,1,16.7
"Manchester Utd",73,135,69.6,8,21.1,1,9.1
"Newcastle Utd",46,92,70.8,12,31.6,1,14.3
"Sheffield Utd",20,76,82.3,21,55.3,1,25
"Southampton",47,115,74.2,13,34.2,1,16.7
"Tottenham",68,106,63.4,6,15.8,0,0
"West Brom",35,77,71.8,16,42.1,0,0
"West Ham",62,100,62.7,7,18.4,1,33.3
"Wolves",36,119,79.1,13,34.2,0,0
