"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Aaron Connolly","Brighton","IRL","FW","MF",21,3,1,7,14,19,73.7,8,8,100,0,1,0,5,5,100,1,0,0,18,1,0,0,0,0,0,0,0,33,2,0,0,2,100
"Aaron Cresswell","West Ham","ENG","DF",NA,31,54,186,99,1656,2096,79,837,912,91.8,134,318,42.1,650,755,86.1,31,19,12,1736,350,67,0,6,145,232,51,10,2312,17,8,47.1,9,52.9
"Aaron Lennon","Burnley","ENG","MF","FW",34,38,19,77,252,382,66,156,197,79.2,10,28,35.7,65,102,63.7,9,4,2,370,9,1,0,1,40,3,2,3,542,30,13,43.3,17,56.7
"Aaron Ramsdale","Arsenal","ENG","GK",NA,23,0,1,0,795,1178,67.5,196,199,98.5,203,566,35.9,394,404,97.5,0,0,0,913,261,78,0,4,0,2,0,4,1258,1,1,100,0,0
"Aaron Wan-Bissaka","Manchester Utd","ENG","DF",NA,23,55,61,90,925,1141,81.1,598,657,91,36,67,53.7,255,307,83.1,14,12,8,968,171,4,0,6,35,167,0,2,1365,61,36,59,25,41
"Abdoulaye Doucouré","Everton","MLI","MF",NA,28,33,113,54,864,1097,78.8,490,581,84.3,45,72,62.5,296,351,84.3,19,19,0,1078,17,11,3,3,11,1,0,2,1390,41,21,51.2,20,48.8
"Adam Armstrong","Southampton","ENG","FW",NA,24,39,30,105,229,324,70.7,111,142,78.2,12,22,54.5,93,126,73.8,13,13,0,283,40,0,4,1,18,2,0,1,493,42,16,38.1,26,61.9
"Adam Forshaw","Leeds United","ENG","MF",NA,29,19,80,26,695,842,82.5,342,389,87.9,73,103,70.9,253,290,87.2,13,8,0,805,31,25,6,6,5,5,0,6,995,19,12,63.2,7,36.8
"Adam Idah","Norwich City","IRL","FW","MF",20,11,10,48,95,150,63.3,53,68,77.9,5,10,50,32,46,69.6,5,5,2,143,5,0,0,1,13,3,0,2,232,20,12,60,8,40
"Adam Lallana","Brighton","ENG","MF",NA,33,17,76,47,836,962,86.9,502,552,90.9,28,53,52.8,265,288,92,8,17,1,949,12,9,1,2,3,1,0,1,1123,23,14,60.9,9,39.1
"Adam Masina","Watford","MAR","DF",NA,27,9,37,12,375,549,68.3,147,183,80.3,47,121,38.8,178,230,77.4,7,7,6,437,111,11,0,7,30,96,4,1,680,11,9,81.8,2,18.2
"Adam Webster","Brighton","ENG","DF",NA,26,19,109,7,950,1176,80.8,308,351,87.7,103,188,54.8,512,587,87.2,1,1,0,1136,39,22,3,16,6,17,0,1,1323,12,10,83.3,2,16.7
