"Player","Squad","Nation","Pos","Pos2","Age","Yellow_Card","Red_Card","Second_Yellow_Card","Total_Red_Cards","Fouls"
"Max Aarons","Norwich City","ENG","DF",NA,21,8,0,0,0,27
"Che Adams","Southampton","SCO","FW",NA,25,0,0,0,0,29
"Rayan Aït-Nouri","Wolves","ALG","DF","MF",20,4,0,0,0,14
"Kristoffer Ajer","Brentford","NOR","DF",NA,23,5,0,0,0,12
"Nathan Aké","Manchester City","NED","DF",NA,26,0,0,0,0,9
"Marc Albrighton","Leicester City","ENG","FW","DF",31,3,0,0,0,6
"Thiago Alcántara","Liverpool","ESP","MF",NA,30,2,0,0,0,19
"Trent Alexander-Arnold","Liverpool","ENG","DF",NA,22,2,0,0,0,12
"Alisson","Liverpool","BRA","GK",NA,28,0,0,0,0,0
"Allan","Everton","BRA","MF",NA,30,7,1,0,1,30
"Dele Alli","Tottenham","ENG","MF",NA,25,1,0,0,0,12
"Dele Alli","Everton","ENG","MF","FW",25,3,0,0,0,9
"Miguel Almirón","Newcastle Utd","PAR","MF","FW",27,2,0,0,0,17
"Marcos Alonso","Chelsea","ESP","DF",NA,30,8,0,0,0,25
"Steven Alzate","Brighton","COL","MF",NA,22,0,0,0,0,6
"Daniel Amartey","Leicester City","GHA","DF",NA,26,4,0,0,0,14
"Joachim Andersen","Crystal Palace","DEN","DF",NA,25,4,0,0,0,19
"Michail Antonio","West Ham","JAM","FW",NA,31,8,1,1,2,50
"Cameron Archer","Aston Villa","ENG","FW","MF",20,0,0,0,0,3
"Adam Armstrong","Southampton","ENG","FW",NA,24,1,0,0,0,13
"Stuart Armstrong","Southampton","SCO","MF",NA,29,1,0,0,0,11
"Kepa Arrizabalaga","Chelsea","ESP","GK",NA,26,0,0,0,0,0
"Pierre-Emerick Aubameyang","Arsenal","GAB","FW",NA,32,3,0,0,0,15
"Jordan Ayew","Crystal Palace","GHA","FW",NA,29,2,0,0,0,38
"Luke Ayling","Leeds United","ENG","DF",NA,29,4,1,0,1,22
"César Azpilicueta","Chelsea","ESP","DF",NA,31,3,0,0,0,25
"Daniel Bachmann","Watford","AUT","GK",NA,27,0,0,0,0,1
"Leon Bailey","Aston Villa","JAM","FW","MF",23,3,0,0,0,12
"Eric Bailly","Manchester Utd","CIV","DF",NA,27,1,0,0,0,2
"Folarin Balogun","Arsenal","USA","FW",NA,20,0,0,0,0,0
"Patrick Bamford","Leeds United","ENG","FW",NA,27,2,0,0,0,5
"Shandon Baptiste","Brentford","GRN","MF",NA,23,2,1,1,2,6
"Ross Barkley","Chelsea","ENG","MF","FW",27,0,0,0,0,2
"Ashley Barnes","Burnley","ENG","FW",NA,31,4,0,0,0,21
"Harvey Barnes","Leicester City","ENG","FW","MF",23,2,0,0,0,19
"Lewis Bate","Leeds United","ENG","MF",NA,18,0,0,0,0,3
"Mads Bech Sørensen","Brentford","DEN","DF",NA,22,3,0,0,0,8
"Jan Bednarek","Southampton","POL","DF",NA,25,10,0,0,0,30
"Donny van de Beek","Manchester Utd","NED","MF",NA,24,0,0,0,0,2
"Donny van de Beek","Everton","NED","MF",NA,24,1,0,0,0,7
"Asmir Begović","Everton","BIH","GK",NA,34,0,0,0,0,0
"Saïd Benrahma","West Ham","ALG","FW","MF",25,0,0,0,0,9
"Rodrigo Bentancur","Tottenham","URU","MF",NA,24,5,0,0,0,22
"Christian Benteke","Crystal Palace","BEL","FW",NA,30,3,0,0,0,16
"Jóhann Berg Guðmundsson","Burnley","ISL","MF",NA,30,2,0,0,0,16
"Steven Bergwijn","Tottenham","NED","FW","MF",23,1,0,0,0,9
"Ryan Bertrand","Leicester City","ENG","DF",NA,31,1,0,0,0,3
"Yves Bissouma","Brighton","MLI","MF",NA,24,10,0,0,0,30
"Willy Boly","Wolves","CIV","DF",NA,30,1,0,0,0,7
"Jarrod Bowen","West Ham","ENG","FW",NA,24,6,0,0,0,25
"Jarrad Branthwaite","Everton","ENG","DF",NA,19,0,1,0,1,3
"Armando Broja","Southampton","ALB","FW",NA,19,2,0,0,0,29
"Josh Brownhill","Burnley","ENG","MF",NA,25,10,0,0,0,39
"Lewis Brunt","Leicester City","ENG","MF",NA,20,0,0,0,0,0
"Emi Buendía","Aston Villa","ARG","MF","FW",24,1,0,0,0,17
"Dan Burn","Newcastle Utd","ENG","DF",NA,29,4,0,0,0,11
"Dan Burn","Brighton","ENG","DF",NA,29,4,0,0,0,15
"Jack Butland","Crystal Palace","ENG","GK",NA,28,0,0,0,0,0
"Sam Byram","Norwich City","ENG","DF",NA,27,3,0,0,0,12
"Willy Caballero","Southampton","ARG","GK",NA,39,1,0,0,0,0
"Moisés Caicedo","Brighton","ECU","MF",NA,19,2,0,0,0,7
"Dominic Calvert-Lewin","Everton","ENG","FW",NA,24,2,0,0,0,17
"Chem Campbell","Wolves","WAL","MF",NA,18,0,0,0,0,0
"João Cancelo","Manchester City","POR","DF",NA,27,7,0,0,0,34
"Sergi Canós","Brentford","ESP","DF","FW",24,8,1,1,2,28
"Todd Cantwell","Norwich City","ENG","FW","MF",23,2,0,0,0,4
"Matty Cash","Aston Villa","POL","DF",NA,23,8,0,0,0,38
"Timothy Castagne","Leicester City","BEL","DF",NA,25,1,0,0,0,15
"Jonny Castro","Wolves","ESP","DF",NA,27,1,0,0,0,10
"Craig Cathcart","Watford","NIR","DF",NA,32,3,0,0,0,13
"Edinson Cavani","Manchester Utd","URU","FW",NA,34,0,0,0,0,7
"Trevoh Chalobah","Chelsea","ENG","DF",NA,22,2,0,0,0,19
"Calum Chambers","Arsenal","ENG","DF",NA,26,0,0,0,0,2
"Calum Chambers","Aston Villa","ENG","DF",NA,26,1,0,0,0,12
"Ben Chilwell","Chelsea","ENG","DF",NA,24,0,0,0,0,10
"Chiquinho","Wolves","POR","DF","FW",21,0,0,0,0,9
"Hamza Choudhury","Leicester City","ENG","DF","MF",23,1,0,0,0,4
"Andreas Christensen","Chelsea","DEN","DF",NA,25,2,0,0,0,11
