"Squad","Player_Count","Progression_Carries","Progression_Passes","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Possession","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Arsenal",27,734,1655,16176,19843,81.5,7325,8210,89.2,1326,2584,51.3,7187,8140,88.3,18149,1628,404,77,132,633,679,208,66,52.8,23780,590,319,54.1,271,45.9
"Aston Villa",31,653,1300,12748,16499,77.3,5916,6803,87,1239,2571,48.2,5184,6136,84.5,14615,1832,525,71,97,670,716,196,52,46.5,20609,587,333,56.7,254,43.3
"Brentford",29,450,1189,11676,16272,71.8,5201,6312,82.4,1357,2852,47.6,4797,6120,78.4,14443,1763,432,50,70,640,778,159,66,44.8,20462,476,262,55,214,45
"Brighton",26,676,1547,16410,20588,79.7,7195,8172,88,1579,2953,53.5,7130,8208,86.9,18838,1697,390,58,152,728,784,200,53,54.4,24854,559,317,56.7,242,43.3
"Burnley",23,388,972,9454,14107,67,4297,5327,80.7,1457,3216,45.3,3306,4472,73.9,12275,1731,370,32,135,747,783,183,101,40.2,18371,479,258,53.9,221,46.1
"Chelsea",26,894,1967,21190,24888,85.1,10628,11617,91.5,1524,2514,60.6,8318,9322,89.2,23158,1661,434,77,101,745,713,241,69,61.8,28975,624,364,58.3,260,41.7
"Crystal Palace",24,592,1229,14983,19081,78.5,6553,7495,87.4,1467,2871,51.1,6521,7610,85.7,17115,1903,528,40,120,643,844,175,63,51.1,23466,687,382,55.6,305,44.4
"Everton",33,512,1100,10366,14557,71.2,4889,5859,83.4,1215,2704,44.9,3844,4901,78.4,12746,1758,413,30,70,653,783,161,53,40,19075,634,337,53.2,295,46.5
"Leeds United",29,671,1483,13989,18288,76.5,6271,7285,86.1,1325,2754,48.1,5921,7050,84,16432,1793,417,66,140,648,798,170,63,52.3,22705,655,339,51.8,316,48.2
"Leicester City",28,622,1356,16129,20137,80.1,7751,8789,88.2,1329,2581,51.5,6573,7579,86.7,18268,1809,457,65,105,556,769,185,60,52,24409,547,297,54.3,250,45.7
"Liverpool",27,885,2243,21163,25552,82.8,9420,10506,89.7,2000,3211,62.3,9245,10569,87.5,23742,1747,436,112,167,897,780,282,63,62.7,29575,635,343,54,291,45.8
"Manchester City",26,1145,2421,24406,27902,87.5,11713,12605,92.9,1972,2895,68.1,10158,11162,91,26239,1597,406,102,192,869,664,316,66,67.9,31381,741,425,57.4,316,42.6
"Manchester Utd",29,784,1568,16690,20641,80.9,8162,9234,88.4,1548,2626,58.9,6398,7436,86,18862,1691,376,80,187,659,725,197,88,52.7,24652,631,368,58.3,263,41.7
"Newcastle Utd",29,544,923,10201,14036,72.7,4545,5432,83.7,1343,2746,48.9,3917,4880,80.3,12203,1762,415,31,114,592,743,160,71,40.4,18281,632,359,56.8,273,43.2
"Norwich City",28,566,1031,12164,16070,75.7,5578,6484,86,1369,2757,49.7,4912,5949,82.6,14176,1839,474,50,153,568,766,165,55,42.9,20234,581,298,51.3,283,48.7
"Southampton",25,728,1326,12505,16941,73.8,6089,7173,84.9,1112,2591,42.9,4893,6093,80.3,15115,1784,411,43,81,711,750,233,42,47.7,21418,624,350,56.1,274,43.9
"Tottenham",25,791,1459,17204,20696,83.1,8270,9143,90.5,1376,2371,58,6856,7812,87.8,18976,1658,430,88,133,632,676,193,62,51.8,24853,667,375,56.2,291,43.6
"Watford",30,557,1070,10423,14640,71.2,4505,5496,82,1330,2903,45.8,4270,5325,80.2,12800,1787,394,35,101,610,808,161,53,40.7,19161,751,395,52.6,356,47.4
"West Ham",25,646,1449,14326,18378,78,6627,7493,88.4,1479,2906,50.9,5789,6856,84.4,16647,1672,309,29,146,802,770,200,59,47.9,22331,545,306,56.1,239,43.9
"Wolves",26,723,1283,15253,19103,79.8,6533,7415,88.1,1718,3005,57.2,6610,7664,86.2,17380,1662,420,58,151,587,718,168,61,49.5,23334,771,450,58.4,321,41.6
