"Squad","Goalkeepers_Used","Goals_Conceded","Saves","Saves_Percentage","Clean_Sheets","Clean_Sheets_Percentage","Penalty_Kicks_Saves","Penalty_Kicks_Save_Percentage"
"Arsenal",2,48,100,70.7,13,34.2,0,0
"Aston Villa",3,54,96,66.4,11,28.9,1,20
"Brentford",3,56,125,71.5,9,23.7,0,0
"Brighton",2,44,102,71.9,11,28.9,0,0
"Burnley",2,53,127,73,9,23.7,0,0
"Chelsea",2,33,83,76.5,16,42.1,0,0
"Crystal Palace",2,46,99,70.1,12,31.6,1,25
"Everton",2,66,127,66,8,21.1,0,0
"Leeds United",2,79,146,67,5,13.2,0,0
"Leicester City",2,59,132,72.9,7,18.4,2,22.2
"Liverpool",2,26,82,75.7,21,55.3,0,NA
"Manchester City",2,26,59,70.6,21,55.3,0,0
"Manchester Utd",1,57,124,70,8,21.1,2,40
"Newcastle Utd",3,62,104,65.5,8,21.1,1,16.7
"Norwich City",2,84,139,66.2,6,15.8,1,10
"Southampton",3,67,118,64.5,8,21.1,0,0
"Tottenham",1,40,98,72.3,16,42.1,0,0
"Watford",2,77,113,62.2,4,10.5,1,14.3
"West Ham",2,51,113,70.3,8,21.1,3,60
"Wolves",2,43,125,79.6,11,28.9,0,0
