"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",668,387,57.9341317365269,641,641,45.2,516,186,330,360,841,21
"Aston Villa",650,370,56.9230769230769,572,572,48.8,413,127,286,332,635,10
"Bournemouth",711,426,59.915611814346,673,673,51.1,404,96,308,279,563,13
"Brentford",584,330,56.5068493150685,515,515,48.2,354,86,268,290,822,11
"Brighton",603,350,58.0431177446103,624,624,44.7,505,160,345,417,777,25
"Chelsea",733,429,58.5266030013643,732,732,48.1,474,145,329,374,792,10
"Crystal Palace",771,436,56.5499351491569,681,681,46.1,449,136,313,366,659,13
"Everton",596,365,61.241610738255,606,606,48.8,384,122,262,275,727,14
"Fulham",617,363,58.8330632090762,519,519,45.9,447,116,331,340,754,9
"Leeds United",749,427,57.0093457943925,596,596,55,509,140,369,391,740,13
"Leicester City",558,336,60.2150537634409,539,539,45.5,475,112,363,339,600,16
"Liverpool",693,391,56.4213564213564,604,604,46.5,501,164,337,410,995,23
"Manchester City",537,298,55.4934823091248,575,575,41.6,457,163,294,327,818,17
"Manchester Utd",631,361,57.2107765451664,655,655,51.6,554,165,389,415,616,14
"Newcastle Utd",685,421,61.4598540145985,672,672,47.9,488,167,321,341,854,12
"Nott'ham Forest",509,301,59.1355599214145,494,494,47.4,355,88,267,286,646,16
"Southampton",719,419,58.2753824756606,680,680,46.8,445,114,331,318,718,9
"Tottenham",644,393,61.0248447204969,594,594,48.5,502,150,352,322,717,12
"West Ham",623,373,59.8715890850722,516,516,51.6,453,142,311,292,816,13
"Wolves",628,360,57.3248407643312,687,687,44,424,114,310,317,712,13
