"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Arsenal",610,348,57.0491803278689,543,543,49.9,412,106,306,292,515,18
"Aston Villa",547,311,56.855575868373,550,550,47.3,389,113,276,236,597,13
"Bournemouth",693,410,59.1630591630592,688,688,47.2,504,153,351,357,817,16
"Brentford",677,399,58.9364844903988,697,697,45.5,474,142,332,378,903,18
"Brighton",644,366,56.832298136646,658,658,46.7,437,140,297,288,603,21
"Burnley",607,342,56.3426688632619,584,584,48.6,477,169,308,280,837,22
"Chelsea",663,376,56.711915535445,630,630,51.3,448,166,282,298,785,24
"Crystal Palace",788,464,58.8832487309645,609,609,55.3,456,122,334,323,927,6
"Everton",743,442,59.4885598923284,701,701,49.5,479,177,302,358,882,12
"Fulham",679,384,56.5537555228277,678,678,51,437,117,320,371,744,14
"Liverpool",677,418,61.7429837518464,768,768,44.4,475,108,367,292,583,19
"Luton Town",654,368,56.2691131498471,616,616,48.5,493,183,310,325,916,21
"Manchester City",517,305,58.9941972920696,458,458,48.5,353,75,278,233,457,17
"Manchester Utd",676,409,60.5029585798817,715,715,48.8,534,207,327,313,884,12
"Newcastle Utd",661,391,59.1527987897126,681,681,44.3,497,151,346,285,682,16
"Nott'ham Forest",728,429,58.9285714285714,607,607,53.5,488,168,320,331,968,13
"Sheffield Utd",709,405,57.1227080394922,635,635,47.1,514,180,334,348,1042,18
"Tottenham",724,451,62.292817679558,691,691,52.1,445,132,313,355,707,24
"West Ham",684,426,62.280701754386,607,607,50.6,487,180,307,361,906,9
"Wolves",739,430,58.1867388362652,607,607,51.4,506,173,333,284,828,16
