"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",627,351,55.9808612440191,643,643,40.9,396,111,285,418,532,12
"Bologna",575,338,58.7826086956522,619,619,36.5,390,125,265,412,667,13
"Brescia",507,273,53.8461538461538,559,559,40.4,399,170,229,361,886,12
"Cagliari",560,338,60.3571428571429,619,619,37.3,445,174,271,337,855,13
"Fiorentina",571,333,58.3187390542907,628,628,33.9,346,98,248,347,719,9
"Genoa",551,335,60.7985480943739,589,589,36,410,150,260,385,775,16
"Hellas Verona",488,290,59.4262295081967,463,463,43.8,361,173,188,398,825,10
"Inter",524,287,54.7709923664122,575,575,34.1,371,120,251,370,657,12
"Juventus",539,318,58.9981447124304,582,582,38.5,374,120,254,370,590,14
"Lazio",547,311,56.855575868373,612,612,36.6,404,142,262,378,642,9
"Lecce",525,293,55.8095238095238,628,628,37.3,395,150,245,383,793,30
"Milan",581,345,59.3803786574871,620,620,37.7,353,106,247,419,652,19
"Napoli",487,295,60.5749486652977,540,540,38.1,322,86,236,330,464,11
"Parma",615,348,56.5853658536585,708,708,39.8,423,177,246,394,859,14
"Roma",493,303,61.4604462474645,503,503,39.2,347,107,240,400,644,15
"Sampdoria",584,354,60.6164383561644,605,605,38,397,116,281,396,778,5
"Sassuolo",553,332,60.0361663652803,556,556,44.8,392,130,262,348,666,9
"SPAL",554,327,59.0252707581227,571,571,38.9,390,170,220,394,748,15
"Torino",572,314,54.8951048951049,549,549,38.6,433,160,273,495,875,14
"Udinese",597,340,56.9514237855946,593,593,42.7,434,153,281,375,789,13
