"Squad","Total_Goals_Scored","Total_Goals_Conceded","Assists","Goals+Assists","Penalty_Attempts","Penalty_Scored","Shots","Shots_on_Target","Shots_on_Target_Percentage","Goals_per_Shot","Goals_per_Shot_on_Target","Average_Shot_Distance","Free_Kick_Shots","Shot_Creating_Actions","Live_Pass_Shot_Creation","Other_Type_Shot_Creation","Goal_Creating_Actions","Live_Pass_Goal_Creation","Other_Type_Goal_Creation"
"Atalanta",48,98,30,75,6,6,413,133,32.2,0.09,0.29,20.5,25,713,499,214,75,51,24
"Bologna",65,52,40,104,8,6,531,182,34.3,0.11,0.32,18.6,23,938,683,255,107,72,35
"Brescia",79,35,55,131,11,9,685,226,33,0.1,0.3,17.4,23,1251,958,293,137,94,43
"Cagliari",56,52,35,88,9,7,607,187,30.8,0.08,0.25,18.1,34,1077,763,314,97,69,28
"Fiorentina",48,51,31,79,11,9,432,151,35,0.09,0.26,19,27,779,546,233,83,53,30
"Genoa",73,47,52,123,9,7,581,194,33.4,0.11,0.33,19,30,1058,772,286,125,82,43
"Hellas Verona",51,47,31,81,9,9,582,165,28.4,0.07,0.25,18.8,22,1038,796,242,89,63,26
"Inter",36,81,24,59,4,3,453,114,25.2,0.07,0.28,19,25,813,596,217,54,33,21
"Juventus",43,76,26,69,12,9,458,152,33.2,0.07,0.22,19.8,20,818,607,211,69,42,27
"Lazio",42,79,28,69,9,7,505,146,28.9,0.07,0.23,19.7,26,913,680,233,68,45,23
"Lecce",85,52,51,133,13,11,686,243,35.4,0.1,0.29,17.5,21,1232,915,317,139,97,42
"Milan",46,63,27,72,10,5,434,144,33.2,0.09,0.28,19.3,21,776,533,243,72,38,34
"Napoli",50,61,33,82,8,7,397,130,32.7,0.11,0.32,18,11,709,511,198,87,65,22
"Parma",57,56,38,95,11,7,665,202,30.4,0.08,0.25,18.7,27,1236,910,326,99,63,36
"Roma",51,77,33,84,10,9,418,148,35.4,0.1,0.28,18.7,19,759,561,198,84,50,34
"Sampdoria",65,48,41,102,9,8,498,170,34.1,0.11,0.31,18.4,29,886,659,227,104,73,31
"Sassuolo",63,69,40,99,9,8,507,175,34.5,0.1,0.29,17.2,19,916,687,229,111,78,33
"SPAL",77,27,48,122,8,7,648,220,34,0.1,0.3,18.8,35,1126,835,291,131,94,37
"Torino",68,46,41,106,11,10,608,197,32.4,0.09,0.28,18.6,21,1042,741,301,103,67,36
"Udinese",51,37,29,80,10,8,579,184,31.8,0.07,0.23,19.5,23,1021,764,257,94,68,26
