"Squad","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Atalanta",627,351,55.9808612440191,615,615,43.6,455,171,284,439,778,15
"Bologna",609,354,58.128078817734,627,627,44.3,408,151,257,392,742,13
"Brescia",491,274,55.8044806517312,450,450,38.9,374,95,279,376,654,14
"Cagliari",551,305,55.3539019963702,538,538,39.8,322,94,228,372,728,4
"Fiorentina",630,367,58.2539682539683,670,670,36.1,379,136,243,369,676,12
"Genoa",579,322,55.6131260794473,565,565,40.7,369,103,266,365,722,13
"Hellas Verona",525,308,58.6666666666667,546,546,39.9,368,111,257,358,693,13
"Inter",479,269,56.1586638830898,498,498,37.6,416,163,253,469,840,19
"Juventus",548,312,56.9343065693431,689,689,37,413,175,238,429,676,15
"Lazio",488,280,57.3770491803279,578,578,37.7,400,127,273,434,750,10
"Lecce",486,294,60.4938271604938,464,464,36.2,388,120,268,343,651,11
"Milan",596,349,58.5570469798658,656,656,38.7,420,173,247,409,785,17
"Napoli",521,306,58.7332053742802,587,587,38.3,434,163,271,415,812,12
"Parma",593,341,57.504215851602,563,563,42.1,335,102,233,411,606,13
"Roma",534,328,61.4232209737828,670,670,37.8,383,183,200,368,804,17
"Sampdoria",495,281,56.7676767676768,507,507,39.4,391,147,244,370,789,19
"Sassuolo",628,377,60.031847133758,756,756,38.1,412,164,248,411,654,15
"SPAL",516,320,62.015503875969,518,518,31.1,384,122,262,311,645,7
"Torino",626,375,59.9041533546326,715,715,37.2,365,122,243,347,691,11
"Udinese",528,312,59.0909090909091,550,550,36.4,366,116,250,322,720,15
