"Player","Squad","Nation","Pos","Pos2","Age","Progression_Carries","Progression_Passes_Delivered","Progression_Passes_Recived","Total_Passes_Completed","Total_Passes_Attempted","Total_Pass_Percentage","Short_Passes_Completed","Short_Passes_Attempted","Short_Pass_Percentage","Long_Passes_Completed","Long_Passes_Attempted","Long_Pass_Percentage","Medium_Passes_Completed","Medium_Passes_Attempted","Medium_Pass_Percentage","Key_Passes","Passes_Into_Penalty_Area","Crosses_Into_Penalty_Area","Live_Pass","Dead_Pass","Free_Kicks","Through_Balls","Switches","Crosses","Throw_Ins","Corner_Kicks","Offside","Touches","Take_Ons_Attempted","Take_Ons_Wins","Take_On_Win_Percentage","Take_Ons_Tackled","Take_Ons_Tackled_Percentage"
"Aaron Hickey","Bologna","SCO","DF",NA,18,21,36,28,337,397,84.9,160,174,92,21,34,61.8,142,165,86.1,2,3,1,314,81,13,0,3,7,68,0,2,495,16,7,43.8,9,56.3
"Aaron Ramsey","Juventus","WAL","MF",NA,29,38,72,96,622,728,85.4,328,365,89.9,48,65,73.8,217,241,90,31,21,5,704,19,7,1,2,22,1,9,5,858,13,10,76.9,3,23.1
"Achraf Hakimi","Inter","MAR","DF",NA,21,113,98,309,1253,1539,81.4,738,837,88.2,69,113,61.1,380,454,83.7,36,47,19,1312,226,12,1,3,115,212,2,1,1847,64,33,51.6,31,48.4
"Adam Marušić","Lazio","MNE","DF",NA,27,53,92,201,1312,1578,83.1,631,699,90.3,106,182,58.2,531,606,87.6,29,22,14,1383,192,23,0,6,64,168,0,3,1865,51,24,47.1,27,52.9
"Adam Ounas","Crotone","ALG","FW","MF",23,56,69,66,83,122,68,43,56,76.8,10,15,66.7,25,38,65.8,7,8,2,117,4,2,0,2,10,0,2,1,174,30,19,63.3,11,36.7
"Adam Ounas","Crotone","ALG","FW","MF",23,56,69,66,83,122,68,43,56,76.8,10,15,66.7,25,38,65.8,7,8,2,117,4,2,0,2,10,0,2,1,649,75,57,76,18,24
"Adam Ounas","Crotone","ALG","FW","MF",23,56,69,66,384,497,77.3,176,202,87.1,49,79,62,157,192,81.8,21,28,4,460,35,10,4,7,41,1,20,2,174,30,19,63.3,11,36.7
"Adam Ounas","Crotone","ALG","FW","MF",23,56,69,66,384,497,77.3,176,202,87.1,49,79,62,157,192,81.8,21,28,4,460,35,10,4,7,41,1,20,2,649,75,57,76,18,24
"Adam Ounas","Cagliari","ALG","MF","FW",23,10,15,27,83,122,68,43,56,76.8,10,15,66.7,25,38,65.8,7,8,2,460,35,10,4,7,41,1,20,2,174,30,19,63.3,11,36.7
"Adam Ounas","Cagliari","ALG","MF","FW",23,10,15,27,83,122,68,43,56,76.8,10,15,66.7,25,38,65.8,7,8,2,460,35,10,4,7,41,1,20,2,649,75,57,76,18,24
"Adam Ounas","Crotone","ALG","FW","MF",23,56,69,66,384,497,77.3,176,202,87.1,49,79,62,157,192,81.8,21,28,4,117,4,2,0,2,10,0,2,1,174,30,19,63.3,11,36.7
"Adam Ounas","Crotone","ALG","FW","MF",23,56,69,66,384,497,77.3,176,202,87.1,49,79,62,157,192,81.8,21,28,4,117,4,2,0,2,10,0,2,1,649,75,57,76,18,24
"Adam Ounas","Cagliari","ALG","MF","FW",23,10,15,27,384,497,77.3,176,202,87.1,49,79,62,157,192,81.8,21,28,4,460,35,10,4,7,41,1,20,2,174,30,19,63.3,11,36.7
"Adam Ounas","Cagliari","ALG","MF","FW",23,10,15,27,384,497,77.3,176,202,87.1,49,79,62,157,192,81.8,21,28,4,460,35,10,4,7,41,1,20,2,649,75,57,76,18,24
"Adam Ounas","Crotone","ALG","FW","MF",23,56,69,66,83,122,68,43,56,76.8,10,15,66.7,25,38,65.8,7,8,2,460,35,10,4,7,41,1,20,2,174,30,19,63.3,11,36.7
"Adam Ounas","Crotone","ALG","FW","MF",23,56,69,66,83,122,68,43,56,76.8,10,15,66.7,25,38,65.8,7,8,2,460,35,10,4,7,41,1,20,2,649,75,57,76,18,24
"Adam Ounas","Cagliari","ALG","MF","FW",23,10,15,27,384,497,77.3,176,202,87.1,49,79,62,157,192,81.8,21,28,4,117,4,2,0,2,10,0,2,1,174,30,19,63.3,11,36.7
"Adam Ounas","Cagliari","ALG","MF","FW",23,10,15,27,384,497,77.3,176,202,87.1,49,79,62,157,192,81.8,21,28,4,117,4,2,0,2,10,0,2,1,649,75,57,76,18,24
"Adam Ounas","Cagliari","ALG","MF","FW",23,10,15,27,83,122,68,43,56,76.8,10,15,66.7,25,38,65.8,7,8,2,117,4,2,0,2,10,0,2,1,174,30,19,63.3,11,36.7
"Adam Ounas","Cagliari","ALG","MF","FW",23,10,15,27,83,122,68,43,56,76.8,10,15,66.7,25,38,65.8,7,8,2,117,4,2,0,2,10,0,2,1,649,75,57,76,18,24
"Adama Soumaoro","Bologna","FRA","DF",NA,28,12,51,1,822,925,88.9,337,375,89.9,61,77,79.2,415,448,92.6,3,0,0,853,71,67,0,1,0,4,0,1,1114,6,6,100,0,0
"Adolfo Gaich","Benevento","ARG","FW",NA,21,10,4,54,76,134,56.7,42,63,66.7,9,12,75,19,31,61.3,5,2,1,126,7,0,0,0,1,0,0,1,251,24,9,37.5,15,62.5
"Adrien Rabiot","Juventus","FRA","MF",NA,25,69,122,71,1297,1450,89.4,687,752,91.4,80,91,87.9,492,528,93.2,10,23,4,1412,31,21,1,4,20,10,0,7,1765,48,36,75,12,25
