"Player","Squad","Nation","Pos","Pos2","Age","Tackles","Tackles_Won","Tackles_Win_Percentage","Challenges","Challenges_Won","Challenges_Percentage","Total_Blocks","Shots_Blocked","Passes_Blocked","Interceptions","Clearances","Errors"
"Gennaro Acampora","Spezia","ITA","MF","FW",26,6,4,66.6666666666667,7,7,28.6,4,1,3,4,4,0
"Francesco Acerbi","Lazio","ITA","DF",NA,32,51,32,62.7450980392157,40,40,45,24,15,9,76,121,2
"Lucien Agoume","Spezia","FRA","MF",NA,18,18,10,55.5555555555556,19,19,31.6,10,5,5,15,10,0
"Kevin Agudelo","Spezia","COL","FW",NA,21,39,28,71.7948717948718,34,34,35.3,30,0,30,10,2,0
"Jean-Daniel Akpa-Akpro","Lazio","CIV","MF",NA,27,38,25,65.7894736842105,27,27,29.6,24,6,18,18,13,0
"Luis Alberto","Lazio","ESP","MF",NA,27,43,24,55.8139534883721,73,73,20.5,41,2,39,13,11,1
"Bruno Alves","Parma","POR","DF",NA,38,13,10,76.9230769230769,9,9,77.8,17,12,5,26,81,0
"Sofyan Amrabat","Fiorentina","MAR","MF",NA,23,39,22,56.4102564102564,48,48,37.5,30,5,25,23,12,0
"Djavan Anderson","Lazio","NED","DF",NA,25,0,0,NA,1,1,0,1,0,1,1,0,0
"Cristian Ansaldi","Torino","ARG","DF","FW",33,48,33,68.75,38,38,63.2,21,7,14,16,38,0
"Valentin Antov","Bologna","BUL","DF",NA,19,4,2,50,10,10,30,6,5,1,4,13,0
"Tolgay Arslan","Udinese","GER","MF",NA,29,52,32,61.5384615384615,54,54,46.3,22,2,20,22,15,1
"Kwadwo Asamoah","Cagliari","GHA","DF","MF",31,4,3,75,3,3,66.7,5,1,4,4,2,1
"Emil Audero","Sampdoria","ITA","GK",NA,23,1,1,100,2,2,50,0,0,0,1,16,0
"Tommaso Augello","Sampdoria","ITA","DF",NA,25,42,30,71.4285714285714,39,39,59,22,2,20,32,76,1
"Kaan Ayhan","Sassuolo","TUR","DF",NA,25,15,9,60,13,13,61.5,9,5,4,16,33,0
"Milan Badelj","Genoa","CRO","MF",NA,31,56,27,48.2142857142857,84,84,31,51,10,41,87,45,1
"Tiemoué Bakayoko","Napoli","FRA","MF",NA,25,69,41,59.4202898550725,40,40,57.5,24,2,22,36,13,2
"Keita Baldé","Sampdoria","SEN","FW",NA,25,9,6,66.6666666666667,10,10,40,10,1,9,0,3,0
"Botond Balogh","Parma","HUN","DF",NA,18,9,7,77.7777777777778,5,5,40,4,3,1,2,8,0
"Mattia Bani","Genoa","ITA","DF",NA,26,10,5,50,12,12,41.7,16,11,5,27,44,0
"Mattia Bani","Parma","ITA","DF",NA,26,20,11,55,8,8,50,10,6,4,33,50,0
"Antonín Barák","Hellas Verona","CZE","MF",NA,25,30,19,63.3333333333333,47,47,29.8,26,7,19,12,38,1
"Federico Barba","Benevento","ITA","DF",NA,26,31,16,51.6129032258064,35,35,60,39,18,21,48,94,4
"Nicolò Barella","Inter","ITA","MF",NA,23,58,31,53.448275862069,72,72,31.9,29,4,25,26,14,0
"Antonio Barreca","Fiorentina","ITA","DF",NA,25,1,0,0,1,1,100,0,0,0,0,1,0
"Musa Barrow","Bologna","GAM","FW","MF",21,26,10,38.4615384615385,25,25,40,37,2,35,11,15,0
"Paolo Bartolomei","Spezia","ITA","MF",NA,30,6,2,33.3333333333333,7,7,57.1,1,0,1,1,2,0
"Daniele Baselli","Torino","ITA","MF",NA,28,12,7,58.3333333333333,10,10,60,2,0,2,9,5,0
"Alessandro Bastoni","Inter","ITA","DF",NA,21,36,22,61.1111111111111,27,27,63,34,16,18,40,75,0
"Simone Bastoni","Spezia","ITA","DF",NA,23,50,29,58,52,52,51.9,19,1,18,16,31,0
"Bastos","Lazio","ANG","DF",NA,29,3,1,33.3333333333333,5,5,60,1,0,1,0,3,0
"Rodrigo Becão","Udinese","BRA","DF",NA,24,59,33,55.9322033898305,49,49,55.1,48,27,21,68,94,2
"Valon Behrami","Genoa","SUI","MF",NA,35,21,9,42.8571428571429,26,26,34.6,13,5,8,9,13,0
"Andrea Belotti","Torino","ITA","FW",NA,26,30,18,60,35,35,31.4,27,4,23,12,21,0
"Ahmad Benali","Crotone","LBY","MF",NA,28,19,11,57.8947368421053,38,38,28.9,15,2,13,6,15,0
"Ismaël Bennacer","Milan","ALG","MF",NA,22,39,18,46.1538461538462,32,32,46.9,10,1,9,20,12,0
"Rodrigo Bentancur","Juventus","URU","MF",NA,23,63,33,52.3809523809524,59,59,33.9,35,12,23,47,46,1
"Domenico Berardi","Sassuolo","ITA","FW",NA,25,42,22,52.3809523809524,62,62,33.9,23,1,22,26,34,0
"Álex Berenguer","Torino","ESP","MF",NA,25,2,0,0,5,5,40,2,0,2,0,1,0
"Bartosz Bereszyński","Sampdoria","POL","DF",NA,28,66,44,66.6666666666667,73,73,56.2,40,20,20,42,88,0
"Federico Bernardeschi","Juventus","ITA","MF","DF",26,9,4,44.4444444444444,20,20,20,6,2,4,14,7,1
"Daniel Bessa","Hellas Verona","ITA","MF",NA,27,15,8,53.3333333333333,14,14,42.9,5,1,4,2,0,0
"Cristiano Biraghi","Fiorentina","ITA","DF",NA,27,42,23,54.7619047619048,45,45,60,23,9,14,27,56,3
"Davide Biraschi","Genoa","ITA","DF",NA,26,17,9,52.9411764705882,10,10,50,12,6,6,21,26,0
"Jeremie Boga","Sassuolo","CIV","FW","MF",23,11,9,81.8181818181818,11,11,27.3,10,0,10,8,7,0
"Giacomo Bonaventura","Fiorentina","ITA","MF",NA,30,34,19,55.8823529411765,53,53,30.2,26,2,24,39,12,0
"Federico Bonazzoli","Torino","ITA","FW",NA,23,6,4,66.6666666666667,13,13,15.4,3,0,3,2,3,0
"Kevin Bonifazi","Udinese","ITA","DF",NA,24,32,21,65.625,23,23,34.8,33,20,13,50,85,1
"Leonardo Bonucci","Juventus","ITA","DF",NA,33,19,14,73.6842105263158,14,14,42.9,24,13,11,33,67,0
"Mehdi Bourabia","Sassuolo","MAR","MF",NA,28,6,5,83.3333333333333,7,7,28.6,14,6,8,12,8,0
"Edoardo Bove","Roma","ITA","MF",NA,18,0,0,NA,1,1,0,0,0,0,0,0,0
"Jayden Braaf","Udinese","NED","FW",NA,17,0,0,NA,1,1,0,0,0,0,0,0,0
"Gleison Bremer","Torino","BRA","DF",NA,23,51,34,66.6666666666667,36,36,58.3,54,21,33,70,142,1
"Marcelo Brozović","Inter","CRO","MF",NA,27,54,29,53.7037037037037,61,61,32.8,43,17,26,40,38,0
"Gastón Brugman","Parma","URU","MF",NA,27,35,19,54.2857142857143,44,44,25,33,4,29,45,34,0
"Juan Brunetta","Parma","ARG","FW","MF",23,2,2,100,6,6,16.7,5,0,5,1,2,0
"Alessandro Buongiorno","Torino","ITA","DF",NA,21,12,5,41.6666666666667,12,12,58.3,15,9,6,11,44,1
"Maxime Busi","Parma","BEL","DF",NA,20,23,13,56.5217391304348,28,28,39.3,14,1,13,16,32,0
"Martín Cáceres","Fiorentina","URU","DF",NA,33,28,12,42.8571428571429,35,35,42.9,20,14,6,14,52,1
"Felipe Caicedo","Lazio","ECU","FW",NA,31,10,7,70,8,8,12.5,7,0,7,4,2,0
"Arturo Calabresi","Cagliari","ITA","DF",NA,24,0,0,NA,1,1,0,0,0,0,0,0,0
